Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,22-1-2026,SE-115,INVGST254202526,-,-,PO-108,22-1-2026,PKG0000009,Disposable - Cup Holder,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,DISPOSABLE TAKE AWAY PACKAGING,-,20000,PCS,0,1.7,-,34000,0,5,1700,-,-,-,-,1700,0,35700,,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,22-1-2026,SE-115,INVGST254202526,-,-,PO-108,22-1-2026,-,-,-,-,-,-,-,0,0,Fright Charges,3000,0,-,-,-,-,-,-,540,0,3540,,
Warehouse NCR,Central Store,Ashutosh Kumar,Luminary Incorporate Services And Tools Management Private Limited,22-1-2026,SE-114,266/2025-26,-,-,PO-117,22-1-2026,PKG0000034,Coffee Island Bag Sealing Sticker,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,-,5936,PCS,0,1.25,-,7420,0,18,1335.6,-,-,-,-,1335.6,0,8755.6,,
Warehouse NCR,Central Store,Ashutosh Kumar,Luminary Incorporate Services And Tools Management Private Limited,22-1-2026,SE-114,266/2025-26,-,-,PO-117,22-1-2026,PKG0000035,Coffee Island Coin Sticker,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,-,6090,PCS,0,0.23,-,1400.7,0,18,252.13,-,-,-,-,252.13,0,1652.83,,
Warehouse NCR,Central Store,Ashutosh Kumar,Luminary Incorporate Services And Tools Management Private Limited,22-1-2026,SE-114,266/2025-26,-,-,PO-117,22-1-2026,PKG0000036,Coffee Island MRD Sticker,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,-,5500,PCS,0,0.35,-,1925,0,18,346.5,-,-,-,-,346.5,0,2271.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,Luminary Incorporate Services And Tools Management Private Limited,22-1-2026,SE-114,266/2025-26,-,-,PO-117,22-1-2026,-,-,-,-,-,-,-,0,0,Fright Charges,1200,0,-,-,-,-,-,-,216,0,1416,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,21-1-2026,SE-113,KA/25-26/012556,-,-,PO-112,21-1-2026,RAW0000006,Beans - Kenya Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,-,4,KG,0,3463.33,-,13853.32,0,5,692.67,-,-,-,-,692.67,0,14545.99,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,21-1-2026,SE-113,KA/25-26/012556,-,-,PO-112,21-1-2026,RAW0000003,Beans - Kenya Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,3,KG,0,1093.33,-,3279.99,0,5,164,-,-,-,-,164,0,3443.99,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,21-1-2026,SE-113,KA/25-26/012556,-,-,PO-112,21-1-2026,RAW0000005,Beans - Ethiopian Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,-,9,KG,0,3013.33,-,27119.97,0,5,1356,-,-,-,-,1356,0,28475.97,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,21-1-2026,SE-113,KA/25-26/012556,-,-,PO-112,21-1-2026,RAW0000004,Beans - Ethiopian Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,3,KG,0,1063.33,-,3189.99,0,5,159.5,-,-,-,-,159.5,0,3349.49,,
Warehouse NCR,Central Store,Ashutosh Kumar,PASSION FOODS MARKETING SERVICES,21-1-2026,SE-112,3819/2526,-,-,PO-120,21-1-2026,RAW0000175,Kala Khatta Syrup 750 ML,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,12,BTL(750ML/983GM),0,407.55,-,4890.6,0,5,244.53,-,-,-,-,244.53,0,5135.13,,
Warehouse NCR,Central Store,Ashutosh Kumar,PASSION FOODS MARKETING SERVICES,21-1-2026,SE-112,3819/2526,-,-,PO-120,21-1-2026,RAW0000170,Strawberry Syrup 750 Ml,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,12,BTL(750ML/983GM),0,407.55,-,4890.6,0,5,244.53,-,-,-,-,244.53,0,5135.13,,
Warehouse NCR,Central Store,Ashutosh Kumar,DAWN CERAMICS,20-1-2026,SE-111,DC/2025-26/1308,-,-,PO-113,20-1-2026,CNC0000025,CI Spanish Bom Bom Glass - BR-4010,GLASSWARE,CROCKERY & CUTLERY,-,24,PCS,0,365,-,8760,0,18,1576.8,-,-,-,-,1576.8,0,10336.8,,
Warehouse NCR,Central Store,Ashutosh Kumar,DAWN CERAMICS,20-1-2026,SE-111,DC/2025-26/1308,-,-,PO-113,20-1-2026,-,-,-,-,-,-,-,0,0,Fright Charges,500,0,-,-,-,-,-,-,90,0,590,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000440,Furniture,Indoor Furniture,CAPEX,-,1,PCS..,0,402100,-,402100,0,18,72378,-,-,-,-,72378,0,474478,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000411,Fire Extinguisher,FIRE FIGHTING SYSTEM,CAPEX,-,2,PCS..,0,3000,-,6000,0,18,1080,-,-,-,-,1080,0,7080,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,EEW0000001,Cabelling - CCTV,CCTV Camera,Electronic & IT Equipment,-,4,PCS..,0,7000,-,28000,0,18,5040,-,-,-,-,5040,0,33040,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000545,HVAC,BOH OTHER EQUIPMENT,CAPEX,-,1,PCS.,0,90000,-,90000,0,18,16200,-,-,-,-,16200,0,106200,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000005,Glass Body Momo Steamer,BOH FOOD EQUIPMENT,CAPEX,-,2,PCS..,0,28000,-,56000,0,18,10080,-,-,-,-,10080,0,66080,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000156,Ss Gn Pans 1/9 Wt Lid,BOH DEAD FABRICATION EQUIPMENT,CAPEX,-,9,PCS..,0,800,-,7200,0,18,1296,-,-,-,-,1296,0,8496,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000157,Ss Gn Pans 1/3 Wt Lid,BOH DEAD FABRICATION EQUIPMENT,CAPEX,-,5,PCS..,0,1150,-,5750,0,18,1035,-,-,-,-,1035,0,6785,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000006,Gimme Mo Custom Unit - Gn Cold Bain Marie,BOH FOOD EQUIPMENT,CAPEX,-,1,PCS..,0,116000,-,116000,0,18,20880,-,-,-,-,20880,0,136880,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000200,Vertical Two Door Freezer 700*700*2100,BOH OTHER EQUIPMENT,CAPEX,-,1,PCS..,0,98000,-,98000,0,18,17640,-,-,-,-,17640,0,115640,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000320,Stainless Steel Work Table with 2 Under Shelf,BOH DEAD FABRICATION EQUIPMENT,CAPEX,-,1,PCS..,0,9800,-,9800,0,18,1764,-,-,-,-,1764,0,11564,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000416,GREASE TRAP,BOH DEAD FABRICATION EQUIPMENT,CAPEX,-,1,PCS,0,16000,-,16000,0,18,2880,-,-,-,-,2880,0,18880,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000148,Ss Double Over Head Shelf-1350*300*650,BOH DEAD FABRICATION EQUIPMENT,CAPEX,-,1,PCS..,0,12500,-,12500,0,18,2250,-,-,-,-,2250,0,14750,,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,18-1-2026,SE-110,VXNG/25-26/HR014,-,-,PO-115,18-1-2026,CAP0000004,Commercial Induction Cook Top,BOH FOOD EQUIPMENT,CAPEX,-,2,PCS..,0,12000,-,24000,0,18,4320,-,-,-,-,4320,0,28320,,
