Warehouse,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source 
Warehouse NCR,Central Store,Rajneesh Pandey,Cothas Coffee Co,30-06-2025,SE-31,KA/25-26/003185,-,-,PO-30,16-06-2025,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,175,KG,0,768.33,-,134457.75,0,5,6722.89,-,-,-,-,6722.89,0,141180.64,
Warehouse NCR,Central Store,Rajneesh Pandey,Cothas Coffee Co,30-06-2025,SE-31,KA/25-26/003185,-,-,PO-30,16-06-2025,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,125,KG,0,798.33,-,99791.25,0,5,4989.56,-,-,-,-,4989.56,0,104780.81,
Warehouse NCR,Central Store,Rajneesh Pandey,Cothas Coffee Co,30-06-2025,SE-31,KA/25-26/003185,-,-,PO-30,16-06-2025,RAW0000004,Beans - Ethiopian Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,10,KG,0,1063.33,-,10633.3,0,5,531.67,-,-,-,-,531.67,0,11164.97,
Warehouse NCR,Central Store,Rajneesh Pandey,Cothas Coffee Co,30-06-2025,SE-31,KA/25-26/003185,-,-,PO-30,16-06-2025,RAW0000003,Beans - Kenya Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,10,KG,0,1093.33,-,10933.3,0,5,546.67,-,-,-,-,546.67,0,11479.97,
Warehouse NCR,Central Store,Rajneesh Pandey,Cothas Coffee Co,30-06-2025,SE-31,KA/25-26/003185,-,-,PO-30,16-06-2025,RAW0000006,Beans - Kenya Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,-,15,KG,0,3463.33,-,51949.95,0,5,2597.5,-,-,-,-,2597.5,0,54547.45,
Warehouse NCR,Central Store,Ashutosh Kumar,Beeta Machines Pvt Ltd,27-06-2025,SE-30,BMPL2526/0690,-,-,PO-24,25-06-2025,PKG0000024,Food Wrapping Paper - Ci,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,DISPOSABLE TAKE AWAY PACKAGING,-,100,PKT(500PC),0,110,-,11000,0,12,1320,-,-,-,-,1320,0,12320,
Warehouse NCR,Central Store,Ashutosh Kumar,Beeta Machines Pvt Ltd,27-06-2025,SE-30,BMPL2526/0690,-,-,PO-24,25-06-2025,PKG0000032,Disposable - Tissue Paper,DISPOSABLE PACKAGING - TISSUE PAPER,DISPOSABLE TAKE AWAY PACKAGING,-,593,PKT(100PCS),0,39,-,23127,0,18,4162.86,-,-,-,-,4162.86,0,27289.86,
Warehouse NCR,Central Store,Ashutosh Kumar,DEVINE & CONQUER STORE,24-06-2025,SE-29,1359,-,-,PO-27,23-06-2025,-,Degreaser,CLEANING CHEMICALS - LIQUID,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,-,4,PCS,0,740,-,2960,0,18,532.8,-,-,-,-,532.8,0,3492.8,
Warehouse NCR,Central Store,Ashutosh Kumar,DEVINE & CONQUER STORE,24-06-2025,SE-29,1359,-,-,PO-27,23-06-2025,-,Kay AMH Handwash Plus,CLEANING CHEMICALS - LIQUID,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,-,4,PCS,0,725,-,2900,0,18,522,-,-,-,-,522,0,3422,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private  Limited- Gurgaon,24-06-2025,SE-28,2506-SUP-2502,-,-,PO-31,23-06-2025,CNC0000027,GM Serving Bowl - Black,CROCKERY,CROCKERY & CUTLERY,-,144,PCS,0,270,-,38880,0,18,6998.4,-,-,-,-,6998.4,0,45878.4,
