Warehouse,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source 
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,27-09-2025,SE-61,OFB-3639/25-26,-,-,PO-64,27-09-2025,RAW0000047,Syrup- Roasted Hazelnut,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,12,BTL(1L/1300GM),0,640,-,7680,0,5,384,-,-,-,-,384,0,8064,
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,27-09-2025,SE-61,OFB-3639/25-26,-,-,PO-64,27-09-2025,RAW0000050,Syrup - Brown Butter,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,12,BTL(700ML/910GM),0,560,-,6720,0,5,336,-,-,-,-,336,0,7056,
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,27-09-2025,SE-61,OFB-3639/25-26,-,-,PO-64,27-09-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1400,0,-,-,-,-,-,-,0,0,1400,
Warehouse NCR,Central Store,Ashutosh Kumar,Rajesh Garments,24-09-2025,SE-60,25-26/926,-,-,PO-47,08-09-2025,UNI0000006,Polo T-Shirt With Ci Logo - Small,UNIFORM - SHIRT/T SHIRT,UNIFORM,-,20,PCS..,0,340,-,6800,0,5,340,-,-,-,-,340,0,7140,
Warehouse NCR,Central Store,Ashutosh Kumar,Rajesh Garments,24-09-2025,SE-60,25-26/926,-,-,PO-47,08-09-2025,UNI0000007,Polo T-Shirt With Ci Logo - Medium,UNIFORM - SHIRT/T SHIRT,UNIFORM,-,20,PCS..,0,340,-,6800,0,5,340,-,-,-,-,340,0,7140,
Warehouse NCR,Central Store,Ashutosh Kumar,Rajesh Garments,24-09-2025,SE-60,25-26/926,-,-,PO-47,08-09-2025,UNI0000015,Polo T-Shirt With Ci Logo - Large,UNIFORM - SHIRT/T SHIRT,UNIFORM,-,30,PCS,0,340,-,10200,0,5,510,-,-,-,-,510,0,10710,
Warehouse NCR,Central Store,Ashutosh Kumar,Rajesh Garments,24-09-2025,SE-60,25-26/926,-,-,PO-47,08-09-2025,UNI0000016,Polo T-Shirt With Ci Logo - XL,UNIFORM - SHIRT/T SHIRT,UNIFORM,-,20,PCS,0,340,-,6800,0,5,340,-,-,-,-,340,0,7140,
Warehouse NCR,Central Store,Ashutosh Kumar,Rajesh Garments,24-09-2025,SE-60,25-26/926,-,-,PO-47,08-09-2025,UNI0000017,Polo T-Shirt With Ci Logo - XXL,UNIFORM - SHIRT/T SHIRT,UNIFORM,-,10,PCS,0,340,-,3400,0,5,170,-,-,-,-,170,0,3570,
Warehouse NCR,Central Store,Ashutosh Kumar,Rajesh Garments,24-09-2025,SE-60,25-26/926,-,-,PO-47,08-09-2025,UNI0000004,Apron With Ci Logo,UNIFORM - APRON,UNIFORM,-,100,PCS..,0,300,-,30000,0,5,1500,-,-,-,-,1500,0,31500,
Warehouse NCR,Central Store,Ashutosh Kumar,Rajesh Garments,24-09-2025,SE-60,25-26/926,-,-,PO-47,08-09-2025,UNI0000021,Royal Blue Shirt F/S With Chinese Colour Ci- Womens Small,UNIFORM - SHIRT/T SHIRT,UNIFORM,-,12,PCS..,0,440,-,5280,0,5,264,-,-,-,-,264,0,5544,
Warehouse NCR,Central Store,Ashutosh Kumar,Rajesh Garments,24-09-2025,SE-60,25-26/926,-,-,PO-47,08-09-2025,UNI0000022,Royal Blue Shirt F/S With Chinese Colour Ci- Womens Medium,UNIFORM - SHIRT/T SHIRT,UNIFORM,-,6,PCS..,0,440,-,2640,0,5,132,-,-,-,-,132,0,2772,
Warehouse NCR,Central Store,Ashutosh Kumar,Brewing Gadgets India Private Limited-KR,22-09-2025,SE-59,BGIPLO-2526-1224,-,-,PO-54,22-09-2025,CAP0000242,Spindle Mixer - Johny Eco Black AK/2 2TA,BOH BEVERAGE EQUIPMENT,CAPEX,-,1,PCS..,0,25602.54,-,25602.54,0,18,4608.46,-,-,-,-,4608.46,0,30211,
Warehouse NCR,Central Store,Ashutosh Kumar,Brewing Gadgets India Private Limited-KR,22-09-2025,SE-59,BGIPLO-2526-1224,-,-,PO-54,22-09-2025,-,-,-,-,-,-,-,0,0,Fright Charges,800,0,-,-,-,-,-,-,144,0,944,
Warehouse NCR,Central Store,Rajneesh Pandey,DEVNOW INTERNATIONAL,19-09-2025,SE-58,DI/2025-26/5587,-,-,PO-60,15-09-2025,CNC0000025,CI Spanish Bom Bom Glass - BR-4010,GLASSWARE,CROCKERY & CUTLERY,-,68,PCS,0,306.25,-,20825,0,18,3748.5,-,-,-,-,3748.5,0,24573.5,
Warehouse NCR,Central Store,Rajneesh Pandey,DEVNOW INTERNATIONAL,19-09-2025,SE-58,DI/2025-26/5587,-,-,PO-60,15-09-2025,CNC0000033,CI Whisky Glass for 100 ML Cork Bottle,GLASSWARE,CROCKERY & CUTLERY,-,18,PCS,0,192.75,-,3469.5,0,18,624.51,-,-,-,-,624.51,0,4094.01,
Warehouse NCR,Central Store,Rajneesh Pandey,DEVNOW INTERNATIONAL,19-09-2025,SE-58,DI/2025-26/5587,-,-,PO-60,15-09-2025,CNC0000024,Mexicana Coupe Glass,GLASSWARE,CROCKERY & CUTLERY,-,96,PCS,0,177.17,-,17008.32,0,18,3061.5,-,-,-,-,3061.5,0,20069.82,
Warehouse NCR,Central Store,Rajneesh Pandey,FAIRDEAL DISTRIBUTORS,19-09-2025,SE-57,I-25-26/1504,-,-,PO-62,18-09-2025,RAW0000147,Apple Zest syrup 1 Ltr,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,24,BTL(750ML/983GM),0,407.55,-,9781.2,0,18,1760.62,-,-,-,-,1760.62,0,11541.82,
Warehouse NCR,Central Store,Rajneesh Pandey,FAIRDEAL DISTRIBUTORS,19-09-2025,SE-57,I-25-26/1504,-,-,PO-62,18-09-2025,RAW0000148,Passion Fruit Syrup 1 Ltr,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,24,BTL(750ML/983GM),0,407.55,-,9781.2,0,18,1760.62,-,-,-,-,1760.62,0,11541.82,
Warehouse NCR,Central Store,Rajneesh Pandey,FAIRDEAL DISTRIBUTORS,19-09-2025,SE-57,I-25-26/1504,-,-,PO-62,18-09-2025,RAW0000146,Peach Garden Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,24,BTL(750ML/983GM),0,407.55,-,9781.2,0,18,1760.62,-,-,-,-,1760.62,0,11541.82,
Warehouse NCR,Central Store,Ashutosh Kumar,FIDES TEA IMPEX PRIVATE LIMITED,17-09-2025,SE-56,961,-,-,PO-59,17-09-2025,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,RAW MATERIAL,-,100,PCS(20GM),0,157.14,-,15714,0,5,785.7,-,-,-,-,785.7,0,16499.7,
Warehouse NCR,Central Store,Ashutosh Kumar,DEVNOW INTERNATIONAL,05-09-2025,SE-55,DI/2025-26/5030,-,-,PO-58,05-09-2025,CNC0000025,CI Spanish Bom Bom Glass - BR-4010,GLASSWARE,CROCKERY & CUTLERY,-,34,PCS,0,306.25,-,10412.5,0,18,1874.25,-,-,-,-,1874.25,0,12286.75,
