Warehouse,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source 
Warehouse NCR,Central Store,Ashutosh Kumar,DJS PRINTERS PRIVATE LIMITED,29-12-2025,SE-104,DDK/25-26/7233,-,-,PO-90,29-12-2025,PKG0000018,Disposable - Lid (Hot) 08Oz,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,10000,PCS,0,2.4,-,24000,0,18,4320,-,-,-,-,4320,0,28320,
Warehouse NCR,Central Store,Ashutosh Kumar,DJS PRINTERS PRIVATE LIMITED,29-12-2025,SE-104,DDK/25-26/7233,-,-,PO-90,29-12-2025,PKG0000012,Disposable - Paper Cup 08Oz,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,10000,PCS,0,2.88,-,28800,0,18,5184,-,-,-,-,5184,0,33984,
Warehouse NCR,Central Store,Ashutosh Kumar,Nutaste Food And Drink Labs Pvt Ltd,26-12-2025,SE-103,NUFDL/2526/8494,N483370,-,PO-102,26-12-2025,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,RAW MATERIAL,-,100,PKT(500GM),0,392.5,-,39250,0,5,1962.5,-,-,-,-,1962.5,0,41212.5,
Warehouse NCR,Central Store,Ashutosh Kumar,DEVNOW INTERNATIONAL,26-12-2025,SE-102,DI/2025-26/9741,-,-,PO-104,26-12-2025,CNC0000024,Mexicana Coupe Glass,GLASSWARE,CROCKERY & CUTLERY,-,90,PCS,0,185.42,-,16687.8,0,18,3003.8,-,-,-,-,3003.8,0,19691.6,
Warehouse NCR,Central Store,Ashutosh Kumar,DEVNOW INTERNATIONAL,26-12-2025,SE-102,DI/2025-26/9741,-,-,PO-104,26-12-2025,CNC0000033,CI Whisky Glass for 100 ML Cork Bottle,GLASSWARE,CROCKERY & CUTLERY,-,90,PCS,0,199.83,-,17984.7,0,18,3237.25,-,-,-,-,3237.25,0,21221.95,
Warehouse NCR,Central Store,Ashutosh Kumar,DEVNOW INTERNATIONAL,26-12-2025,SE-102,DI/2025-26/9741,-,-,PO-104,26-12-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1744.5,0,-,-,-,-,-,-,314.01,0,2058.51,
Warehouse NCR,Central Store,Ashutosh Kumar,DAWN CERAMICS,26-12-2025,SE-101,DC/2025-26/1211,-,-,PO-103,26-12-2025,CNC0000035,CI Boba Beverage Glassware 360ML,GLASSWARE,CROCKERY & CUTLERY,-,144,PCS,0,52,-,7488,0,18,1347.84,-,-,-,-,1347.84,0,8835.84,
Warehouse NCR,Central Store,Ashutosh Kumar,DAWN CERAMICS,26-12-2025,SE-101,DC/2025-26/1211,-,-,PO-103,26-12-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1500,0,-,-,-,-,-,-,270,0,1770,
Warehouse NCR,Central Store,Ashutosh Kumar,DJS PRINTERS PRIVATE LIMITED,26-12-2025,SE-100,DDK/25-26/7092,-,-,PO-90,24-12-2025,PKG0000016,Disposable - Lid (Cold) 12Oz - Dome,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,24000,PCS,0,1.5,-,36000,0,18,6480,-,-,-,-,6480,0,42480,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,17-12-2025,SE-99,KA/25-26/010885,-,-,PO-98,17-12-2025,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,49.5,KG,0,798.33,-,39517.34,0,5,1975.87,-,-,-,-,1975.87,0,41493.21,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,17-12-2025,SE-99,KA/25-26/010885,-,-,PO-98,17-12-2025,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,120,KG,0,812.4,-,97488,0,5,4874.4,-,-,-,-,4874.4,0,102362.4,
Warehouse NCR,Central Store,Ashutosh Kumar,LOCAL Vendor,12-12-2025,SE-98,123456,-,-,PO-101,12-12-2025,CNC0000034,Saucer for Spanish Bom Bom Cup,GLASSWARE,CROCKERY & CUTLERY,-,48,PCS,0,60.6,-,2908.8,0,18,523.58,-,-,-,-,523.58,0,3432.38,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,12-12-2025,SE-97,INVGST218202526,-,-,PO-87,12-12-2025,PKG0000009,Disposable - Cup Holder,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,DISPOSABLE TAKE AWAY PACKAGING,-,4500,PCS,0,1.8,-,8100,0,18,1458,-,-,-,-,1458,0,9558,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,12-12-2025,SE-97,INVGST218202526,-,-,PO-87,12-12-2025,-,-,-,-,-,-,-,0,0,Fright Charges,2000,0,-,-,-,-,-,-,360,0,2360,
Warehouse NCR,Central Store,Ashutosh Kumar,Anurag Enterprises,11-12-2025,SE-96,123 - Refurbished,-,-,PO-99,10-12-2025,UNI0000036,CI Female Cap,UNIFORM - CAP/HEAD GEARS,UNIFORM,-,46,PCS.,0,250,-,11500,0,5,575,-,-,-,-,575,0,12075,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,08-12-2025,SE-95,KA/25-26/010208,-,-,PO-88,08-12-2025,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,55,KG,0,812.4,-,44682,0,5,2234.1,-,-,-,-,2234.1,0,46916.1,
Warehouse NCR,Central Store,Ashutosh Kumar,RAMDAS GREENPLAS PRIVATE LIMITED,08-12-2025,SE-94,RGPL/25-26/273,-,-,PO-97,08-12-2025,PKG0000020,Disposable - Straw - 08Mm,DISPOSABLE PACKAGING - BEVERAGES - STRAW,DISPOSABLE TAKE AWAY PACKAGING,-,15000,PCS,0,0.65,-,9750,0,18,1755,-,-,-,-,1755,0,11505,
Warehouse NCR,Central Store,Ashutosh Kumar,RAMDAS GREENPLAS PRIVATE LIMITED,08-12-2025,SE-94,RGPL/25-26/273,-,-,PO-97,08-12-2025,-,-,-,-,-,-,-,0,0,Fright Charges,2000,0,-,-,-,-,-,-,360,0,2360,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,05-12-2025,SE-93,VXNG/25-26/DL008,-,-,PO-96,05-12-2025,CAP0000004,Commercial Induction Cook Top,BOH FOOD EQUIPMENT,CAPEX,-,1,PCS..,0,21500,-,21500,0,18,3870,-,-,-,-,3870,0,25370,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,05-12-2025,SE-93,VXNG/25-26/DL008,-,-,PO-96,05-12-2025,CAP0000315,2 Door Vertical Chiller - Plus Temperature,BOH FOOD EQUIPMENT,CAPEX,-,1,PCS..,0,56000,-,56000,0,18,10080,-,-,-,-,10080,0,66080,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,05-12-2025,SE-93,VXNG/25-26/DL008,-,-,PO-96,05-12-2025,CAP0000319,2 Door Vertical Freezer - Minus Temperature,BOH FOOD EQUIPMENT,CAPEX,-,1,PCS..,0,66000,-,66000,0,18,11880,-,-,-,-,11880,0,77880,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,05-12-2025,SE-93,VXNG/25-26/DL008,-,-,PO-96,05-12-2025,CAP0000314,Cold & Hot Bane Marie Unit with 2 Door Under Counter Chiller & Glass Sneeze Guard,BOH FOOD EQUIPMENT,CAPEX,-,1,PCS..,0,107250,-,107250,0,18,19305,-,-,-,-,19305,0,126555,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,05-12-2025,SE-93,VXNG/25-26/DL008,-,-,PO-96,05-12-2025,CAP0000321,Glass Body Momo Steamer - DS-500H,BOH FOOD EQUIPMENT,CAPEX,-,2,PCS..,0,19300,-,38600,0,18,6948,-,-,-,-,6948,0,45548,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,05-12-2025,SE-93,VXNG/25-26/DL008,-,-,PO-96,05-12-2025,CAP0000325,Grease Trap with 2 Perforated Partition,BOH DEAD FABRICATION EQUIPMENT,CAPEX,-,1,PCS..,0,10500,-,10500,0,18,1890,-,-,-,-,1890,0,12390,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,05-12-2025,SE-93,VXNG/25-26/DL008,-,-,PO-96,05-12-2025,CAP0000317,Single Sink Table with Garbage Chute & Dustbin and 2 Overhead Shelf,BOH DEAD FABRICATION EQUIPMENT,CAPEX,-,1,PCS..,0,16500,-,16500,0,18,2970,-,-,-,-,2970,0,19470,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,05-12-2025,SE-93,VXNG/25-26/DL008,-,-,PO-96,05-12-2025,CAP0000323,Single Tank Table Top Electric Fryer - Karma-GF-6SC,BOH FOOD EQUIPMENT,CAPEX,-,2,PCS..,0,11350,-,22700,0,18,4086,-,-,-,-,4086,0,26786,
