Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Warehouse NCR,Central Store,Ashutosh Kumar,Origami Dripbag Private Limited,9-3-2026,SE-133,IN/25-26/1790,-,-,PO-132,9-3-2026,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,RAW MATERIAL,-,450,PCS(20GM),0,138,-,62100,0,5,3105,-,-,-,-,3105,0,65205,,
Warehouse NCR,Central Store,Ashutosh Kumar,Origami Dripbag Private Limited,9-3-2026,SE-133,IN/25-26/1790,-,-,PO-132,9-3-2026,-,-,-,-,-,-,-,0,0,Fright Charges,2070,0,-,-,-,-,-,-,372.6,0,2442.6,,
Warehouse NCR,Central Store,Ashutosh Kumar,Eezfoil Private Limited,9-3-2026,SE-132,EFL/2526/626,-,-,PO-131,9-3-2026,PKG0000011,Disposable - Sealing Foil,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,DISPOSABLE TAKE AWAY PACKAGING,-,10800,PCS..,0,1.1,-,11880,0,18,2138.4,-,-,-,-,2138.4,0,14018.4,,
Warehouse NCR,Central Store,Ashutosh Kumar,Eezfoil Private Limited,9-3-2026,SE-132,EFL/2526/626,-,-,PO-131,9-3-2026,-,-,-,-,-,-,-,0,0,Fright Charges,150,0,-,-,-,-,-,-,27,0,177,,
Warehouse NCR,Central Store,Ashutosh Kumar,GRAM CONNECT PRIVATE LIMITED,9-3-2026,SE-131,GCPL/25-26/1684,-,-,PO-135,8-3-2026,PKG0000020,Disposable - Straw - 08Mm,DISPOSABLE PACKAGING - BEVERAGES - STRAW,DISPOSABLE TAKE AWAY PACKAGING,-,15000,PCS,0,0.62,-,9300,0,18,1674,-,-,-,-,1674,0,10974,,
Warehouse NCR,Central Store,Ashutosh Kumar,RK Group,6-3-2026,SE-130,1232,-,-,PO-134,6-3-2026,RAW0000045,Sauce - Chocolate,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,48,BTL(1L/1300GM),0,161.9,-,7771.2,0,5,388.56,-,-,-,-,388.56,0,8159.76,,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,23-2-2026,SE-129,INVGST269202526,-,-,PO-129,23-2-2026,PKG0000016,Disposable - Lid (Cold) 12Oz - Dome,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,6000,PCS,0,3.09,-,18540,0,18,3337.2,-,-,-,-,3337.2,0,21877.2,,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,23-2-2026,SE-129,INVGST269202526,-,-,PO-129,23-2-2026,-,-,-,-,-,-,-,0,0,Fright Charges,1800,0,-,-,-,-,-,-,324,0,2124,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,23-2-2026,SE-128,KA/25-26/014118,-,-,PO-128,18-2-2026,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,114.5,KG,0,812.4,-,93019.8,0,5,4650.99,-,-,-,-,4650.99,0,97670.79,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,23-2-2026,SE-128,KA/25-26/014118,-,-,PO-128,18-2-2026,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,2,KG,0,798.33,-,1596.66,0,5,79.83,-,-,-,-,79.83,0,1676.49,,
