Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Warehouse NCR,Central Store,Ashutosh Kumar,Nutaste Food And Drink Labs Pvt Ltd,15-2-2026,SE-125,NUFDL/2526/9821,-,-,PO-114,15-2-2026,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,RAW MATERIAL,-,20,PKT(500GM),0,392.5,-,7850,0,5,392.5,-,-,-,-,392.5,0,8242.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,Nutaste Food And Drink Labs Pvt Ltd,15-2-2026,SE-124,NUFDL/2526/9823,-,-,PO-123,14-2-2026,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,RAW MATERIAL,-,100,PKT(500GM),0,392.5,-,39250,11.78,5,1961.91,-,-,-,-,1961.91,0,41200.14,,
Warehouse NCR,Central Store,Ashutosh Kumar,Luminary Incorporate Services And Tools Management Private Limited,11-2-2026,SE-123,278/2025-26,-,-,PO-125,11-2-2026,PKG0000034,Coffee Island Bag Sealing Sticker,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,-,11200,PCS,0,1.25,-,14000,0,18,2520,-,-,-,-,2520,0,16520,,
Warehouse NCR,Central Store,Ashutosh Kumar,Luminary Incorporate Services And Tools Management Private Limited,11-2-2026,SE-123,278/2025-26,-,-,PO-125,11-2-2026,-,-,-,-,-,-,-,0,0,Fright Charges,1000,0,-,-,-,-,-,-,180,0,1180,,
Warehouse NCR,Central Store,Ashutosh Kumar,Style Plaza,9-2-2026,SE-122,60,-,-,PO-126,9-2-2026,UNI0000047,CI Denim Half Apron,UNIFORM - APRON,UNIFORM,-,42,PCS.,0,350,-,14700,0,5,735,-,-,-,-,735,0,15435,,
Warehouse NCR,Central Store,Ashutosh Kumar,Style Plaza,9-2-2026,SE-122,60,-,-,PO-126,9-2-2026,-,-,-,-,-,-,-,0,0,Fright Charges,400,0,-,-,-,-,-,-,20,0,420,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,9-2-2026,SE-121,KA/25-26/013517,-,-,PO-124,9-2-2026,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,200,KG,0,812.4,-,162480,0,5,8124,-,-,-,-,8124,0,170604,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,9-2-2026,SE-121,KA/25-26/013517,-,-,PO-124,9-2-2026,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,70,KG,0,798.33,-,55883.1,0,5,2794.16,-,-,-,-,2794.16,0,58677.26,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,9-2-2026,SE-121,KA/25-26/013517,-,-,PO-124,9-2-2026,RAW0000006,Beans - Kenya Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,-,5,KG,0,3463.33,-,17316.65,0,5,865.83,-,-,-,-,865.83,0,18182.48,,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,9-2-2026,SE-121,KA/25-26/013517,-,-,PO-124,9-2-2026,RAW0000003,Beans - Kenya Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,10,KG,0,1093.33,-,10933.3,0,5,546.67,-,-,-,-,546.67,0,11479.97,,
