Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"Coffee Island GK II","DELIVERY","POS","235","Volcano Blend - (Default)","Choice of Beans","ADDON",0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","POS","162","Espresso Crema @50","Choice of Crema","ADDON",52.50,1.00,0.00,1.00,52.50,0.00,52.50,2.63,55.13,0.00,
"Coffee Island GK II","DELIVERY","POS","105","Cappuccino-Med","Hot Brews","Hot Beverages",238.10,1.00,0.00,1.00,238.10,0.00,238.10,11.90,250.00,0.02,
"Coffee Island GK II","DELIVERY","POS","211","Double Choco Chunk Cookie","Croissant Cookie & Muffin","Quick Bites",180.95,1.00,0.00,1.00,180.95,0.00,180.95,9.05,190.00,0.01,
"Coffee Island GK II","DELIVERY","POS","365","Java Chip Killer-Medium","Island Special-Cold","Cold Beverages",330.00,1.00,0.00,1.00,330.00,0.00,330.00,16.50,346.50,0.02,
"Coffee Island GK II","DELIVERY","POS","276","The Ultimate  Sweet Crunchy Nut Mix","Trail Mix","Snacks",138.39,1.00,0.00,1.00,138.39,0.00,138.39,16.61,155.00,0.01,
"Coffee Island GK II","DELIVERY","POS","2","Iced Latte Signature-Med","Cold Brews","Cold Beverages",257.14,3.00,0.00,3.00,771.43,0.00,771.43,38.57,810.00,0.06,
"Coffee Island GK II","DELIVERY","POS","340","Regular - Milk -170g Default","Choice of Milk","ADDON",0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","POS","344","Regular - Milk -220g Default","Choice of Milk","ADDON",0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","POS","215","Rocky Road & Pecan Muffin","Croissant Cookie & Muffin","Quick Bites",290.00,1.00,0.00,1.00,290.00,0.00,290.00,14.50,304.50,0.02,
"Coffee Island GK II","DELIVERY","POS","190","Pecan & Date Tea Cake","Desserts","Desserts",276.19,1.00,0.00,1.00,276.19,0.00,276.19,13.81,290.00,0.02,
"Coffee Island GK II","DELIVERY","POS","116","Signature Belgian Dark Hot Chocolate-Med","Hot Chocolate","Hot Beverages",270.00,1.00,0.00,1.00,270.00,0.00,270.00,13.50,283.50,0.02,
"Coffee Island GK II","DELIVERY","Swiggy","151","Oat Milk @50","Choice of Milk","ADDON",50.00,1.00,0.00,1.00,50.00,12.21,37.79,1.89,39.68,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","2","Iced Latte Signature-Med","Cold Brews","Cold Beverages",257.14,9.00,0.00,9.00,2314.26,238.08,2076.18,103.79,2179.97,0.15,
"Coffee Island GK II","DELIVERY","Swiggy","105","Cappuccino-Med","Hot Brews","Hot Beverages",244.05,4.00,0.00,4.00,976.20,121.42,854.78,42.74,897.52,0.06,
"Coffee Island GK II","DELIVERY","Swiggy","97","Hot Latte Signature-reg","Hot Brews","Hot Beverages",230.00,1.00,0.00,1.00,230.00,35.93,194.07,9.70,203.77,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","186","Belgian Chocolate Fudge Brownie","Desserts","Desserts",180.95,1.00,0.00,1.00,180.95,25.44,155.51,7.78,163.29,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","94","Flat White","Hot Brews","Hot Beverages",200.00,1.00,0.00,1.00,200.00,43.59,156.41,7.82,164.23,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","298","Volcano Blend (Beans)","Beans","Beans & Powder",152.54,1.00,0.00,1.00,152.54,21.91,130.63,23.51,154.14,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","295","Global Blend Kenya (Beans)","Beans","Beans & Powder",184.75,1.00,0.00,1.00,184.75,26.54,158.21,28.48,186.69,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","44","Mocha Espressione Cold-Lrg","Island Special-Cold","Cold Beverages",276.19,2.00,0.00,2.00,552.38,125.00,427.38,21.37,448.75,0.03,
"Coffee Island GK II","DELIVERY","Swiggy","234","Master Blend - (Default)","Choice of Beans","ADDON",0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","61","Overnite Espresso Vietnamese Brew","Overnight Brew","Cold Beverages",300.16,6.00,0.00,6.00,1800.96,325.00,1475.96,73.79,1549.75,0.11,
"Coffee Island GK II","DELIVERY","Swiggy","3","Iced Latte Signature-Lrg","Cold Brews","Cold Beverages",276.19,1.00,0.00,1.00,276.19,75.00,201.19,10.06,211.25,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","138","Master Blend @0","Choice of Beans","ADDON",0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","296","Single Estate Kenya (Beans)","Beans","Beans & Powder",375.42,1.00,0.00,1.00,375.42,75.00,300.42,54.08,354.50,0.02,
"Coffee Island GK II","DELIVERY","Swiggy","289","Vietnamese Cold Coffee","Cold Coffee","Ready To Drink",208.47,1.00,0.00,1.00,208.47,62.54,145.93,7.30,153.23,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","85","Apple Beetroot Carrot Fresh Juice","Refresh","Cold Beverages",180.95,2.00,0.00,2.00,361.90,75.00,286.90,14.35,301.25,0.02,
"Coffee Island GK II","DELIVERY","Swiggy","287","Vanilla Cold Brew Coffee","Cold Brew","Ready To Drink",144.07,2.00,0.00,2.00,288.14,54.68,233.46,42.02,275.48,0.02,
"Coffee Island GK II","DELIVERY","Swiggy","106","Cappuccino-reg","Hot Brews","Hot Beverages",221.79,4.00,0.00,4.00,887.15,88.18,798.97,39.95,838.92,0.06,
"Coffee Island GK II","DELIVERY","Swiggy","90","Cortardo (Small)","Hot Brews","Hot Beverages",200.00,1.00,0.00,1.00,200.00,18.31,181.69,9.08,190.77,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","286","Whiskey Barrel Cold Brew Coffee","Cold Brew","Ready To Drink",165.25,1.00,0.00,1.00,165.25,26.71,138.54,24.94,163.48,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","335","Regular - Milk -120g Default","Choice of Milk","ADDON",0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
