Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"Coffee Island GK II","DELIVERY","POS","106","Cappuccino-reg","Hot Brews","Hot Beverages",230.00,1.00,0.00,1.00,230.00,230.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","POS","342","Regular - Milk -200g Default","Choice of Milk","ADDON",0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","POS","235","Volcano Blend - (Default)","Choice of Beans","ADDON",0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","POS","134","Mocha Espressione Hot-Med","Island Special-Hot","Hot Beverages",270.00,1.00,0.00,1.00,270.00,0.00,270.00,13.50,283.50,0.03,
"Coffee Island GK II","DELIVERY","POS","150","Almond Milk @50","Choice of Milk","ADDON",50.00,1.00,0.00,1.00,50.00,50.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","217","Korean Garlic Mushroom Puff","Puff & Toastie","Quick Bites",190.00,1.00,0.00,1.00,190.00,88.83,101.17,5.06,106.23,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","376","Hazelnut Hour Chocolate","Chocolate","Desserts",199.00,1.00,0.00,1.00,199.00,39.88,159.12,7.96,167.08,0.02,
"Coffee Island GK II","DELIVERY","Swiggy","50","Iced Vietneamese Shakerato","Island Special-Cold","Cold Beverages",310.00,5.00,0.00,5.00,1550.00,383.73,1166.27,58.31,1224.58,0.12,
"Coffee Island GK II","DELIVERY","Swiggy","190","Pecan & Date Tea Cake","Desserts","Desserts",290.00,2.00,0.00,2.00,580.00,122.96,457.04,22.85,479.89,0.05,
"Coffee Island GK II","DELIVERY","Swiggy","148","Regular Milk @25","Choice of Milk","ADDON",25.00,1.00,0.00,1.00,25.00,7.84,17.16,0.86,18.02,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","285","Cinnamon Cold Brew Coffee","Cold Brew","Ready To Drink",144.07,1.00,0.00,1.00,144.07,41.60,102.47,18.44,120.91,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","32","Guilt-Free Iced Chocolate-Lrg","Iced Chocolate","Cold Beverages",290.00,2.00,0.00,2.00,580.00,148.24,431.76,21.59,453.35,0.04,
"Coffee Island GK II","DELIVERY","Swiggy","14","Iced Americano-Lrg","Cold Brews","Cold Beverages",250.00,1.00,0.00,1.00,250.00,0.00,250.00,12.50,262.50,0.03,
