Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"Coffee Island GK II","DELIVERY","Swiggy","218","Herb Infused Roasted Chicken Toastie","Puff & Toastie","Quick Bites",340.00,1.00,0.00,1.00,340.00,78.27,261.73,13.09,274.82,0.05,
"Coffee Island GK II","DELIVERY","Swiggy","365","Java Chip Killer","Island Special-Cold","Cold Beverages",360.00,1.00,0.00,1.00,360.00,100.00,260.00,13.00,273.00,0.05,
"Coffee Island GK II","DELIVERY","Swiggy","280","Coffee Almond Shots","Trail Mix","Snacks",100.85,1.00,0.00,1.00,100.85,30.15,70.70,3.53,74.23,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","281","Chocolate Cashew","Trail Mix","Snacks",114.41,1.00,0.00,1.00,114.41,34.21,80.20,4.01,84.21,0.02,
"Coffee Island GK II","DELIVERY","Swiggy","42","Freddo Espresso Ristretto","Island Special-Cold","Cold Beverages",315.00,1.00,0.00,1.00,315.00,100.00,215.00,10.75,225.75,0.04,
"Coffee Island GK II","DELIVERY","Swiggy","11","Islander Cold Coffee","Cold Brews","Cold Beverages",334.76,21.00,0.00,21.00,7030.00,3143.48,3886.52,194.32,4080.84,0.81,
"Coffee Island GK II","DELIVERY","Swiggy","49","Freddo Cappuccino","Island Special-Cold","Cold Beverages",320.00,1.00,0.00,1.00,320.00,79.51,240.49,12.02,252.51,0.05,
"Coffee Island GK II","DELIVERY","Swiggy","88","Aero Press","Alternative Brews","Hot Beverages",340.00,1.00,0.00,1.00,340.00,170.00,170.00,8.50,178.50,0.04,
"Coffee Island GK II","DELIVERY","Swiggy","689","Italian Arrabbiata Penne - Chicken","Pasta","Main Course",495.00,1.00,0.00,1.00,495.00,175.57,319.43,15.97,335.40,0.07,
"Coffee Island GK II","DELIVERY","Swiggy","635","Islander Pistachio Icebrew","Cold Brews","Cold Beverages",310.00,1.00,0.00,1.00,310.00,77.03,232.97,11.65,244.62,0.05,
"Coffee Island GK II","DELIVERY","Swiggy","219","Peri Peri Cheese Toastie","Puff & Toastie","Quick Bites",320.00,1.00,0.00,1.00,320.00,75.85,244.15,12.21,256.36,0.05,
"Coffee Island GK II","DELIVERY","Swiggy","692","Smoky Chipotle Chicken Pide","Pizza","Main Course",200.00,1.00,0.00,1.00,200.00,70.94,129.06,6.45,135.51,0.03,
"Coffee Island GK II","DELIVERY","Swiggy","217","Korean Garlic Mushroom Puff","Puff & Toastie","Quick Bites",210.00,5.00,0.00,5.00,1050.00,378.12,671.88,33.60,705.48,0.14,
"Coffee Island GK II","DELIVERY","Swiggy","135","Mocha Espressione Hot","Island Special-Hot","Hot Beverages",290.00,2.00,0.00,2.00,580.00,275.95,304.05,15.21,319.26,0.06,
"Coffee Island GK II","DELIVERY","Swiggy","586","Basil & Oven Dried Tomato Pinwheel with Cappuccino","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)",300.00,2.00,0.00,2.00,600.00,234.98,365.02,18.26,383.28,0.08,
"Coffee Island GK II","DELIVERY","Swiggy","6","Bobastic Coffeeccino","Cold Brews","Cold Beverages",320.00,4.00,0.00,4.00,1280.00,580.69,699.31,34.96,734.27,0.15,
"Coffee Island GK II","DELIVERY","Swiggy","174","Garlic Mushroom & Caramelized Onion Melt","Hand Made Sandwiches","Main Course",390.00,1.00,0.00,1.00,390.00,118.94,271.06,13.55,284.61,0.06,
"Coffee Island GK II","DELIVERY","Swiggy","424","Korean Bun","Puff & Toastie","Quick Bites",350.00,1.00,0.00,1.00,350.00,156.13,193.87,9.69,203.56,0.04,
"Coffee Island GK II","DELIVERY","Swiggy","106","Cappuccino","Hot Brews","Hot Beverages",261.76,17.00,0.00,17.00,4450.00,2214.42,2235.58,111.78,2347.36,0.47,
"Coffee Island GK II","DELIVERY","Swiggy","389","Bobastic Coconut Matcha","Cold Brews","Cold Beverages",340.00,4.00,0.00,4.00,1360.00,497.09,862.91,43.14,906.05,0.18,
"Coffee Island GK II","DELIVERY","Swiggy","678","Almond Pistachio Croissant","Desserts","Desserts",308.00,1.00,0.00,1.00,308.00,96.25,211.75,10.59,222.34,0.04,
"Coffee Island GK II","DELIVERY","Swiggy","115","Signature Belgian Dark Hot Chocolate","Hot Chocolate","Hot Beverages",310.00,16.00,0.00,16.00,4960.00,2489.42,2470.58,123.53,2594.11,0.51,
"Coffee Island GK II","DELIVERY","Swiggy","124","Hazelnut Hot Chocolate","Hot Chocolate","Hot Beverages",310.00,6.00,0.00,6.00,1860.00,811.12,1048.88,52.44,1101.32,0.22,
"Coffee Island GK II","DELIVERY","Swiggy","583","French Butter Croissant with Cappuccino","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)",300.00,2.00,0.00,2.00,600.00,242.00,358.00,17.90,375.90,0.07,
"Coffee Island GK II","DELIVERY","Swiggy","634","Pistachio Cappuccino","Hot Brews","Hot Beverages",280.00,4.00,0.00,4.00,1120.00,457.37,662.63,33.13,695.76,0.14,
"Coffee Island GK II","DELIVERY","Swiggy","862","New York–Style Cheesecake - Berry","Desserts","Desserts",385.00,1.00,0.00,1.00,385.00,120.31,264.69,13.23,277.92,0.06,
"Coffee Island GK II","DELIVERY","Swiggy","294","Global Blend Ethiopia (Beans)","Beans","Beans & Powder",184.75,1.00,0.00,1.00,184.75,55.42,129.33,6.47,135.80,0.03,
"Coffee Island GK II","DELIVERY","Swiggy","46","Orange Bumble Coffee","Island Special-Cold","Cold Beverages",340.00,1.00,0.00,1.00,340.00,74.03,265.97,13.30,279.27,0.06,
"Coffee Island GK II","DELIVERY","Swiggy","2","Iced Latte Signature","Cold Brews","Cold Beverages",332.50,6.00,0.00,6.00,1995.00,909.98,1085.02,54.25,1139.27,0.23,
"Coffee Island GK II","DELIVERY","Swiggy","86","Island Pour Over","Alternative Brews","Hot Beverages",340.00,3.00,0.00,3.00,1020.00,345.00,675.00,33.75,708.75,0.14,
"Coffee Island GK II","DELIVERY","Swiggy","282","Hazelnut Chocolate Shots","Trail Mix","Snacks",100.85,1.00,0.00,1.00,100.85,30.15,70.70,3.53,74.23,0.01,
"Coffee Island GK II","DELIVERY","Swiggy","390","Vietnamese Matcha","Cold Brews","Cold Beverages",340.00,2.00,0.00,2.00,680.00,283.70,396.30,19.81,416.11,0.08,
"Coffee Island GK II","DELIVERY","Swiggy","183","Sriracha Chicken & Avocado Wrap","Wholesome Wrap","Main Course",390.00,2.00,0.00,2.00,780.00,169.85,610.15,30.51,640.66,0.13,
"Coffee Island GK II","DELIVERY","Swiggy","179","Roasted Chicken Mac & Cheese","Pasta","Main Course",430.00,1.00,0.00,1.00,430.00,141.93,288.07,14.40,302.47,0.06,
"Coffee Island GK II","DELIVERY","Swiggy","94","Flat White","Hot Brews","Hot Beverages",250.00,5.00,0.00,5.00,1250.00,600.45,649.55,32.48,682.03,0.14,
"Coffee Island GK II","DELIVERY","Swiggy","30","Classic Iced Chocolate","Iced Chocolate","Cold Beverages",300.00,1.00,0.00,1.00,300.00,150.00,150.00,7.50,157.50,0.03,
"Coffee Island GK II","DELIVERY","Swiggy","185","Cold Brew Tiramisu","Desserts","Desserts",390.00,3.00,0.00,3.00,1170.00,382.00,788.00,39.40,827.40,0.16,
"Coffee Island GK II","DELIVERY","Swiggy","15","Iced Americano","Cold Brews","Cold Beverages",308.33,3.00,0.00,3.00,925.00,344.98,580.02,29.00,609.02,0.12,
"Coffee Island GK II","DELIVERY","Swiggy","303","Pourover Assorted Box Of 5 Sachets","Pour Over","Beans & Powder",296.61,1.00,0.00,1.00,296.61,100.00,196.61,9.83,206.44,0.04,
"Coffee Island GK II","DELIVERY","Swiggy","99","Americano","Hot Brews","Hot Beverages",250.00,5.00,0.00,5.00,1250.00,567.39,682.61,34.13,716.74,0.14,
"Coffee Island GK II","DELIVERY","Swiggy","212","French Butter Croissant","Croissant Cookie & Muffin","Quick Bites",209.50,4.00,0.00,4.00,838.00,388.47,449.53,22.48,472.01,0.09,
"Coffee Island GK II","DELIVERY","Swiggy","39","Hazelnut Iced Chocolate","Iced Chocolate","Cold Beverages",350.00,1.00,0.00,1.00,350.00,73.68,276.32,13.82,290.14,0.06,
"Coffee Island GK II","DELIVERY","Swiggy","97","Hot Latte Signature","Hot Brews","Hot Beverages",303.75,4.00,0.00,4.00,1215.00,368.74,846.26,42.31,888.57,0.18,
"Coffee Island GK II","DELIVERY","Swiggy","636","Dubai Chocolate Cocoa","Cold Brews","Cold Beverages",330.00,1.00,0.00,1.00,330.00,123.45,206.55,10.33,216.88,0.04,
"Coffee Island GK II","DELIVERY","Swiggy","213","Sea Salt Caramel Brookie","Croissant Cookie & Muffin","Quick Bites",230.00,3.00,0.00,3.00,690.00,272.19,417.81,20.89,438.70,0.09,
"Coffee Island GK II","DELIVERY","Swiggy","122","Guilt-Free Hot Chocolate","Hot Chocolate","Hot Beverages",360.00,2.00,0.00,2.00,720.00,210.39,509.61,25.48,535.09,0.11,
"Coffee Island GK II","DELIVERY","Swiggy","633","Orange Hot Chocolate","Hot Brews","Hot Beverages",280.00,1.00,0.00,1.00,280.00,140.00,140.00,7.00,147.00,0.03,
"Coffee Island GK II","DELIVERY","Swiggy","187","Nolen Gur Banoffee Jar","Desserts","Desserts",340.00,1.00,0.00,1.00,340.00,112.22,227.78,11.39,239.17,0.05,
