Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"MSFT Hyd","DINE IN","POS","353","Emp Meal","Emp Meal","Emp Meal",0.00,121.00,0.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","336","Regular - Milk -130g Default","Choice of Milk","ADDON",0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","8","Gelato Affagato","Cold Brews","Cold Beverages",276.19,0.00,34.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","49","Freddo Cappuccino-Med","Island Special-Cold","Cold Beverages",257.14,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","342","Regular - Milk -200g Default","Choice of Milk","ADDON",0.00,0.00,67.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","219","Peri Peri Cheese Toastie","Puff & Toastie","Quick Bites",238.09,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","2","Iced Latte Signature-Med","Cold Brews","Cold Beverages",257.14,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","210","Parker House Cream Pie Croissant","Croissant Cookie & Muffin","Quick Bites",147.34,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","99","Americano-reg","Hot Brews","Hot Beverages",140.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","338","Regular - Milk -150g Default","Choice of Milk","ADDON",0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","235","Volcano Blend (Default)","Choice of Beans","ADDON",0.00,0.00,99.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","217","Korean Garlic Mushroom Puff","Puff & Toastie","Quick Bites",104.46,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
