Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island HQ-27","2025-04-09","POS","COUNTER","163","NA","Beverages","Choose Ice Cream","Vanilla Ice Cream @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-09","POS","COUNTER","161","NA","Beverages","Choose of Crema","Salted Caramel Crema @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-09","POS","COUNTER","165","NA","Beverages","Choose of Syrup","Irish Syrup @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-09","POS","COUNTER","137","NA","Beverages","Choose of Beans","Volcano Blend @0",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"Coffee Island HQ-27","2025-04-09","POS","COUNTER","10","NA","Beverages","Cold Brews","Islander Cold Coffee-Lrg",1.00,1.00,257.140,257.14,0.00,257.14,12.86,270.00,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","147","NA","Cold Beverages","Choose of Milk","Regular Milk @0",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","234","NA","Cold Beverages","Choose of Beans","Master Blend - (Default)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","137","NA","Cold Beverages","Choose of Beans","Volcano Blend @0",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","90","NA","Hot Beverages","Hot Brews","Cortardo (Small)",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","149","NA","Cold Beverages","Choose of Milk","Soya Milk @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","240","NA","Cold Beverages","Choose of Extra Shot - 50","Extra Shot - Volcano Blend",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","164","NA","Cold Beverages","Choose of Sauce","Chocolate Sauce @50",2.00,2.00,50.000,100.00,0.00,100.00,5.00,105.00,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","239","NA","Cold Beverages","Choose of Extra Shot - 50","Extra Shot - Master Blend",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-11","POS","COUNTER","165","NA","Cold Beverages","Choose of Syrup","Irish Syrup @50",2.00,2.00,50.000,100.00,0.00,100.00,5.00,105.00,0,
"Coffee Island HQ-27","2025-04-14","POS","COUNTER","140","NA","Cold Beverages","Choose of Beans","Ethiopia Blend @25",1.00,1.00,25.000,25.00,0.00,25.00,1.25,26.25,0,
"Coffee Island HQ-27","2025-04-14","POS","COUNTER","154","NA","Cold Beverages","Choose of Boba","Coffee Popping Boba - 50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-14","POS","COUNTER","244","NA","Cold Beverages","Choose of Extra Shot - 50","Extra Shot - Ethiopia Single Estate",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-14","POS","COUNTER","14","NA","Cold Beverages","Cold Brews","Iced Americano-Lrg",1.00,1.00,238.100,238.10,0.00,238.10,11.90,250.00,0,
"Coffee Island HQ-27","2025-04-14","POS","COUNTER","148","NA","Cold Beverages","Choose of Milk","Regular Milk @25",1.00,1.00,25.000,25.00,0.00,25.00,1.25,26.25,0,
"Coffee Island HQ-27","2025-04-14","POS","COUNTER","165","NA","Cold Beverages","Choose of Syrup","Irish Syrup @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-14","POS","COUNTER","164","NA","Cold Beverages","Choose of Sauce","Chocolate Sauce @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-14","POS","DELIVERY","148","NA","Cold Beverages","Choose of Milk","Regular Milk @25",1.00,1.00,25.000,25.00,0.00,25.00,1.25,26.25,0,
"Coffee Island HQ-27","2025-04-14","POS","DELIVERY","154","NA","Cold Beverages","Choose of Boba","Coffee Popping Boba - 50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-14","POS","DELIVERY","165","NA","Cold Beverages","Choose of Syrup","Irish Syrup @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-14","POS","DELIVERY","164","NA","Cold Beverages","Choose of Sauce","Chocolate Sauce @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,0,
"Coffee Island HQ-27","2025-04-14","POS","DELIVERY","234","NA","Cold Beverages","Choose of Beans","Master Blend - (Default)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"Coffee Island HQ-27","2025-04-14","POS","DELIVERY","14","NA","Cold Beverages","Cold Brews","Iced Americano-Lrg",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,0,
"Coffee Island HQ-27","2025-04-15","POS","COUNTER","50","NA","Cold Beverages","Island Special-Cold","Iced Vietneamese Shakerato",1.00,1.00,295.240,295.24,0.00,295.24,14.76,310.00,0,
"Coffee Island HQ-27","2025-04-15","POS","COUNTER","235","NA","Cold Beverages","Choose of Beans","Volcano Blend - (Default)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
