Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2025-12-01","Mobile App","TAKEAWAY","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2025-12-01","Mobile App","TAKEAWAY","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",2.00,2.00,115.000,230.00,131.00,99.00,4.95,103.95,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","608","NA","Value Combos (upto 40% off)","Cold Value Combos (upto 40% off)","Sriracha Chicken & Avocado Wrap with Islander Cold Coffee",1.00,1.00,599.000,599.00,0.00,599.00,29.95,628.95,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","185","FOOD","Desserts","Desserts","Cold Brew Tiramisu",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","190","FOOD","Desserts","Desserts","Pecan & Date Tea Cake",1.00,1.00,290.000,290.00,29.00,261.00,13.05,274.05,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","122","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",3.00,3.00,280.000,840.00,0.00,840.00,42.00,882.00,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","49","BEVERAGES","Cold Beverages","Island Special-Cold","Freddo Cappuccino",2.00,2.00,290.000,580.00,0.00,580.00,29.00,609.00,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","418","NA","Quick Bites","Pops","Korean Pop - Potato",2.00,2.00,240.000,480.00,0.00,480.00,24.00,504.00,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",2.00,2.00,280.000,560.00,21.43,538.57,26.93,565.50,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",15.00,15.00,235.000,3525.00,467.25,3057.75,152.92,3210.67,9,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","602","NA","Value Combos (upto 40% off)","Cold Value Combos (upto 40% off)","Roasted Tomato & Bocconcini Croissant with Islander Cold Coffee",1.00,1.00,599.000,599.00,45.84,553.16,27.66,580.82,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","635","BEVERAGES","Cold Beverages","Cold Brews","Islander Pistachio Icebrew",2.00,2.00,310.000,620.00,54.73,565.27,28.26,593.53,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","284","BEVERAGES","Ready To Drink","Cold Brew","500 Ml Water Bottle",2.00,2.00,38.100,76.20,0.00,76.20,3.82,80.02,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","218","FOOD","Quick Bites","Puff & Toastie","Herb Infused Roasted Chicken Toastie",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","110","BEVERAGES","Hot Beverages","Hot Brews","Machiato",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",1.00,1.00,230.000,230.00,23.00,207.00,10.35,217.35,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","424","FOOD","Quick Bites","Puff & Toastie","Korean Bun",2.00,2.00,320.000,640.00,0.00,640.00,32.00,672.00,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","138","BEVERAGES","ADDON","Choice of Beans","Master Blend @0",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortardo",1.00,1.00,230.000,230.00,57.50,172.50,8.63,181.13,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","421","FOOD","Desserts","Desserts","Choco Fudge Delight",2.00,2.00,300.000,600.00,600.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","282","RETAIL","Snacks","Trail Mix","Hazelnut Chocolate Shots",1.00,1.00,100.850,100.85,0.00,100.85,5.04,105.89,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","150","BEVERAGES","ADDON","Choice of Milk","Almond Milk @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","178","FOOD","Main Course","Pizza","Roasted Tomato Basil Bocconcini Pide",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",1.00,1.00,310.000,310.00,140.86,169.14,8.46,177.60,1,
"Coffee Island Beyond GK II","2025-12-01","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",4.00,4.00,0.000,0.00,0.00,0.00,0.00,0.00,4,
