Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2025-09-01","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",4.00,4.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","189","FOOD","Desserts","Desserts","New York Cheesecake",1.00,1.00,241.280,241.28,0.00,241.28,12.06,253.34,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","221","FOOD","Quick Bites","Puff & Toastie","Chipotle Paneer Bhurji & Broccomole Toastie",1.00,1.00,241.280,241.28,0.00,241.28,12.06,253.34,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","10","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee-Lrg",20.00,20.00,180.950,3619.00,0.00,3619.00,181.00,3800.00,20,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","90","BEVERAGES","Hot Beverages","Hot Brews","Cortardo (Small)",3.00,3.00,152.380,457.14,0.00,457.14,22.86,480.00,3,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","135","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot-reg",6.00,6.00,180.950,1085.70,0.00,1085.70,54.30,1140.00,6,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",1.00,1.00,161.900,161.90,0.00,161.90,8.10,170.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","6","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino-Med",3.00,3.00,180.950,542.85,0.00,542.85,27.15,570.00,3,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","196","FOOD","Desserts","Gelato","Belgian Chocolate Singal Scoop",2.00,2.00,94.290,188.58,0.00,188.58,9.42,198.00,2,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino-reg",12.00,12.00,152.380,1828.56,0.00,1828.56,91.44,1920.00,11,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","52","BEVERAGES","Cold Beverages","Milk Shake","Double Chocolate Indulgent Milkshake-Med",1.00,1.00,180.950,180.95,0.00,180.95,9.05,190.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","86","BEVERAGES","Hot Beverages","Alternative Brews","Island Pour Over",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature-Med",5.00,5.00,123.810,619.05,0.00,619.05,30.95,650.00,5,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","138","BEVERAGES","ADDON","Choice of Beans","Master Blend @0",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","96","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature-Med",1.00,1.00,171.430,171.43,0.00,171.43,8.57,180.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","166","BEVERAGES","ADDON","Choice of Syrup","Hazelnut Syrup @50",1.00,1.00,25.000,25.00,0.00,25.00,1.25,26.25,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","151","BEVERAGES","ADDON","Choice of Milk","Oat Milk @50",2.00,2.00,50.000,100.00,0.00,100.00,5.00,105.00,2,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","338","BEVERAGES","ADDON","Choice of Milk","Regular - Milk -150g Default",10.00,10.00,0.000,0.00,0.00,0.00,0.00,0.00,10,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","70","BEVERAGES","Cold Beverages","Refresh","Iced Classic Lemon Tea-Med",1.00,1.00,123.810,123.81,0.00,123.81,6.19,130.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","178","FOOD","Main Course","Pizza","Roasted Tomato Basil Bocconcini Pide",1.00,1.00,240.950,240.95,0.00,240.95,12.05,253.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","141","BEVERAGES","ADDON","Choice of Beans","Kenya Single Estate @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate-reg",1.00,1.00,161.900,161.90,0.00,161.90,8.10,170.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","214","FOOD","Quick Bites","Croissant Cookie & Muffin","Oats & Honey Delight Muffin",1.00,1.00,190.480,190.48,0.00,190.48,9.52,200.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","7","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino-Lrg",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",2.00,2.00,99.480,198.96,0.00,198.96,9.94,208.90,2,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","220","FOOD","Quick Bites","Puff & Toastie","Herb Chicken Open Puff",1.00,1.00,140.330,140.33,0.00,140.33,7.02,147.35,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","99","BEVERAGES","Hot Beverages","Hot Brews","Americano-reg",5.00,5.00,133.332,666.66,0.00,666.66,33.34,700.00,3,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","339","BEVERAGES","ADDON","Choice of Milk","Regular - Milk -160g Default",4.00,4.00,0.000,0.00,0.00,0.00,0.00,0.00,4,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","186","FOOD","Desserts","Desserts","Belgian Chocolate Fudge Brownie",7.00,7.00,99.480,696.36,0.00,696.36,34.79,731.15,7,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee-Med",10.00,10.00,171.430,1714.30,0.00,1714.30,85.70,1800.00,10,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","100","BEVERAGES","Hot Beverages","Hot Brews","Americano-Med",2.00,2.00,152.380,304.76,0.00,304.76,15.24,320.00,2,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","190","FOOD","Desserts","Desserts","Pecan & Date Tea Cake",4.00,4.00,190.480,761.92,0.00,761.92,38.08,800.00,4,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon (Small)",1.00,1.00,209.520,209.52,0.00,209.52,10.48,220.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","218","FOOD","Quick Bites","Puff & Toastie","Herb Infused Roasted Chicken Toastie",1.00,1.00,190.480,190.48,0.00,190.48,9.52,200.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","211","FOOD","Quick Bites","Croissant Cookie & Muffin","Double Choco Chunk Cookie",2.00,2.00,99.480,198.96,0.00,198.96,9.94,208.90,2,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","150","BEVERAGES","ADDON","Choice of Milk","Almond Milk @50",3.00,3.00,50.000,150.00,0.00,150.00,7.50,157.50,3,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","122","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate-Reg",1.00,1.00,161.900,161.90,0.00,161.90,8.10,170.00,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","121","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate-Med",2.00,2.00,180.950,361.90,0.00,361.90,18.10,380.00,2,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","216","FOOD","Quick Bites","Croissant Cookie & Muffin","White Chocolate & Pistachio Flat Croissant",4.00,4.00,140.330,561.32,0.00,561.32,28.08,589.40,4,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","185","FOOD","Desserts","Desserts","Cold Brew Tiramisu",1.00,1.00,241.280,241.28,0.00,241.28,12.06,253.34,1,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","140","BEVERAGES","ADDON","Choice of Beans","Ethiopia Blend @25",2.00,2.00,25.000,50.00,0.00,50.00,2.50,52.50,2,
"MSFT Hyd","2025-09-01","POS","TAKEAWAY","337","BEVERAGES","ADDON","Choice of Milk","Regular - Milk -140g Default",6.00,6.00,0.000,0.00,0.00,0.00,0.00,0.00,6,
