Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2025-12-01","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","166","NA","ADDON","Choice of Syrup","Hazelnut Syrup @50",7.00,7.00,25.000,175.00,0.00,175.00,8.75,183.75,7,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","10","NA","Cold Beverages","Cold Brews","Islander Cold Coffee-Lrg",16.00,16.00,180.950,2895.20,0.00,2895.20,144.80,3040.00,16,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","4","NA","Cold Beverages","Cold Brews","Fizzy Espressione (Tonic Water)",1.00,1.00,209.520,209.52,0.00,209.52,10.48,220.00,1,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","235","NA","ADDON","Choice of Beans","Volcano Blend (Default)",53.00,53.00,0.000,0.00,0.00,0.00,0.00,0.00,53,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","32","NA","Cold Beverages","Iced Chocolate","Guilt-Free Iced Chocolate-Lrg",2.00,2.00,180.950,361.90,0.00,361.90,18.10,380.00,2,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano-Med",3.00,3.00,152.380,457.14,0.00,457.14,22.86,480.00,3,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate-reg",2.00,2.00,161.900,323.80,0.00,323.80,16.20,340.00,2,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","332","NA","ADDON","Choice of Milk","Regular - Milk -90g Default",20.00,20.00,0.000,0.00,0.00,0.00,0.00,0.00,19,
"MSFT Hyd","2025-12-01","POS","TAKEAWAY","138","NA","ADDON","Choice of Beans","Master Blend @0",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
