Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","167","NA","ADDON","Choice of Syrup","Salted Caramel Syrup @50",1.00,1.00,25.000,25.00,0.00,25.00,1.25,26.25,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","118","NA","Hot Beverages","Hot Chocolate","Classic Strawberry Hot Chocolate-Med",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","124","NA","Hot Beverages","Hot Chocolate","Hazelnut Indulgent Hot Chocolate-Reg",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","33","NA","Cold Beverages","Iced Chocolate","Guilt-Free Iced Chocolate-Med",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","215","NA","Quick Bites","Croissant Cookie & Muffin","Rocky Road & Pecan Muffin",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","339","NA","ADDON","Choice of Milk","Regular - Milk -160g Default",11.00,11.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","200","NA","Desserts","Gelato","Mango Sorbet Singal Scoop",5.00,5.00,99.000,495.00,0.00,495.00,24.75,519.75,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietneamese Shakerato",20.00,20.00,220.000,4400.00,0.00,4400.00,220.00,4620.00,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","67","NA","Cold Beverages","Refresh","Bobastic Raw Mango Refresh Tea-Med",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","128","NA","Hot Beverages","Hot Chocolate","Dreamy Salted Caramel Hot Chocolate-Med",7.00,7.00,190.000,1330.00,0.00,1330.00,66.50,1396.50,0,
"MSFT Hyd","2025-05-08","POS","TAKEAWAY","90","NA","Hot Beverages","Hot Brews","Cortardo (Small)",4.00,4.00,160.000,640.00,0.00,640.00,32.00,672.00,0,
