Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","620","NA","Emp_Bev","Emp_Bev","Latte(emp)",11.00,11.00,0.000,0.00,0.00,0.00,0.00,0.00,7,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","78","BEVERAGES","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",3.00,3.00,270.000,810.00,0.00,810.00,40.50,850.50,2,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",1.00,1.00,220.000,220.00,0.00,220.00,11.00,231.00,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",7.00,7.00,315.000,2205.00,207.22,1997.78,99.89,2097.67,7,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","636","BEVERAGES","Cold Beverages","Cold Brews","Dubai Chocolate",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",2.00,2.00,280.000,560.00,67.86,492.14,24.61,516.75,2,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",4.00,4.00,228.750,915.00,71.25,843.75,42.19,885.94,3,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","61","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Vietnamese)",1.00,1.00,310.000,310.00,82.00,228.00,11.40,239.40,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",6.00,6.00,322.500,1935.00,108.50,1826.50,91.33,1917.83,6,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","200","FOOD","Desserts","Gelato","Mango Sorbet Single Scoop",2.00,2.00,195.000,390.00,0.00,390.00,19.50,409.50,2,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","297","RETAIL","Beans & Powder","Beans","Single Estate Ethiopia (Beans)",1.00,1.00,375.420,375.42,0.00,375.42,18.77,394.19,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",3.00,3.00,190.000,570.00,66.50,503.50,25.18,528.68,3,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","282","RETAIL","Snacks","Ready to Munch","Hazelnut Chocolate Shots",1.00,1.00,100.850,100.85,0.00,100.85,5.04,105.89,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","722","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Berry",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","688","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Veg",1.00,1.00,400.000,400.00,100.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","132","BEVERAGES","Hot Beverages","Hot Tea","Morning Breakfast Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","638","NA","Smoothies and Shakes","Smoothies and Shakes","Berry Blast Smoothies",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","680","FOOD","Desserts","Desserts","The Walnut Date Teacake",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","717","FOOD","All Day Breakfast","All Day Breakfast","Islander Breakfast Burrito - Chicken",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","721","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Nutella",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-01-01","POS","DINE IN","694","FOOD","Main Course","Pizza","Chicken Jalapeno Melt Flatbread",1.00,1.00,420.000,420.00,0.00,420.00,21.00,441.00,1,
