Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","700","FOOD","Main Course","Sandwiches","Paprika Chicken Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",2.00,2.00,267.500,535.00,46.00,489.00,24.45,513.45,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","644","NA","Cold Beverages","Mojito","Fresh Mint",3.00,3.00,230.000,690.00,0.00,690.00,34.50,724.50,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",6.00,6.00,254.167,1525.00,163.00,1362.00,68.10,1430.10,6,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","685","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Non Veg",2.00,2.00,450.000,900.00,27.50,872.50,43.63,916.13,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","712","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Egg Toast",1.00,1.00,570.000,570.00,0.00,570.00,28.50,598.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",12.00,12.00,227.500,2730.00,122.50,2607.50,130.38,2737.88,8,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","639","NA","Smoothies and Shakes","Smoothies and Shakes","Avocado Smoothies",1.00,1.00,350.000,350.00,273.00,77.00,3.85,80.85,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",2.00,2.00,330.000,660.00,87.00,573.00,28.65,601.65,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","620","NA","Emp_Bev","Emp_Bev","Latte(emp)",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","708","FOOD","Main Course","Sandwiches","Roasted Tomato & Bocconcini Croissant (CIB)",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","63","BEVERAGES","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",2.00,2.00,310.000,620.00,233.00,387.00,19.35,406.35,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","151","BEVERAGES","ADDON","Choice of Milk","Oat Milk @50",2.00,2.00,50.000,100.00,0.00,100.00,5.00,105.00,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",17.00,17.00,241.765,4110.00,57.44,4052.56,202.63,4255.19,13,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","705","FOOD","All Day Breakfast","Toasties","Akuri Toast",1.00,1.00,350.000,350.00,54.86,295.14,14.76,309.90,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","718","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Nutella",2.00,2.00,380.000,760.00,0.00,760.00,38.00,798.00,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",5.00,5.00,280.000,1400.00,56.00,1344.00,67.20,1411.20,4,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",7.00,7.00,300.714,2105.00,9.59,2095.41,104.77,2200.18,7,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",3.00,3.00,291.667,875.00,0.00,875.00,43.75,918.75,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","648","FOOD","Sides","Sides","Cheesy Fries",3.00,3.00,270.000,810.00,0.00,810.00,40.50,850.50,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","908","NA","Desserts","Tea Cakes","Almond Tea Cake",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","638","NA","Smoothies and Shakes","Smoothies and Shakes","Berry Blast Smoothies",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",3.00,3.00,310.000,930.00,233.00,697.00,34.85,731.85,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","686","FOOD","Main Course","Pasta","Three-Cheese Mac - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","909","NA","Desserts","Tea Cakes","Cinnamon Pistachio Tea Cake",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",1.00,1.00,310.000,310.00,233.00,77.00,3.85,80.85,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","679","FOOD","Desserts","Desserts","French Pain Au Chocolat",3.00,3.00,250.000,750.00,0.00,750.00,37.50,787.50,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","871","NA","Breakfast Specials CIB","Breakfast Specials CIB","Breakfast Specials @ ₹299",4.00,4.00,299.000,1196.00,0.00,1196.00,59.80,1255.80,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","870","BEVERAGES","Ready To Drink","Cold Brew","Glass Water Bottle - 750 ML",1.00,1.00,95.240,95.24,0.00,95.24,4.76,100.00,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",3.00,3.00,310.000,930.00,233.00,697.00,34.85,731.85,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","641","NA","Cold Beverages","Mojito","Dark Berry",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","662","FOOD","All Day Breakfast","All Day Breakfast","The Islander Veg Breakfast Plate",1.00,1.00,420.000,420.00,0.00,420.00,21.00,441.00,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",5.00,5.00,210.000,1050.00,0.00,1050.00,52.50,1102.50,5,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",2.00,2.00,490.000,980.00,26.82,953.18,47.66,1000.84,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","135","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",3.00,3.00,271.667,815.00,209.00,606.00,30.30,636.30,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","703","FOOD","Main Course","Sandwiches","Ham & Cheese Brioche Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",3.00,3.00,310.000,930.00,0.00,930.00,46.50,976.50,2,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","279","RETAIL","Snacks","Ready to Munch","The Ultimate Trail Mix",1.00,1.00,185.710,185.71,6.14,179.57,8.98,188.55,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","866","FOOD","Main Course","Sandwiches","Chilli Cheese Brioche Melt",1.00,1.00,390.000,390.00,61.14,328.86,16.44,345.30,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","910","NA","Desserts","Tea Cakes","Choco Banana Tea Cake",4.00,4.00,250.000,1000.00,0.00,1000.00,50.00,1050.00,3,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","633","BEVERAGES","Hot Beverages","Hot Brews","Spiced Hot Chocolate",1.00,1.00,280.000,280.00,203.00,77.00,3.85,80.85,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",12.00,12.00,0.000,0.00,0.00,0.00,0.00,0.00,9,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","657","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Omelette",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","283","RETAIL","Snacks","Ready to Munch","Masala Almond",1.00,1.00,133.330,133.33,0.00,133.33,6.67,140.00,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","148","BEVERAGES","ADDON","Choice of Milk","Regular Milk @25",1.00,1.00,25.000,25.00,0.00,25.00,1.25,26.25,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","209","FOOD","Desserts","Gelato","Dark Chocolate Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","717","FOOD","All Day Breakfast","All Day Breakfast","Islander Breakfast Burrito - Chicken",1.00,1.00,450.000,450.00,45.00,405.00,20.25,425.25,1,
"Coffee Island Beyond GK II","2026-02-01","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","TAKEAWAY","279","RETAIL","Snacks","Ready to Munch","The Ultimate Trail Mix",1.00,1.00,185.710,185.71,0.00,185.71,9.29,195.00,1,
"Coffee Island Beyond GK II","2026-02-01","POS","TAKEAWAY","49","BEVERAGES","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,290.000,290.00,0.00,290.00,14.50,304.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","TAKEAWAY","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",1.00,1.00,280.000,280.00,28.00,252.00,12.60,264.60,1,
"Coffee Island Beyond GK II","2026-02-01","POS","TAKEAWAY","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","TAKEAWAY","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-01","POS","TAKEAWAY","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",2.00,2.00,247.500,495.00,0.00,495.00,24.75,519.75,2,
"Coffee Island Beyond GK II","2026-02-01","POS","TAKEAWAY","701","FOOD","Main Course","Sandwiches","Pomodoro Meatball Melt",1.00,1.00,450.000,450.00,135.00,315.00,15.75,330.75,1,
