Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-02","Mobile App","TAKEAWAY","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",1.00,1.00,410.000,410.00,410.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-02","Mobile App","TAKEAWAY","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-02","Mobile App","TAKEAWAY","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",2.00,2.00,290.000,580.00,87.00,493.00,24.65,517.65,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",2.00,2.00,210.000,420.00,0.00,420.00,21.00,441.00,2,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","652","FOOD","Sides","Sides","K-Spice Chicken Bites",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",2.00,2.00,210.000,420.00,0.00,420.00,21.00,441.00,2,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","62","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Classic)",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","371","NA","Cold Beverages","Special Brews","Nitro Bubble Brew (Watermelon Prebiotic Fizz)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",2.00,2.00,315.000,630.00,0.00,630.00,31.50,661.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","870","BEVERAGES","Ready To Drink","Cold Brew","Glass Water Bottle - 750 ML",2.00,2.00,95.240,190.48,0.00,190.48,9.52,200.00,2,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","721","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Nutella",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","644","NA","Cold Beverages","Mojito","Fresh Mint",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","719","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Berry",1.00,1.00,380.000,380.00,24.00,356.00,17.80,373.80,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",1.00,1.00,220.000,220.00,55.00,165.00,8.25,173.25,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",1.00,1.00,230.000,230.00,23.00,207.00,10.35,217.35,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","368","BEVERAGES","Hot Beverages","Hot Brews","Ibrik Coffee",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",3.00,3.00,280.000,840.00,70.00,770.00,38.50,808.50,3,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","625","NA","Emp_Bev","Emp_Bev","Morning Breakfast(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","148","BEVERAGES","ADDON","Choice of Milk","Regular Milk @25",1.00,1.00,25.000,25.00,0.00,25.00,1.25,26.25,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",2.00,2.00,410.000,820.00,15.03,804.97,40.25,845.22,2,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","910","NA","Desserts","Tea Cakes","Choco Banana Tea Cake",1.00,1.00,250.000,250.00,13.54,236.46,11.82,248.28,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","712","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Egg Toast",2.00,2.00,570.000,1140.00,0.00,1140.00,57.00,1197.00,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","39","BEVERAGES","Cold Beverages","Iced Chocolate","Hazelnut Iced Chocolate",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","110","BEVERAGES","Hot Beverages","Hot Brews","Macchiato",1.00,1.00,265.000,265.00,0.00,265.00,13.25,278.25,1,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",3.00,3.00,240.000,720.00,0.00,720.00,36.00,756.00,3,
"Coffee Island Beyond GK II","2026-02-02","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
