Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-02","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","602","NA","Quick Bites","Croissant Cookie & Muffin","Boston Cream Cruffin",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","52","NA","Cold Beverages","Milk Shake","Double Chocolate Indulgent Milkshake",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",6.00,6.00,100.000,600.00,0.00,600.00,30.00,630.00,5,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","136","NA","Hot Beverages","Island Special-Hot","Spanish Bombon",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","81","NA","Cold Beverages","Refresh","Bobastic Apple Mint Green Tea",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","64","NA","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","389","NA","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","135","NA","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",3.00,3.00,210.000,630.00,0.00,630.00,31.50,661.50,3,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","605","NA","Quick Bites","Bread","Chocolate Hazelnut Babka",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","600","NA","Quick Bites","Croissant Cookie & Muffin","1Oats & Raisin Cookie",4.00,4.00,80.000,320.00,0.00,320.00,16.00,336.00,3,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","56","NA","Cold Beverages","Milk Shake","Berry Burst Paradise Milkshake",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","590","NA","Quick Bites","Donut & Éclair","Chocolate Eclair",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",7.00,7.00,176.803,1237.62,0.00,1237.62,61.88,1299.50,7,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","49","NA","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","597","NA","Small Plates","Sandwich","Pesto Paradise Multigrain Sandwich",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,4,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","604","NA","Quick Bites","Bread","Basil & Oven Dried Tomato Pinwheel",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","390","NA","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",13.00,13.00,180.000,2340.00,0.00,2340.00,117.00,2457.00,13,
"MSFT Hyd","2026-02-02","POS","TAKEAWAY","99","NA","Hot Beverages","Hot Brews","Americano",4.00,4.00,163.810,655.24,0.00,655.24,32.76,688.00,4,
