Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","641","NA","Cold Beverages","Mojito","Dark Berry",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",4.00,4.00,230.000,920.00,23.00,897.00,44.85,941.85,3,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","685","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Non Veg",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","870","BEVERAGES","Ready To Drink","Cold Brew","Glass Water Bottle - 750 ML",2.00,2.00,95.240,190.48,9.52,180.96,9.05,190.01,2,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","712","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Egg Toast",1.00,1.00,570.000,570.00,171.00,399.00,19.95,418.95,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","705","FOOD","All Day Breakfast","Toasties","Akuri Toast",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",2.00,2.00,327.500,655.00,31.00,624.00,31.20,655.20,2,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","625","NA","Emp_Bev","Emp_Bev","Morning Breakfast(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",1.00,1.00,490.000,490.00,0.00,490.00,24.50,514.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",3.00,3.00,220.000,660.00,66.00,594.00,29.70,623.70,2,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","697","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Chicken",4.00,4.00,450.000,1800.00,0.00,1800.00,90.00,1890.00,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","904","NA","Desserts","Cheesecakes & Dessert Jars","Burnt Basque Cheesecake",2.00,2.00,350.000,700.00,105.00,595.00,29.75,624.75,2,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","197","FOOD","Desserts","Gelato","Belgian Chocolate Double Scoop",1.00,1.00,340.000,340.00,34.00,306.00,15.30,321.30,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",1.00,1.00,410.000,410.00,227.00,183.00,9.15,192.15,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",8.00,8.00,251.250,2010.00,545.50,1464.50,73.23,1537.73,7,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",5.00,5.00,210.000,1050.00,0.00,1050.00,52.50,1102.50,3,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",5.00,5.00,225.000,1125.00,52.50,1072.50,53.63,1126.13,5,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","910","NA","Desserts","Tea Cakes","Choco Banana Tea Cake",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","908","NA","Desserts","Tea Cakes","Almond Tea Cake",2.00,2.00,250.000,500.00,0.00,500.00,25.00,525.00,2,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-03","POS","DINE IN","626","NA","Emp_Bev","Emp_Bev","Chamomile Sunset Classic(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
