Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-04","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","577","NA","Desserts","Gelato","French Vanilla Signature Sundae",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","581","NA","Desserts","Gelato","French Vanilla Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","583","NA","Quick Bites","Quick Bitess","Nacho & Dip",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","106","NA","Hot Beverages","Hot Brews","Cappuccino",12.00,12.00,175.873,2110.48,0.00,2110.48,105.52,2216.00,12,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",5.00,5.00,204.000,1020.00,0.00,1020.00,51.00,1071.00,5,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","46","NA","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","584","NA","Main Course","Wholesome Wrap","Paneer Tikka Parantha Wrap",5.00,5.00,180.000,900.00,0.00,900.00,45.00,945.00,5,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","39","NA","Cold Beverages","Iced Chocolate","Hazelnut Iced Chocolate",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","598","NA","Quick Bites","Puff & Toastie","Harissa Chicken Puff",1.00,1.00,120.000,120.00,0.00,120.00,6.00,126.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","591","NA","Small Plates","Sandwich","Chicken Tikka Multigrain Sandwich",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","580","NA","Desserts","Gelato","Dark Chocolate SSC Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",7.00,7.00,100.000,700.00,0.00,700.00,35.00,735.00,6,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","94","NA","Hot Beverages","Hot Brews","Flat White",3.00,3.00,160.000,480.00,0.00,480.00,24.00,504.00,3,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","599","NA","Quick Bites","Bread","Garlic & Cheese Pull Apart",7.00,7.00,200.000,1400.00,0.00,1400.00,70.00,1470.00,7,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","30","NA","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","579","NA","Desserts","Gelato","Belgian Chocolate Sundae",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","99","NA","Hot Beverages","Hot Brews","Americano",8.00,8.00,151.905,1215.24,0.00,1215.24,60.76,1276.00,8,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","602","NA","Quick Bites","Croissant Cookie & Muffin","Boston Cream Cruffin",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","588","NA","Quick Bites","Filled Buns","Korean Bun",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","49","NA","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","110","NA","Hot Beverages","Hot Brews","Macchiato",1.00,1.00,140.000,140.00,0.00,140.00,7.00,147.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","600","NA","Quick Bites","Croissant Cookie & Muffin","1Oats & Raisin Cookie",6.00,6.00,80.000,480.00,0.00,480.00,24.00,504.00,5,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","90","NA","Hot Beverages","Hot Brews","Cortado",2.00,2.00,150.000,300.00,0.00,300.00,15.00,315.00,2,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","78","NA","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",8.00,8.00,191.905,1535.24,0.00,1535.24,76.76,1612.00,8,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","64","NA","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","595","NA","Quick Bites","Donut & Éclair","Chocolate Donut",5.00,5.00,180.000,900.00,0.00,900.00,45.00,945.00,5,
"MSFT Hyd","2026-02-04","POS","TAKEAWAY","597","NA","Small Plates","Sandwich","Pesto Paradise Multigrain Sandwich",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,4,
