Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-05","Mobile App","TAKEAWAY","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",1.00,1.00,290.000,290.00,70.50,219.50,10.98,230.48,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","612","NA","Emp_Bev","Emp_Bev","Iced Latte(emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","626","NA","Emp_Bev","Emp_Bev","Chamomile Sunset Classic(emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",2.00,2.00,280.000,560.00,0.00,560.00,28.00,588.00,2,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","648","FOOD","Sides","Sides","Cheesy Fries",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",8.00,8.00,0.000,0.00,0.00,0.00,0.00,0.00,8,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","610","NA","Emp_Bev","Emp_Bev","Gelato Affogato (emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","655","FOOD","Sides","Sides","Loaded Nachos - Veg",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","78","BEVERAGES","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",3.00,3.00,320.000,960.00,160.00,800.00,40.00,840.00,2,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","200","FOOD","Desserts","Gelato","Mango Sorbet Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","653","FOOD","Sides","Sides","The Hummus & Pita Plate",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",2.00,2.00,210.000,420.00,216.30,203.70,10.19,213.89,2,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",3.00,3.00,290.000,870.00,72.50,797.50,39.88,837.38,3,
"Coffee Island Beyond GK II","2026-02-05","POS","DINE IN","625","NA","Emp_Bev","Emp_Bev","Morning Breakfast(emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
