Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-05","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","94","NA","Hot Beverages","Hot Brews","Flat White",6.00,6.00,160.000,960.00,0.00,960.00,48.00,1008.00,6,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","78","NA","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",2.00,2.00,160.000,320.00,0.00,320.00,16.00,336.00,2,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","52","NA","Cold Beverages","Milk Shake","Double Chocolate Indulgent Milkshake",3.00,3.00,170.000,510.00,0.00,510.00,25.50,535.50,3,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","106","NA","Hot Beverages","Hot Brews","Cappuccino",16.00,16.00,186.786,2988.58,0.00,2988.58,149.42,3138.00,16,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","603","NA","Quick Bites","Puff & Toastie","Chipotle Vegetable Puff",1.00,1.00,100.000,100.00,0.00,100.00,5.00,105.00,1,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","592","NA","Quick Bites","Quick Bitess","Korean Pop - Potato",1.00,1.00,100.000,100.00,0.00,100.00,5.00,105.00,1,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",21.00,21.00,180.000,3780.00,0.00,3780.00,189.00,3969.00,21,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","595","NA","Quick Bites","Donut & Éclair","Chocolate Donut",6.00,6.00,180.000,1080.00,0.00,1080.00,54.00,1134.00,6,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","580","NA","Desserts","Gelato","Dark Chocolate SSC Sundae",5.00,5.00,180.000,900.00,0.00,900.00,45.00,945.00,5,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","56","NA","Cold Beverages","Milk Shake","Berry Burst Paradise Milkshake",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","390","NA","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","99","NA","Hot Beverages","Hot Brews","Americano",10.00,10.00,182.858,1828.58,0.00,1828.58,91.42,1920.00,9,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",15.00,15.00,170.000,2550.00,0.00,2550.00,127.50,2677.50,15,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",8.00,8.00,197.858,1582.86,0.00,1582.86,79.14,1662.00,8,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","46","NA","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","110","NA","Hot Beverages","Hot Brews","Macchiato",2.00,2.00,140.000,280.00,0.00,280.00,14.00,294.00,2,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","371","NA","Cold Beverages","Special Brews","Nitro Bubble Brew (Watermelon Prebiotic Fizz)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",1.00,1.00,100.000,100.00,0.00,100.00,5.00,105.00,1,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","30","NA","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano",5.00,5.00,169.524,847.62,0.00,847.62,42.38,890.00,5,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","584","NA","Main Course","Wholesome Wrap","Paneer Tikka Parantha Wrap",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","590","NA","Quick Bites","Donut & Éclair","Chocolate Eclair",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-05","POS","TAKEAWAY","594","NA","Quick Bites","Donut & Éclair","White Chocolate & Berry Berliner",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
