Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-06","Mobile App","TAKEAWAY","323","RETAIL","Merch","Cup","Islander Classic Cup (Pink)",1.00,1.00,101.000,101.00,9.48,91.52,16.47,107.99,1,
"Coffee Island Beyond GK II","2026-02-06","Mobile App","TAKEAWAY","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",1.00,1.00,240.000,240.00,22.52,217.48,10.87,228.35,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",2.00,2.00,347.500,695.00,33.00,662.00,33.10,695.10,2,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",1.00,1.00,325.000,325.00,81.25,243.75,12.19,255.94,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","909","NA","Desserts","Tea Cakes","Cinnamon Pistachio Tea Cake",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","707","FOOD","All Day Breakfast","Toasties","Islander Mexi-Bean Toast",1.00,1.00,300.000,300.00,75.00,225.00,11.25,236.25,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","45","BEVERAGES","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",1.00,1.00,290.000,290.00,29.00,261.00,13.05,274.05,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","649","FOOD","Sides","Sides","Truffle Parmesan Fries",1.00,1.00,310.000,310.00,31.00,279.00,13.95,292.95,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","865","FOOD","All Day Breakfast","All Day Breakfast","Islander Masala Omelette",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","719","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Berry",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",14.00,14.00,297.143,4160.00,928.50,3231.50,161.60,3393.10,9,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","209","FOOD","Desserts","Gelato","Dark Chocolate Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",2.00,2.00,230.000,460.00,0.00,460.00,23.00,483.00,1,
"Coffee Island Beyond GK II","2026-02-06","POS","DINE IN","49","BEVERAGES","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,290.000,290.00,29.00,261.00,13.05,274.05,1,
