Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-06","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",31.00,31.00,181.536,5627.62,0.00,5627.62,281.38,5909.00,30,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","597","NA","Small Plates","Sandwich","Pesto Paradise Multigrain Sandwich",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","136","NA","Hot Beverages","Island Special-Hot","Spanish Bombon",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","46","NA","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","584","NA","Main Course","Wholesome Wrap","Paneer Tikka Parantha Wrap",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","604","NA","Quick Bites","Bread","Basil & Oven Dried Tomato Pinwheel",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","160","NA","ADDON","Choice of Crema","Rich Crema @50",1.00,1.00,47.620,47.62,0.00,47.62,2.38,50.00,1,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","581","NA","Desserts","Gelato","French Vanilla Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","212","NA","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",2.00,2.00,160.000,320.00,0.00,320.00,16.00,336.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","576","NA","Desserts","Gelato","Dark Chocolate SSC Signature Sundae",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","52","NA","Cold Beverages","Milk Shake","Double Chocolate Indulgent Milkshake",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","602","NA","Quick Bites","Croissant Cookie & Muffin","Boston Cream Cruffin",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","90","NA","Hot Beverages","Hot Brews","Cortado",3.00,3.00,165.873,497.62,0.00,497.62,24.88,522.50,3,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","605","NA","Quick Bites","Bread","Chocolate Hazelnut Babka",5.00,5.00,180.000,900.00,0.00,900.00,45.00,945.00,5,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",6.00,6.00,170.000,1020.00,0.00,1020.00,51.00,1071.00,6,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","92","NA","Hot Beverages","Hot Brews","Espresso",2.00,2.00,130.000,260.00,0.00,260.00,13.00,273.00,2,
"MSFT Hyd","2026-02-06","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano",6.00,6.00,183.810,1102.86,0.00,1102.86,55.14,1158.00,6,
