Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","705","FOOD","All Day Breakfast","Toasties","Akuri Toast",2.00,2.00,350.000,700.00,0.00,700.00,35.00,735.00,2,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","643","NA","Cold Beverages","Mojito","Zesty Mango",1.00,1.00,230.000,230.00,230.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","625","NA","Emp_Bev","Emp_Bev","Morning Breakfast(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,77.50,232.50,11.63,244.13,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","686","FOOD","Main Course","Pasta","Three-Cheese Mac - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","205","FOOD","Desserts","Gelato","French Vanilla Single Scoop",1.00,1.00,195.000,195.00,195.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","620","NA","Emp_Bev","Emp_Bev","Latte(emp)",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",3.00,3.00,230.000,690.00,0.00,690.00,34.50,724.50,2,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","707","FOOD","All Day Breakfast","Toasties","Islander Mexi-Bean Toast",1.00,1.00,300.000,300.00,75.00,225.00,11.25,236.25,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","703","FOOD","Main Course","Sandwiches","Ham & Cheese Brioche Melt",2.00,2.00,450.000,900.00,450.00,450.00,22.50,472.50,2,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","683","FOOD","Desserts","Desserts","Chocolate Fudge Brownie",1.00,1.00,300.000,300.00,300.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","906","NA","Desserts","Cheesecakes & Dessert Jars","Chocolate Mousse Jar",1.00,1.00,370.000,370.00,92.50,277.50,13.88,291.38,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",3.00,3.00,490.000,1470.00,1102.50,367.50,18.38,385.88,3,
"Coffee Island Beyond GK II","2026-02-09","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",3.00,3.00,220.000,660.00,55.00,605.00,30.25,635.25,3,
