Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-09","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","603","NA","Quick Bites","Puff & Toastie","Chipotle Vegetable Puff",3.00,3.00,100.000,300.00,0.00,300.00,15.00,315.00,3,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","582","NA","Desserts","Gelato","Mango Sorbet Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","370","NA","Cold Beverages","Special Brews","Nitro Bubble Brew - Classic",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",1.00,1.00,100.000,100.00,0.00,100.00,5.00,105.00,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","290","NA","Cold Beverages","Refresh","Valencia Orange Juice",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","605","NA","Quick Bites","Bread","Chocolate Hazelnut Babka",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","92","NA","Hot Beverages","Hot Brews","Espresso",1.00,1.00,130.000,130.00,0.00,130.00,6.50,136.50,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","588","NA","Quick Bites","Filled Buns","Korean Bun",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","599","NA","Quick Bites","Bread","Garlic & Cheese Pull Apart",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",7.00,7.00,170.000,1190.00,0.00,1190.00,59.50,1249.50,7,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","124","NA","Hot Beverages","Hot Chocolate","Hazelnut Hot Chocolate",3.00,3.00,170.000,510.00,0.00,510.00,25.50,535.50,3,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","23","NA","Cold Beverages","Granita","Slushed Peach Paradise Granita",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","94","NA","Hot Beverages","Hot Brews","Flat White",2.00,2.00,183.810,367.62,0.00,367.62,18.38,386.00,2,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","389","NA","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","390","NA","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano",5.00,5.00,169.524,847.62,0.00,847.62,42.38,890.00,5,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","594","NA","Quick Bites","Donut & Éclair","White Chocolate & Berry Berliner",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",5.00,5.00,179.048,895.24,0.00,895.24,44.76,940.00,5,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","39","NA","Cold Beverages","Iced Chocolate","Hazelnut Iced Chocolate",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-09","POS","TAKEAWAY","604","NA","Quick Bites","Bread","Basil & Oven Dried Tomato Pinwheel",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
