Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","4","BEVERAGES","Cold Beverages","Cold Brews","Fizzy Espressione (Tonic Water)",3.00,3.00,310.000,930.00,62.00,868.00,43.40,911.40,2,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","640","NA","Smoothies and Shakes","Smoothies and Shakes","Alphanso Mango Smoothies",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",2.00,2.00,215.000,430.00,0.00,430.00,21.50,451.50,2,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","122","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",2.00,2.00,280.000,560.00,0.00,560.00,28.00,588.00,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","651","FOOD","Sides","Sides","K-Spice Paneer Bites",1.00,1.00,330.000,330.00,82.50,247.50,12.38,259.88,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","917","BEVERAGES","Cold Beverages","Iced Chocolate","Valentine Strawberry Chocolate - Cold",1.00,1.00,295.000,295.00,0.00,295.00,14.75,309.75,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","715","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Fried Eggs",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","296","RETAIL","Beans & Powder","Beans","Single Estate Kenya (Beans)",1.00,1.00,375.420,375.42,66.67,308.75,15.44,324.19,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","297","RETAIL","Beans & Powder","Beans","Single Estate Ethiopia (Beans)",2.00,2.00,375.420,750.84,133.33,617.51,30.88,648.39,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",2.00,2.00,490.000,980.00,220.50,759.50,37.98,797.48,2,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","625","NA","Emp_Bev","Emp_Bev","Morning Breakfast(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","417","BEVERAGES","Cold Beverages","Refresh","Bobastic Passionfruit Green Tea",1.00,1.00,270.000,270.00,81.00,189.00,9.45,198.45,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",1.00,1.00,220.000,220.00,55.00,165.00,8.25,173.25,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","909","NA","Desserts","Tea Cakes","Cinnamon Pistachio Tea Cake",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","639","NA","Smoothies and Shakes","Smoothies and Shakes","Avocado Smoothies",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","654","FOOD","Sides","Sides","Cheesy Garlic Bread",2.00,2.00,250.000,500.00,62.50,437.50,21.88,459.38,2,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","686","FOOD","Main Course","Pasta","Three-Cheese Mac - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","61","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Vietnamese)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","714","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Scrambled Eggs",2.00,2.00,450.000,900.00,0.00,900.00,45.00,945.00,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",4.00,4.00,330.000,1320.00,82.50,1237.50,61.88,1299.38,3,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","52","NA","Smoothies and Shakes","Smoothies and Shakes","Double Chocolate Indulgent Milkshake",2.00,2.00,270.000,540.00,0.00,540.00,27.00,567.00,2,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",4.00,4.00,210.000,840.00,0.00,840.00,42.00,882.00,3,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","635","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Pistachio",2.00,2.00,310.000,620.00,155.00,465.00,23.26,488.26,2,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","373","BEVERAGES","Cold Beverages","Overnight Brew","Prebiotic Fizz",1.00,1.00,310.000,310.00,62.00,248.00,12.40,260.40,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","916","BEVERAGES","Hot Beverages","Hot Chocolate","Valentine Strawberry Chocolate - Hot",2.00,2.00,295.000,590.00,118.00,472.00,23.60,495.60,1,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",4.00,4.00,280.000,1120.00,114.00,1006.00,50.30,1056.30,3,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","75","BEVERAGES","Cold Beverages","Refresh","Valencia Orange Fresh Juice",2.00,2.00,190.000,380.00,38.00,342.00,17.10,359.10,2,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",9.00,9.00,290.000,2610.00,377.00,2233.00,111.67,2344.67,6,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",10.00,10.00,0.000,0.00,0.00,0.00,0.00,0.00,6,
"Coffee Island Beyond GK II","2026-02-10","POS","DINE IN","643","NA","Cold Beverages","Mojito","Zesty Mango",2.00,2.00,230.000,460.00,0.00,460.00,23.00,483.00,2,
