Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-10","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",31.00,31.00,180.000,5580.00,0.00,5580.00,279.00,5859.00,30,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","591","NA","Small Plates","Sandwich","Chicken Tikka Multigrain Sandwich",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",5.00,5.00,170.000,850.00,0.00,850.00,42.50,892.50,5,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","585","NA","Quick Bites","Quick Bitess","Korean Pop - Paneer",1.00,1.00,120.000,120.00,0.00,120.00,6.00,126.00,1,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","582","NA","Desserts","Gelato","Mango Sorbet Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","94","NA","Hot Beverages","Hot Brews","Flat White",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","49","NA","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-10","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
