Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","642","NA","Cold Beverages","Mojito","Orange Spark",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",2.00,2.00,310.000,620.00,84.64,535.36,26.77,562.13,2,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","702","FOOD","Main Course","Sandwiches","Chilli Cheese Mushroom Melt",1.00,1.00,390.000,390.00,97.50,292.50,14.63,307.13,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","653","FOOD","Sides","Sides","The Hummus & Pita Plate",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","655","FOOD","Sides","Sides","Loaded Nachos - Veg",2.00,2.00,350.000,700.00,87.50,612.50,30.63,643.13,2,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,100.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","649","FOOD","Sides","Sides","Truffle Parmesan Fries",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","277","RETAIL","Snacks","Ready to Munch","Chocolate Almond",2.00,2.00,128.570,257.14,40.24,216.90,10.85,227.75,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",10.00,10.00,230.000,2300.00,283.99,2016.01,100.81,2116.82,9,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","867","FOOD","Desserts","Desserts","Opera Slice",2.00,2.00,320.000,640.00,0.00,640.00,32.00,672.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","367","BEVERAGES","Cold Beverages","Cold Brews","The Long Pour",2.00,2.00,310.000,620.00,7.14,612.86,30.64,643.50,2,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",8.00,8.00,0.000,0.00,0.00,0.00,0.00,0.00,6,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","679","FOOD","Desserts","Desserts","French Pain Au Chocolat",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","636","BEVERAGES","Cold Beverages","Cold Brews","Dubai Chocolate",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",1.00,1.00,210.000,210.00,32.86,177.14,8.86,186.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","701","FOOD","Main Course","Sandwiches","Pomodoro Meatball Melt",1.00,1.00,450.000,450.00,45.00,405.00,20.25,425.25,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","654","FOOD","Sides","Sides","Cheesy Garlic Bread",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",1.00,1.00,410.000,410.00,0.00,410.00,20.50,430.50,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",4.00,4.00,330.000,1320.00,82.50,1237.50,61.88,1299.38,4,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","289","BEVERAGES","Ready To Drink","Cold Coffee","Vietnamese Cold Coffee",1.00,1.00,161.900,161.90,0.00,161.90,8.10,170.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","196","FOOD","Desserts","Gelato","Belgian Chocolate Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","626","NA","Emp_Bev","Emp_Bev","Chamomile Sunset Classic(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",16.00,16.00,292.188,4675.00,478.50,4196.50,209.83,4406.33,8,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",3.00,3.00,220.000,660.00,60.06,599.94,30.00,629.94,3,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","644","NA","Cold Beverages","Mojito","Fresh Mint",2.00,2.00,230.000,460.00,57.50,402.50,20.13,422.63,2,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","908","NA","Desserts","Tea Cakes","Almond Tea Cake",1.00,1.00,250.000,250.00,62.50,187.50,9.38,196.88,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",3.00,3.00,190.000,570.00,0.00,570.00,28.50,598.50,2,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","696","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Paneer",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",3.00,3.00,280.000,840.00,0.00,840.00,42.00,882.00,2,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","865","FOOD","All Day Breakfast","All Day Breakfast","Islander Masala Omelette",2.00,2.00,350.000,700.00,35.00,665.00,33.25,698.25,2,
"Coffee Island Beyond GK II","2026-02-11","POS","DINE IN","78","BEVERAGES","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",3.00,3.00,303.333,910.00,67.50,842.50,42.13,884.63,2,
