Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-11","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","390","NA","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",9.00,9.00,200.000,1800.00,0.00,1800.00,90.00,1890.00,9,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","136","NA","Hot Beverages","Island Special-Hot","Spanish Bombon",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",8.00,8.00,180.000,1440.00,0.00,1440.00,72.00,1512.00,8,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","594","NA","Quick Bites","Donut & Éclair","White Chocolate & Berry Berliner",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","579","NA","Desserts","Gelato","Belgian Chocolate Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","598","NA","Quick Bites","Puff & Toastie","Harissa Chicken Puff",1.00,1.00,120.000,120.00,0.00,120.00,6.00,126.00,1,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","599","NA","Quick Bites","Bread","Garlic & Cheese Pull Apart",6.00,6.00,200.000,1200.00,0.00,1200.00,60.00,1260.00,6,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",7.00,7.00,173.606,1215.24,0.00,1215.24,60.76,1276.00,6,
"MSFT Hyd","2026-02-11","POS","TAKEAWAY","603","NA","Quick Bites","Puff & Toastie","Chipotle Vegetable Puff",2.00,2.00,100.000,200.00,0.00,200.00,10.00,210.00,2,
