Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",1.00,1.00,220.000,220.00,0.00,220.00,11.00,231.00,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",2.00,2.00,330.000,660.00,82.50,577.50,28.88,606.38,2,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","705","FOOD","All Day Breakfast","Toasties","Akuri Toast",1.00,1.00,350.000,350.00,87.50,262.50,13.13,275.63,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","612","NA","Emp_Bev","Emp_Bev","Iced Latte(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",3.00,3.00,280.000,840.00,70.00,770.00,38.50,808.50,3,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","871","NA","Breakfast Specials CIB","Breakfast Specials CIB","Breakfast Specials @ ₹299",1.00,1.00,299.000,299.00,0.00,299.00,14.95,313.95,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","52","NA","Smoothies and Shakes","Smoothies and Shakes","Double Chocolate Indulgent Milkshake",2.00,2.00,270.000,540.00,0.00,540.00,27.00,567.00,2,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",2.00,2.00,265.000,530.00,0.00,530.00,26.50,556.50,2,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","148","BEVERAGES","ADDON","Choice of Milk","Regular Milk @25",2.00,2.00,25.000,50.00,0.00,50.00,2.50,52.50,2,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","283","RETAIL","Snacks","Ready to Munch","Masala Almond",1.00,1.00,133.330,133.33,0.00,133.33,6.67,140.00,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","866","FOOD","Main Course","Sandwiches","Chilli Cheese Brioche Melt",2.00,2.00,390.000,780.00,0.00,780.00,39.00,819.00,2,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","200","FOOD","Desserts","Gelato","Mango Sorbet Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","62","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Classic)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","909","NA","Desserts","Tea Cakes","Cinnamon Pistachio Tea Cake",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",2.00,2.00,250.000,500.00,62.50,437.50,21.88,459.38,2,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","701","FOOD","Main Course","Sandwiches","Pomodoro Meatball Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","917","BEVERAGES","Cold Beverages","Iced Chocolate","Valentine Strawberry Chocolate - Cold",2.00,2.00,295.000,590.00,147.50,442.50,22.12,464.62,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",5.00,5.00,300.000,1500.00,72.50,1427.50,71.38,1498.88,4,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",14.00,14.00,0.000,0.00,0.00,0.00,0.00,0.00,9,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","644","NA","Cold Beverages","Mojito","Fresh Mint",2.00,2.00,230.000,460.00,0.00,460.00,23.00,483.00,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","689","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Non Veg",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","6","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino",1.00,1.00,290.000,290.00,25.11,264.89,13.24,278.13,1,
"Coffee Island Beyond GK II","2026-02-12","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",1.00,1.00,310.000,310.00,77.50,232.50,11.63,244.13,1,
