Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","205","FOOD","Desserts","Gelato","French Vanilla Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","683","FOOD","Desserts","Desserts","Chocolate Fudge Brownie",3.00,3.00,300.000,900.00,0.00,900.00,45.00,945.00,2,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,31.00,279.00,13.95,292.95,1,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","200","FOOD","Desserts","Gelato","Mango Sorbet Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",3.00,3.00,251.667,755.00,128.75,626.25,31.31,657.56,2,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","705","FOOD","All Day Breakfast","Toasties","Akuri Toast",2.00,2.00,350.000,700.00,87.50,612.50,30.63,643.13,2,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","110","BEVERAGES","Hot Beverages","Hot Brews","Macchiato",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","715","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Fried Eggs",1.00,1.00,450.000,450.00,112.50,337.50,16.88,354.38,1,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-13","POS","DINE IN","637","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Forest Berry Iced smoothie",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
