Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-13","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","585","NA","Quick Bites","Quick Bitess","Korean Pop - Paneer",2.00,2.00,120.000,240.00,0.00,240.00,12.00,252.00,2,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","212","NA","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","135","NA","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",10.00,10.00,194.762,1947.62,0.00,1947.62,97.38,2045.00,10,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","584","NA","Main Course","Wholesome Wrap","Paneer Tikka Parantha Wrap",5.00,5.00,180.000,900.00,0.00,900.00,45.00,945.00,5,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",4.00,4.00,171.905,687.62,0.00,687.62,34.38,722.00,4,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","94","NA","Hot Beverages","Hot Brews","Flat White",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,3,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","591","NA","Small Plates","Sandwich","Chicken Tikka Multigrain Sandwich",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","49","NA","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","90","NA","Hot Beverages","Hot Brews","Cortado",1.00,1.00,150.000,150.00,0.00,150.00,7.50,157.50,1,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","581","NA","Desserts","Gelato","French Vanilla Sundae",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,2,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","39","NA","Cold Beverages","Iced Chocolate","Hazelnut Iced Chocolate",5.00,5.00,170.000,850.00,0.00,850.00,42.50,892.50,5,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","605","NA","Quick Bites","Bread","Chocolate Hazelnut Babka",7.00,7.00,180.000,1260.00,0.00,1260.00,63.00,1323.00,7,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","602","NA","Quick Bites","Croissant Cookie & Muffin","Boston Cream Cruffin",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","23","NA","Cold Beverages","Granita","Slushed Peach Paradise Granita",2.00,2.00,160.000,320.00,0.00,320.00,16.00,336.00,2,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","8","NA","Cold Beverages","Cold Brews","Gelato Affogato",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",7.00,7.00,200.000,1400.00,0.00,1400.00,70.00,1470.00,7,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","599","NA","Quick Bites","Bread","Garlic & Cheese Pull Apart",6.00,6.00,200.000,1200.00,0.00,1200.00,60.00,1260.00,6,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","604","NA","Quick Bites","Bread","Basil & Oven Dried Tomato Pinwheel",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","110","NA","Hot Beverages","Hot Brews","Macchiato",1.00,1.00,140.000,140.00,0.00,140.00,7.00,147.00,1,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","590","NA","Quick Bites","Donut & Éclair","Chocolate Eclair",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","586","NA","Main Course","Wholesome Wrap","Peri Peri Chicken Parantha Wrap",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",36.00,36.00,180.000,6480.00,0.00,6480.00,324.00,6804.00,36,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","52","NA","Cold Beverages","Milk Shake","Double Chocolate Indulgent Milkshake",4.00,4.00,170.000,680.00,0.00,680.00,34.00,714.00,4,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","78","NA","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",2.00,2.00,160.000,320.00,0.00,320.00,16.00,336.00,2,
"MSFT Hyd","2026-02-13","POS","TAKEAWAY","582","NA","Desserts","Gelato","Mango Sorbet Sundae",5.00,5.00,180.000,900.00,0.00,900.00,45.00,945.00,5,
