Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","110","BEVERAGES","Hot Beverages","Hot Brews","Macchiato",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","683","FOOD","Desserts","Desserts","Chocolate Fudge Brownie",1.00,1.00,300.000,300.00,75.00,225.00,11.25,236.25,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",2.00,2.00,210.000,420.00,0.00,420.00,21.00,441.00,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",7.00,7.00,231.429,1620.00,126.00,1494.00,74.70,1568.70,5,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",4.00,4.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","866","FOOD","Main Course","Sandwiches","Chilli Cheese Brioche Melt",1.00,1.00,390.000,390.00,39.00,351.00,17.55,368.55,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","682","FOOD","Desserts","Desserts","Mascarpone Tiramisu",3.00,3.00,450.000,1350.00,157.50,1192.50,59.63,1252.13,3,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","651","FOOD","Sides","Sides","K-Spice Paneer Bites",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",2.00,2.00,305.000,610.00,0.00,610.00,30.50,640.50,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","648","FOOD","Sides","Sides","Cheesy Fries",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","75","BEVERAGES","Cold Beverages","Refresh","Valencia Orange Fresh Juice",4.00,4.00,190.000,760.00,0.00,760.00,38.00,798.00,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",27.00,27.00,240.000,6480.00,69.00,6411.00,320.55,6731.55,18,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","870","BEVERAGES","Ready To Drink","Cold Brew","Glass Water Bottle - 750 ML",5.00,5.00,95.238,476.19,0.00,476.19,23.81,500.00,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",4.00,4.00,268.750,1075.00,0.00,1075.00,53.75,1128.75,3,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","700","FOOD","Main Course","Sandwiches","Paprika Chicken Melt",4.00,4.00,450.000,1800.00,202.50,1597.50,79.88,1677.38,4,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",1.00,1.00,410.000,410.00,41.00,369.00,18.45,387.45,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","644","BEVERAGES","Cold Beverages","Mojito","Fresh Mint",2.00,2.00,230.000,460.00,0.00,460.00,23.00,483.00,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","6","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino",1.00,1.00,290.000,290.00,72.50,217.50,10.88,228.38,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",10.00,10.00,250.000,2500.00,118.00,2382.00,119.10,2501.10,6,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","718","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Nutella",3.00,3.00,380.000,1140.00,190.00,950.00,47.50,997.50,3,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","30","BEVERAGES","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",1.00,1.00,270.000,270.00,27.00,243.00,12.15,255.15,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","650","FOOD","Sides","Sides","Cafe Nacho Trio",1.00,1.00,250.000,250.00,25.00,225.00,11.25,236.25,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",6.00,6.00,310.833,1865.00,93.76,1771.24,88.57,1859.81,6,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","56","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Berry Burst Paradise Milkshake",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","150","BEVERAGES","ADDON","Choice of Milk","Almond Milk @50",2.00,2.00,50.000,100.00,0.00,100.00,5.00,105.00,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","81","BEVERAGES","Cold Beverages","Refresh","Bobastic Apple Mint Green Tea",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","698","FOOD","Main Course","Rice Bowl","Asian Hot Garlic Rice Bowl - Paneer",1.00,1.00,400.000,400.00,40.00,360.00,18.00,378.00,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","696","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Paneer",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","641","BEVERAGES","Cold Beverages","Mojito","Dark Berry",1.00,1.00,230.000,230.00,23.00,207.00,10.35,217.35,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",12.00,12.00,321.250,3855.00,74.47,3780.53,189.03,3969.56,9,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","196","FOOD","Desserts","Gelato","Belgian Chocolate Single Scoop",4.00,4.00,195.000,780.00,0.00,780.00,39.00,819.00,3,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",3.00,3.00,220.000,660.00,55.00,605.00,30.25,635.25,3,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","869","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Classic Maple",2.00,2.00,400.000,800.00,0.00,800.00,40.00,840.00,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","678","FOOD","Desserts","Desserts","Pistachio Croissant",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","686","FOOD","Main Course","Pasta","Three-Cheese Mac - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","701","FOOD","Main Course","Sandwiches","Pomodoro Meatball Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","8","BEVERAGES","Cold Beverages","Cold Brews","Gelato Affogato",2.00,2.00,365.000,730.00,182.50,547.50,27.38,574.88,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,31.00,279.00,13.95,292.95,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","276","RETAIL","Snacks","Ready to Munch","The Ultimate  Sweet Crunchy Nut Mix",2.00,2.00,161.900,323.80,0.00,323.80,16.20,340.00,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","694","FOOD","Main Course","Pizza","Chicken Jalapeno Melt Flatbread",2.00,2.00,420.000,840.00,42.00,798.00,39.90,837.90,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","52","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Double Chocolate Indulgent Milkshake",2.00,2.00,270.000,540.00,94.50,445.50,22.28,467.78,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",6.00,6.00,315.833,1895.00,117.25,1777.75,88.89,1866.64,6,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","707","FOOD","All Day Breakfast","Toasties","Islander Mexi-Bean Toast",1.00,1.00,300.000,300.00,30.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",27.00,27.00,300.185,8105.00,290.00,7815.00,390.75,8205.75,16,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","135","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",2.00,2.00,297.500,595.00,33.50,561.50,28.08,589.58,2,
"Coffee Island Beyond GK II","2026-02-14","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
