Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","135","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",1.00,1.00,260.000,260.00,0.00,260.00,13.00,273.00,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",10.00,10.00,290.000,2900.00,224.28,2675.72,133.80,2809.52,9,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","689","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Non Veg",1.00,1.00,450.000,450.00,45.00,405.00,20.25,425.25,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","283","RETAIL","Snacks","Ready to Munch","Masala Almond",1.00,1.00,133.330,133.33,0.00,133.33,6.67,140.00,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",2.00,2.00,210.000,420.00,0.00,420.00,21.00,441.00,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","655","FOOD","Sides","Sides","Loaded Nachos - Veg",1.00,1.00,350.000,350.00,35.00,315.00,15.75,330.75,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","907","FOOD","Quick Bites","Croissant Cookie & Muffin","Maple Butter Croissant",1.00,1.00,250.000,250.00,25.00,225.00,11.25,236.25,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","205","FOOD","Desserts","Gelato","French Vanilla Single Scoop",2.00,2.00,195.000,390.00,0.00,390.00,19.50,409.50,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","681","FOOD","Desserts","Desserts","New York-Style Cheesecake - Nutella",2.00,2.00,350.000,700.00,70.00,630.00,31.50,661.50,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","644","BEVERAGES","Cold Beverages","Mojito","Fresh Mint",2.00,2.00,230.000,460.00,57.50,402.50,20.13,422.63,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",7.00,7.00,320.714,2245.00,465.00,1780.00,89.01,1869.01,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","701","FOOD","Main Course","Sandwiches","Pomodoro Meatball Melt",1.00,1.00,450.000,450.00,112.50,337.50,16.88,354.38,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","654","FOOD","Sides","Sides","Cheesy Garlic Bread",2.00,2.00,250.000,500.00,87.50,412.50,20.63,433.13,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","917","BEVERAGES","Cold Beverages","Iced Chocolate","Valentine Strawberry Chocolate - Cold",2.00,2.00,295.000,590.00,0.00,590.00,29.50,619.50,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","688","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Veg",2.00,2.00,400.000,800.00,100.00,700.00,35.00,735.00,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",11.00,11.00,0.000,0.00,0.00,0.00,0.00,0.00,10,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",4.00,4.00,248.750,995.00,33.00,962.00,48.10,1010.10,4,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","110","BEVERAGES","Hot Beverages","Hot Brews","Macchiato",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","871","FOOD","Breakfast Specials CIB","Breakfast Specials CIB","Breakfast Specials @ ₹299",1.00,1.00,299.000,299.00,0.00,299.00,14.95,313.95,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","209","FOOD","Desserts","Gelato","Dark Chocolate Single Scoop",2.00,2.00,195.000,390.00,10.00,380.00,19.00,399.00,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",2.00,2.00,280.000,560.00,0.00,560.00,28.00,588.00,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","8","BEVERAGES","Cold Beverages","Cold Brews","Gelato Affogato",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","714","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Scrambled Eggs",1.00,1.00,450.000,450.00,45.00,405.00,20.25,425.25,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","49","BEVERAGES","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,290.000,290.00,29.00,261.00,13.05,274.05,1,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","657","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Omelette",2.00,2.00,450.000,900.00,112.50,787.50,39.38,826.88,2,
"Coffee Island Beyond GK II","2026-02-15","POS","DINE IN","649","FOOD","Sides","Sides","Truffle Parmesan Fries",2.00,2.00,310.000,620.00,77.50,542.50,27.13,569.63,2,
