Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","45","BEVERAGES","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",1.00,1.00,340.000,340.00,0.00,340.00,17.00,357.00,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,365.000,365.00,91.25,273.75,13.69,287.44,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",4.00,4.00,280.000,1120.00,130.03,989.97,49.50,1039.47,3,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","871","FOOD","Breakfast Specials CIB","Breakfast Specials CIB","Breakfast Specials @ ₹299",6.00,6.00,299.000,1794.00,0.00,1794.00,89.70,1883.70,5,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",3.00,3.00,290.000,870.00,72.50,797.50,39.88,837.38,3,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",10.00,10.00,215.000,2150.00,472.50,1677.50,83.88,1761.38,8,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","620","EMP MEAL","Emp_Bev","Emp_Bev","Latte(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","86","BEVERAGES","Hot Beverages","Alternative Brews","Island Pour Over",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","721","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Nutella",1.00,1.00,450.000,450.00,112.50,337.50,16.88,354.38,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","52","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Double Chocolate Indulgent Milkshake",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","4","BEVERAGES","Cold Beverages","Cold Brews","Fizzy Espressione (Tonic Water)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",1.00,1.00,220.000,220.00,55.00,165.00,8.25,173.25,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","200","FOOD","Desserts","Gelato","Mango Sorbet Single Scoop",1.00,1.00,195.000,195.00,39.00,156.00,7.80,163.80,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,31.00,279.00,13.95,292.95,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","652","FOOD","Sides","Sides","K-Spice Chicken Bites",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-16","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
