Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-16","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","597","NA","Small Plates","Sandwich","Pesto Paradise Multigrain Sandwich",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","122","NA","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","583","NA","Quick Bites","Quick Bitess","Nacho & Dip",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","371","NA","Cold Beverages","Special Brews","Nitro Bubble Brew (Watermelon Prebiotic Fizz)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","30","NA","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",7.00,7.00,193.606,1355.24,0.00,1355.24,67.76,1423.00,7,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","135","NA","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",5.00,5.00,190.000,950.00,0.00,950.00,47.50,997.50,5,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","130","NA","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,140.000,140.00,0.00,140.00,7.00,147.00,1,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","124","NA","Hot Beverages","Hot Chocolate","Hazelnut Hot Chocolate",3.00,3.00,170.000,510.00,0.00,510.00,25.50,535.50,3,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","106","NA","Hot Beverages","Hot Brews","Cappuccino",17.00,17.00,174.006,2958.10,0.00,2958.10,147.90,3106.00,17,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-16","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
