Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","23","BEVERAGES","Cold Beverages","Granita","Slushed Peach Paradise Granita",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","716","FOOD","All Day Breakfast","All Day Breakfast","Islander Breakfast Burrito - Paneer",1.00,1.00,420.000,420.00,0.00,420.00,21.00,441.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","476","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Tonic Water)",1.00,1.00,310.000,310.00,257.00,53.00,2.65,55.65,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","196","FOOD","Desserts","Gelato","Belgian Chocolate Single Scoop",2.00,2.00,195.000,390.00,0.00,390.00,19.50,409.50,2,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",1.00,1.00,410.000,410.00,41.00,369.00,18.45,387.45,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","6","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino",1.00,1.00,290.000,290.00,0.00,290.00,14.50,304.50,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","679","FOOD","Desserts","Desserts","French Pain Au Chocolat",1.00,1.00,250.000,250.00,62.50,187.50,9.38,196.88,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,257.00,53.00,2.65,55.65,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","78","BEVERAGES","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",3.00,3.00,286.667,860.00,0.00,860.00,43.00,903.00,2,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","122","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","620","EMP MEAL","Emp_Bev","Emp_Bev","Latte(emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",1.00,1.00,190.000,190.00,29.86,160.14,8.01,168.15,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",2.00,2.00,210.000,420.00,0.00,420.00,21.00,441.00,2,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","865","FOOD","All Day Breakfast","All Day Breakfast","Islander Masala Omelette",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","919","NA","Scrap Sales","Scrap Sales","Scrap Sales",20.00,20.00,55.085,1101.69,0.00,1101.69,132.20,1233.89,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",4.00,4.00,302.500,1210.00,24.00,1186.00,59.30,1245.30,3,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",14.00,14.00,305.714,4280.00,101.50,4178.50,208.93,4387.43,12,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","209","FOOD","Desserts","Gelato","Dark Chocolate Single Scoop",3.00,3.00,195.000,585.00,0.00,585.00,29.25,614.25,3,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","297","RETAIL","Beans & Powder","Beans","Single Estate Ethiopia (Beans)",1.00,1.00,375.420,375.42,0.00,375.42,18.77,394.19,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",4.00,4.00,342.500,1370.00,361.57,1008.43,50.43,1058.86,3,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","680","FOOD","Desserts","Desserts","The Walnut Date Teacake",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",3.00,3.00,275.000,825.00,95.00,730.00,36.51,766.51,3,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","63","BEVERAGES","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",1.00,1.00,280.000,280.00,84.00,196.00,9.80,205.80,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",10.00,10.00,0.000,0.00,0.00,0.00,0.00,0.00,7,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","708","FOOD","Main Course","Sandwiches","Roasted Tomato & Bocconcini Croissant (CIB)",1.00,1.00,450.000,450.00,184.93,265.07,13.25,278.32,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","625","EMP MEAL","Emp_Bev","Emp_Bev","Morning Breakfast(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","714","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Scrambled Eggs",1.00,1.00,450.000,450.00,45.00,405.00,20.25,425.25,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","654","FOOD","Sides","Sides","Cheesy Garlic Bread",3.00,3.00,250.000,750.00,62.50,687.50,34.38,721.88,3,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","205","FOOD","Desserts","Gelato","French Vanilla Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",2.00,2.00,190.000,380.00,57.00,323.00,16.15,339.15,2,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",1.00,1.00,280.000,280.00,70.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,190.000,190.00,47.50,142.50,7.13,149.63,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","698","FOOD","Main Course","Rice Bowl","Asian Hot Garlic Rice Bowl - Paneer",1.00,1.00,400.000,400.00,100.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","688","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Veg",1.00,1.00,400.000,400.00,120.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","653","FOOD","Sides","Sides","The Hummus & Pita Plate",2.00,2.00,380.000,760.00,38.00,722.00,36.10,758.10,2,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",6.00,6.00,260.833,1565.00,36.14,1528.86,76.44,1605.30,5,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",6.00,6.00,315.833,1895.00,396.25,1498.75,74.96,1573.71,4,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","871","FOOD","Breakfast Specials CIB","Breakfast Specials CIB","Breakfast Specials @ ₹299",1.00,1.00,299.000,299.00,0.00,299.00,14.95,313.95,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,40.00,360.00,18.00,378.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","686","FOOD","Main Course","Pasta","Three-Cheese Mac - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",1.00,1.00,220.000,220.00,0.00,220.00,11.00,231.00,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","86","BEVERAGES","Hot Beverages","Alternative Brews","Island Pour Over",2.00,2.00,310.000,620.00,31.00,589.00,29.45,618.45,2,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","200","FOOD","Desserts","Gelato","Mango Sorbet Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",1.00,1.00,490.000,490.00,0.00,490.00,24.50,514.50,1,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","866","FOOD","Main Course","Sandwiches","Chilli Cheese Brioche Melt",2.00,2.00,390.000,780.00,214.50,565.50,28.28,593.78,2,
"Coffee Island Beyond GK II","2026-02-17","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
