Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","625","EMP MEAL","Emp_Bev","Emp_Bev","Morning Breakfast(emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","681","FOOD","Desserts","Desserts","New York-Style Cheesecake - Nutella",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",1.00,1.00,310.000,310.00,44.00,266.00,13.30,279.30,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","209","FOOD","Desserts","Gelato","Dark Chocolate Single Scoop",2.00,2.00,195.000,390.00,37.54,352.46,17.62,370.08,2,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","712","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Egg Toast",1.00,1.00,570.000,570.00,0.00,570.00,28.50,598.50,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",3.00,3.00,206.667,620.00,36.57,583.43,29.17,612.60,3,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","282","RETAIL","Snacks","Ready to Munch","Hazelnut Chocolate Shots",1.00,1.00,128.570,128.57,0.00,128.57,6.43,135.00,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",3.00,3.00,365.000,1095.00,0.00,1095.00,54.75,1149.75,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","132","BEVERAGES","Hot Beverages","Hot Tea","Morning Breakfast Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","639","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Avocado Smoothies",1.00,1.00,350.000,350.00,87.50,262.50,13.13,275.63,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","283","RETAIL","Snacks","Ready to Munch","Masala Almond",2.00,2.00,133.330,266.66,0.00,266.66,13.34,280.00,2,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",16.00,16.00,234.375,3750.00,161.54,3588.46,179.43,3767.89,11,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","871","FOOD","Breakfast Specials CIB","Breakfast Specials CIB","Breakfast Specials @ ₹299",4.00,4.00,299.000,1196.00,0.00,1196.00,59.80,1255.80,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","75","BEVERAGES","Cold Beverages","Refresh","Valencia Orange Fresh Juice",1.00,1.00,190.000,190.00,61.96,128.04,6.40,134.44,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","86","BEVERAGES","Hot Beverages","Alternative Brews","Island Pour Over",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","277","RETAIL","Snacks","Ready to Munch","Chocolate Almond",1.00,1.00,128.570,128.57,0.00,128.57,6.43,135.00,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","908","FOOD","Desserts","Tea Cakes","Almond Tea Cake",2.00,2.00,250.000,500.00,0.00,500.00,25.00,525.00,1,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",2.00,2.00,287.500,575.00,65.59,509.41,25.47,534.88,2,
"Coffee Island Beyond GK II","2026-02-18","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",3.00,3.00,240.000,720.00,24.00,696.00,34.80,730.80,3,
