Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","64","NA","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","81","NA","Cold Beverages","Refresh","Bobastic Apple Mint Green Tea",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",6.00,6.00,211.747,1270.48,0.00,1270.48,63.52,1334.00,6,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",6.00,6.00,183.810,1102.86,0.00,1102.86,55.14,1158.00,6,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","598","NA","Quick Bites","Puff & Toastie","Harissa Chicken Puff",1.00,1.00,120.000,120.00,0.00,120.00,6.00,126.00,1,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","8","NA","Cold Beverages","Cold Brews","Gelato Affogato",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","370","NA","Cold Beverages","Special Brews","Nitro Bubble Brew - Classic",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","99","NA","Hot Beverages","Hot Brews","Americano",3.00,3.00,140.000,420.00,0.00,420.00,21.00,441.00,3,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","582","NA","Desserts","Gelato","Mango Sorbet Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","212","NA","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",2.00,2.00,160.000,320.00,0.00,320.00,16.00,336.00,2,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","417","NA","Cold Beverages","Cold Brews","Bobastic Passionfruit Green Tea",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",10.00,10.00,100.000,1000.00,0.00,1000.00,50.00,1050.00,10,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano",3.00,3.00,160.000,480.00,0.00,480.00,24.00,504.00,3,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","39","NA","Cold Beverages","Iced Chocolate","Hazelnut Iced Chocolate",4.00,4.00,170.000,680.00,0.00,680.00,34.00,714.00,4,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","6","NA","Cold Beverages","Cold Brews","Bobastic Coffeeccino",4.00,4.00,190.000,760.00,0.00,760.00,38.00,798.00,4,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","590","NA","Quick Bites","Donut & Éclair","Chocolate Eclair",9.00,9.00,180.000,1620.00,0.00,1620.00,81.00,1701.00,9,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","586","NA","Main Course","Wholesome Wrap","Peri Peri Chicken Parantha Wrap",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","588","NA","Quick Bites","Filled Buns","Korean Bun",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-18","POS","TAKEAWAY","583","NA","Quick Bites","Quick Bitess","Nacho & Dip",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
