Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","686","FOOD","Main Course","Pasta","Three-Cheese Mac - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","635","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Pistachio",2.00,2.00,310.000,620.00,77.50,542.50,27.13,569.63,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",4.00,4.00,252.500,1010.00,101.30,908.70,45.44,954.14,4,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",2.00,2.00,247.500,495.00,0.00,495.00,24.75,519.75,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",1.00,1.00,190.000,190.00,19.00,171.00,8.55,179.55,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",4.00,4.00,220.000,880.00,66.00,814.00,40.70,854.70,4,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","679","FOOD","Desserts","Desserts","French Pain Au Chocolat",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","297","RETAIL","Beans & Powder","Beans","Single Estate Ethiopia (Beans)",1.00,1.00,375.420,375.42,45.61,329.81,16.49,346.30,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",2.00,2.00,305.000,610.00,0.00,610.00,30.50,640.50,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","866","FOOD","Main Course","Sandwiches","Chilli Cheese Brioche Melt",1.00,1.00,390.000,390.00,0.00,390.00,19.50,409.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","865","FOOD","All Day Breakfast","All Day Breakfast","Islander Masala Omelette",2.00,2.00,350.000,700.00,0.00,700.00,35.00,735.00,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","863","FOOD","Desserts","Desserts","New York-Style Cheesecake - Classic Maple",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","700","FOOD","Main Course","Sandwiches","Paprika Chicken Melt",1.00,1.00,450.000,450.00,113.92,336.08,16.80,352.88,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",4.00,4.00,310.000,1240.00,248.00,992.00,49.61,1041.61,4,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","701","FOOD","Main Course","Sandwiches","Pomodoro Meatball Melt",1.00,1.00,450.000,450.00,135.00,315.00,15.75,330.75,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",3.00,3.00,280.000,840.00,56.00,784.00,39.20,823.20,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","644","BEVERAGES","Cold Beverages","Mojito","Fresh Mint",2.00,2.00,230.000,460.00,58.35,401.65,20.08,421.73,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","702","FOOD","Main Course","Sandwiches","Chilli Cheese Mushroom Melt",1.00,1.00,390.000,390.00,0.00,390.00,19.50,409.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","683","FOOD","Desserts","Desserts","Chocolate Fudge Brownie",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","688","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Veg",2.00,2.00,400.000,800.00,100.00,700.00,35.00,735.00,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","296","RETAIL","Beans & Powder","Beans","Single Estate Kenya (Beans)",2.00,2.00,375.420,750.84,91.22,659.62,32.98,692.60,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","205","FOOD","Desserts","Gelato","French Vanilla Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",2.00,2.00,207.500,415.00,0.00,415.00,20.75,435.75,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","685","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Non Veg",1.00,1.00,450.000,450.00,112.50,337.50,16.88,354.38,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","651","FOOD","Sides","Sides","K-Spice Paneer Bites",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","693","FOOD","Main Course","Pizza","Basil Pesto Veggie Flatbread",1.00,1.00,450.000,450.00,112.50,337.50,16.88,354.38,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",3.00,3.00,490.000,1470.00,245.00,1225.00,61.26,1286.26,3,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","687","FOOD","Main Course","Pasta","Three-Cheese Mac - Non Veg",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",1.00,1.00,310.000,310.00,78.65,231.35,11.57,242.92,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","620","EMP MEAL","Emp_Bev","Emp_Bev","Latte(emp)",7.00,7.00,0.000,0.00,0.00,0.00,0.00,0.00,5,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","680","FOOD","Desserts","Desserts","The Walnut Date Teacake",1.00,1.00,300.000,300.00,36.00,264.00,13.20,277.20,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","64","BEVERAGES","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",2.00,2.00,310.000,620.00,77.50,542.50,27.13,569.63,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","654","FOOD","Sides","Sides","Cheesy Garlic Bread",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","62","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Classic)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","135","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",4.00,4.00,260.000,1040.00,63.17,976.83,48.84,1025.67,3,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","662","FOOD","All Day Breakfast","All Day Breakfast","The Islander Veg Breakfast Plate",1.00,1.00,420.000,420.00,0.00,420.00,21.00,441.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","166","BEVERAGES","ADDON","Choice of Syrup","Hazelnut Syrup @50",1.00,1.00,50.000,50.00,12.50,37.50,1.88,39.38,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","696","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Paneer",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","681","FOOD","Desserts","Desserts","New York-Style Cheesecake - Nutella",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",6.00,6.00,215.833,1295.00,73.50,1221.50,61.08,1282.58,5,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","627","EMP MEAL","Emp_Bev","Emp_Bev","Indian Masala(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",2.00,2.00,280.000,560.00,0.00,560.00,28.00,588.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",8.00,8.00,302.500,2420.00,171.08,2248.92,112.45,2361.37,6,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","697","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Chicken",1.00,1.00,450.000,450.00,112.50,337.50,16.88,354.38,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","648","FOOD","Sides","Sides","Cheesy Fries",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","714","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Scrambled Eggs",2.00,2.00,450.000,900.00,0.00,900.00,45.00,945.00,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,100.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","657","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Omelette",2.00,2.00,450.000,900.00,0.00,900.00,45.00,945.00,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",5.00,5.00,330.000,1650.00,165.00,1485.00,74.26,1559.26,5,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","610","EMP MEAL","Emp_Bev","Emp_Bev","Gelato Affogato (emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",9.00,9.00,0.000,0.00,0.00,0.00,0.00,0.00,8,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","63","BEVERAGES","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","655","FOOD","Sides","Sides","Loaded Nachos - Veg",2.00,2.00,350.000,700.00,0.00,700.00,35.00,735.00,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","652","FOOD","Sides","Sides","K-Spice Chicken Bites",2.00,2.00,330.000,660.00,82.50,577.50,28.88,606.38,2,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",19.00,19.00,235.263,4470.00,358.20,4111.80,205.59,4317.39,13,
"Coffee Island Beyond GK II","2026-02-19","POS","DINE IN","716","FOOD","All Day Breakfast","All Day Breakfast","Islander Breakfast Burrito - Paneer",1.00,1.00,420.000,420.00,0.00,420.00,21.00,441.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","TAKEAWAY","653","FOOD","Sides","Sides","The Hummus & Pita Plate",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-02-19","POS","TAKEAWAY","644","BEVERAGES","Cold Beverages","Mojito","Fresh Mint",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","TAKEAWAY","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",1.00,1.00,275.000,275.00,0.00,275.00,13.75,288.75,1,
"Coffee Island Beyond GK II","2026-02-19","POS","TAKEAWAY","30","BEVERAGES","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-19","POS","TAKEAWAY","648","FOOD","Sides","Sides","Cheesy Fries",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-19","QR","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-02-19","QR","DINE IN","694","FOOD","Main Course","Pizza","Chicken Jalapeno Melt Flatbread",1.00,1.00,420.000,420.00,105.00,315.00,15.75,330.75,1,
"Coffee Island Beyond GK II","2026-02-19","Swiggy","DELIVERY","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",1.00,1.00,320.000,320.00,0.00,320.00,16.00,336.00,1,
"Coffee Island Beyond GK II","2026-02-19","Swiggy","DELIVERY","906","FOOD","Desserts","Cheesecakes & Dessert Jars","Chocolate Mousse Jar",1.00,1.00,407.000,407.00,0.00,407.00,20.35,427.35,1,
"Coffee Island Beyond GK II","2026-02-19","Swiggy","DELIVERY","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",3.00,3.00,295.000,885.00,442.50,442.50,22.13,464.63,2,
"Coffee Island Beyond GK II","2026-02-19","Swiggy-Bolt Urgent","DELIVERY","122","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",1.00,1.00,360.000,360.00,75.00,285.00,14.25,299.25,1,
"Coffee Island Beyond GK II","2026-02-19","Zomato","DELIVERY","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",1.00,1.00,260.000,260.00,40.35,219.65,10.98,230.63,1,
"Coffee Island Beyond GK II","2026-02-19","Zomato","DELIVERY","654","FOOD","Sides","Sides","Cheesy Garlic Bread",1.00,1.00,275.000,275.00,96.00,179.00,8.95,187.95,1,
"Coffee Island Beyond GK II","2026-02-19","Zomato","DELIVERY","715","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Fried Eggs",1.00,1.00,495.000,495.00,0.00,495.00,24.75,519.75,1,
"Coffee Island Beyond GK II","2026-02-19","Zomato","DELIVERY","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",5.00,5.00,250.000,1250.00,625.00,625.00,31.25,656.25,5,
"Coffee Island Beyond GK II","2026-02-19","Zomato","DELIVERY","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",1.00,1.00,320.000,320.00,49.66,270.34,13.52,283.86,1,
"Coffee Island Beyond GK II","2026-02-19","Zomato","DELIVERY","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",1.00,1.00,280.000,280.00,140.00,140.00,7.00,147.00,1,
"Coffee Island Beyond GK II","2026-02-19","Zomato","DELIVERY","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",1.00,1.00,451.000,451.00,69.99,381.01,19.05,400.06,1,
"Coffee Island HQ-27","2026-02-19","Mobile App","TAKEAWAY","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",4.00,4.00,230.000,920.00,143.50,776.50,38.83,815.33,3,
"Coffee Island HQ-27","2026-02-19","Mobile App","TAKEAWAY","644","BEVERAGES","Cold Beverages","Mojito","Fresh Mint",1.00,1.00,230.000,230.00,63.50,166.50,8.33,174.83,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","869","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Classic Maple",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","6","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino",1.00,1.00,290.000,290.00,0.00,290.00,14.50,304.50,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",2.00,2.00,250.000,500.00,0.00,500.00,25.00,525.00,2,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",1.00,1.00,265.000,265.00,0.00,265.00,13.25,278.25,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",10.00,10.00,295.000,2950.00,215.50,2734.50,136.73,2871.23,8,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",5.00,5.00,310.000,1550.00,232.50,1317.50,65.89,1383.39,4,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",2.00,2.00,410.000,820.00,0.00,820.00,41.00,861.00,2,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",2.00,2.00,310.000,620.00,155.00,465.00,23.25,488.25,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",10.00,10.00,0.000,0.00,0.00,0.00,0.00,0.00,5,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,190.000,190.00,44.00,146.00,7.30,153.30,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","705","FOOD","All Day Breakfast","Toasties","Akuri Toast",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","62","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Classic)",1.00,1.00,310.000,310.00,77.50,232.50,11.63,244.13,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","110","BEVERAGES","Hot Beverages","Hot Brews","Macchiato",1.00,1.00,265.000,265.00,0.00,265.00,13.25,278.25,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","135","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",3.00,3.00,260.000,780.00,65.00,715.00,35.75,750.75,2,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",2.00,2.00,490.000,980.00,122.50,857.50,42.88,900.38,2,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","277","RETAIL","Snacks","Ready to Munch","Chocolate Almond",1.00,1.00,128.570,128.57,0.00,128.57,6.43,135.00,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",1.00,1.00,330.000,330.00,82.50,247.50,12.38,259.88,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","338","BEVERAGES","ADDON","Choice of Milk","Regular - Milk -150g Default",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","652","FOOD","Sides","Sides","K-Spice Chicken Bites",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",1.00,1.00,240.000,240.00,0.00,240.00,12.00,252.00,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","655","FOOD","Sides","Sides","Loaded Nachos - Veg",1.00,1.00,350.000,350.00,87.50,262.50,13.13,275.63,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",1.00,1.00,225.000,225.00,0.00,225.00,11.25,236.25,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","94","BEVERAGES","Hot Beverages","Hot Brews","Flat White",2.00,2.00,230.000,460.00,0.00,460.00,23.00,483.00,2,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",2.00,2.00,280.000,560.00,56.00,504.00,25.20,529.20,1,
"Coffee Island HQ-27","2026-02-19","POS","DINE IN","642","BEVERAGES","Cold Beverages","Mojito","Orange Spark",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
