Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-19","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","6","NA","Cold Beverages","Cold Brews","Bobastic Coffeeccino",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",7.00,7.00,100.000,700.00,0.00,700.00,35.00,735.00,6,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","600","NA","Quick Bites","Croissant Cookie & Muffin","1Oats & Raisin Cookie",4.00,4.00,80.000,320.00,0.00,320.00,16.00,336.00,3,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","588","NA","Quick Bites","Filled Buns","Korean Bun",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","594","NA","Quick Bites","Donut & Éclair","White Chocolate & Berry Berliner",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","290","NA","Cold Beverages","Refresh","Valencia Orange Juice",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","591","NA","Small Plates","Sandwich","Chicken Tikka Multigrain Sandwich",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano",6.00,6.00,167.937,1007.62,0.00,1007.62,50.38,1058.00,6,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","122","NA","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",4.00,4.00,170.000,680.00,0.00,680.00,34.00,714.00,4,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","92","NA","Hot Beverages","Hot Brews","Espresso",1.00,1.00,130.000,130.00,0.00,130.00,6.50,136.50,1,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","605","NA","Quick Bites","Bread","Chocolate Hazelnut Babka",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","166","NA","ADDON","Choice of Syrup","Hazelnut Syrup @50",1.00,1.00,47.620,47.62,0.00,47.62,2.38,50.00,1,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",6.00,6.00,200.000,1200.00,0.00,1200.00,60.00,1260.00,6,
