Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","92","BEVERAGES","Hot Beverages","Hot Brews","Espresso",1.00,1.00,240.000,240.00,0.00,240.00,12.00,252.00,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","8","BEVERAGES","Cold Beverages","Cold Brews","Gelato Affogato",1.00,1.00,345.000,345.00,46.82,298.18,14.91,313.09,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","6","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino",3.00,3.00,290.000,870.00,0.00,870.00,43.50,913.50,2,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","417","BEVERAGES","Cold Beverages","Refresh","Bobastic Passionfruit Green Tea",1.00,1.00,270.000,270.00,0.00,270.00,13.50,283.50,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","610","EMP MEAL","Emp_Bev","Emp_Bev","Gelato Affogato (emp)",4.00,4.00,0.000,0.00,0.00,0.00,0.00,0.00,4,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","696","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Paneer",1.00,1.00,400.000,400.00,100.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,100.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","920","FOOD","Breakfast Specials CIB","Breakfast Specials CIB","Breakfast Specials",5.00,5.00,349.000,1745.00,75.00,1670.00,83.50,1753.50,4,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","132","BEVERAGES","Hot Beverages","Hot Tea","Morning Breakfast Tea",4.00,4.00,210.000,840.00,52.50,787.50,39.38,826.88,2,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",4.00,4.00,230.000,920.00,57.50,862.50,43.13,905.63,4,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",6.00,6.00,240.000,1440.00,0.00,1440.00,72.00,1512.00,3,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",2.00,2.00,190.000,380.00,47.50,332.50,16.63,349.13,2,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","721","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Nutella",2.00,2.00,450.000,900.00,0.00,900.00,45.00,945.00,2,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","701","FOOD","Main Course","Sandwiches","Pomodoro Meatball Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","716","FOOD","All Day Breakfast","All Day Breakfast","Islander Breakfast Burrito - Paneer",1.00,1.00,420.000,420.00,105.00,315.00,15.75,330.75,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","680","FOOD","Desserts","Desserts","The Walnut Date Teacake",11.00,11.00,300.000,3300.00,330.00,2970.00,148.50,3118.50,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","703","FOOD","Main Course","Sandwiches","Ham & Cheese Brioche Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","135","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",1.00,1.00,260.000,260.00,0.00,260.00,13.00,273.00,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",8.00,8.00,490.000,3920.00,392.00,3528.00,176.40,3704.40,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","904","FOOD","Desserts","Cheesecakes & Dessert Jars","Burnt Basque Cheesecake",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","649","FOOD","Sides","Sides","Truffle Parmesan Fries",1.00,1.00,310.000,310.00,42.07,267.93,13.40,281.33,1,
"Coffee Island Beyond GK II","2026-02-20","POS","DINE IN","694","FOOD","Main Course","Pizza","Chicken Jalapeno Melt Flatbread",1.00,1.00,420.000,420.00,0.00,420.00,21.00,441.00,1,
