Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-20","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","603","NA","Quick Bites","Puff & Toastie","Chipotle Vegetable Puff",3.00,3.00,100.000,300.00,0.00,300.00,15.00,315.00,3,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano",6.00,6.00,167.937,1007.62,0.00,1007.62,50.38,1058.00,6,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","78","NA","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",2.00,2.00,160.000,320.00,0.00,320.00,16.00,336.00,2,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","577","NA","Desserts","Gelato","French Vanilla Signature Sundae",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","99","NA","Hot Beverages","Hot Brews","Americano",9.00,9.00,150.582,1355.24,0.00,1355.24,67.76,1423.00,9,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","160","NA","ADDON","Choice of Crema","Rich Crema @50",1.00,1.00,47.620,47.62,0.00,47.62,2.38,50.00,1,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","417","NA","Cold Beverages","Cold Brews","Bobastic Passionfruit Green Tea",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","592","NA","Quick Bites","Quick Bitess","Korean Pop - Potato",2.00,2.00,100.000,200.00,0.00,200.00,10.00,210.00,2,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","30","NA","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","39","NA","Cold Beverages","Iced Chocolate","Hazelnut Iced Chocolate",7.00,7.00,170.000,1190.00,0.00,1190.00,59.50,1249.50,7,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","290","NA","Cold Beverages","Refresh","Valencia Orange Juice",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",3.00,3.00,191.747,575.24,0.00,575.24,28.76,604.00,3,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",6.00,6.00,200.000,1200.00,0.00,1200.00,60.00,1260.00,6,
"MSFT Hyd","2026-02-20","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
