Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","635","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Pistachio",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","683","FOOD","Desserts","Desserts","Chocolate Fudge Brownie",2.00,2.00,300.000,600.00,300.00,300.00,15.00,315.00,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","719","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Berry",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","650","FOOD","Sides","Sides","Cafe Nacho Trio",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","678","FOOD","Desserts","Desserts","Pistachio Croissant",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",2.00,2.00,190.000,380.00,47.50,332.50,16.63,349.13,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","644","BEVERAGES","Cold Beverages","Mojito","Fresh Mint",2.00,2.00,230.000,460.00,57.50,402.50,20.13,422.63,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","862","FOOD","Desserts","Desserts","New York-Style Cheesecake - Berry",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","722","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Berry",2.00,2.00,400.000,800.00,0.00,800.00,40.00,840.00,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","196","FOOD","Desserts","Gelato","Belgian Chocolate Single Scoop",2.00,2.00,195.000,390.00,97.50,292.50,14.62,307.12,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",11.00,11.00,0.000,0.00,0.00,0.00,0.00,0.00,8,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","718","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Nutella",2.00,2.00,380.000,760.00,38.00,722.00,36.10,758.10,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","620","EMP MEAL","Emp_Bev","Emp_Bev","Latte(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","652","FOOD","Sides","Sides","K-Spice Chicken Bites",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","906","FOOD","Desserts","Cheesecakes & Dessert Jars","Chocolate Mousse Jar",1.00,1.00,370.000,370.00,0.00,370.00,18.50,388.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",3.00,3.00,280.000,840.00,0.00,840.00,42.00,882.00,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",4.00,4.00,490.000,1960.00,171.50,1788.50,89.43,1877.93,4,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","688","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","703","FOOD","Main Course","Sandwiches","Ham & Cheese Brioche Melt",2.00,2.00,450.000,900.00,0.00,900.00,45.00,945.00,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","49","BEVERAGES","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,290.000,290.00,0.00,290.00,14.50,304.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","651","FOOD","Sides","Sides","K-Spice Paneer Bites",2.00,2.00,330.000,660.00,0.00,660.00,33.00,693.00,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","682","FOOD","Desserts","Desserts","Mascarpone Tiramisu",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",3.00,3.00,310.000,930.00,0.00,930.00,46.50,976.50,3,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","654","FOOD","Sides","Sides","Cheesy Garlic Bread",2.00,2.00,250.000,500.00,62.50,437.50,21.88,459.38,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","610","EMP MEAL","Emp_Bev","Emp_Bev","Gelato Affogato (emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","662","FOOD","All Day Breakfast","All Day Breakfast","The Islander Veg Breakfast Plate",1.00,1.00,420.000,420.00,0.00,420.00,21.00,441.00,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","417","BEVERAGES","Cold Beverages","Refresh","Bobastic Passionfruit Green Tea",3.00,3.00,270.000,810.00,0.00,810.00,40.50,850.50,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","122","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",3.00,3.00,280.000,840.00,20.50,819.50,40.98,860.48,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","655","FOOD","Sides","Sides","Loaded Nachos - Veg",1.00,1.00,350.000,350.00,35.00,315.00,15.75,330.75,1,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","612","EMP MEAL","Emp_Bev","Emp_Bev","Iced Latte(emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2026-02-21","POS","DINE IN","687","FOOD","Main Course","Pasta","Three-Cheese Mac - Non Veg",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
