Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-22","Mobile App","TAKEAWAY","23","BEVERAGES","Cold Beverages","Granita","Slushed Peach Paradise Granita",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-22","Mobile App","TAKEAWAY","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-22","Mobile App","TAKEAWAY","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-22","Mobile App","TAKEAWAY","208","FOOD","Desserts","Gelato","Dark Chocolate Double Scoop",1.00,1.00,340.000,340.00,173.00,167.00,8.35,175.35,1,
"Coffee Island Beyond GK II","2026-02-22","Mobile App","TAKEAWAY","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-22","Mobile App","TAKEAWAY","681","FOOD","Desserts","Desserts","New York-Style Cheesecake - Nutella",1.00,1.00,350.000,350.00,44.00,306.00,15.30,321.30,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","45","BEVERAGES","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",1.00,1.00,290.000,290.00,0.00,290.00,14.50,304.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",3.00,3.00,280.000,840.00,0.00,840.00,42.00,882.00,3,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","4","BEVERAGES","Cold Beverages","Cold Brews","Fizzy Espressione (Tonic Water)",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",3.00,3.00,220.000,660.00,22.00,638.00,31.90,669.90,3,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","694","FOOD","Main Course","Pizza","Chicken Jalapeno Melt Flatbread",3.00,3.00,420.000,1260.00,840.00,420.00,21.00,441.00,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","196","FOOD","Desserts","Gelato","Belgian Chocolate Single Scoop",4.00,4.00,195.000,780.00,0.00,780.00,39.00,819.00,3,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","151","BEVERAGES","ADDON","Choice of Milk","Oat Milk @50",1.00,1.00,50.000,50.00,12.50,37.50,1.88,39.38,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",8.00,8.00,0.000,0.00,0.00,0.00,0.00,0.00,7,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","650","FOOD","Sides","Sides","Cafe Nacho Trio",1.00,1.00,250.000,250.00,62.50,187.50,9.38,196.88,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","695","FOOD","Main Course","Pizza","Italian Margherita Flatbread",2.00,2.00,390.000,780.00,507.00,273.00,13.65,286.65,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","86","BEVERAGES","Hot Beverages","Alternative Brews","Island Pour Over",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","639","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Avocado Smoothies",2.00,2.00,350.000,700.00,437.50,262.50,13.13,275.63,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",6.00,6.00,240.000,1440.00,126.98,1313.02,65.65,1378.67,6,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",19.00,19.00,243.421,4625.00,697.98,3927.02,196.36,4123.38,12,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","283","RETAIL","Snacks","Ready to Munch","Masala Almond",2.00,2.00,133.330,266.66,0.00,266.66,13.34,280.00,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","708","FOOD","Main Course","Sandwiches","Roasted Tomato & Bocconcini Croissant (CIB)",3.00,3.00,450.000,1350.00,450.00,900.00,45.00,945.00,3,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",2.00,2.00,327.500,655.00,344.50,310.50,15.53,326.03,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","682","FOOD","Desserts","Desserts","Mascarpone Tiramisu",1.00,1.00,450.000,450.00,45.00,405.00,20.25,425.25,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","642","BEVERAGES","Cold Beverages","Mojito","Orange Spark",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","700","FOOD","Main Course","Sandwiches","Paprika Chicken Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","122","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",1.00,1.00,330.000,330.00,330.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","721","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Nutella",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",11.00,11.00,299.091,3290.00,154.70,3135.30,156.77,3292.07,7,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","6","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino",2.00,2.00,290.000,580.00,0.00,580.00,29.00,609.00,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",2.00,2.00,490.000,980.00,980.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","690","FOOD","Main Course","Pasta","Italian Chicken Bolognese",2.00,2.00,450.000,900.00,900.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",5.00,5.00,210.000,1050.00,111.11,938.89,46.94,985.83,5,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","693","FOOD","Main Course","Pizza","Basil Pesto Veggie Flatbread",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","715","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Fried Eggs",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",3.00,3.00,250.000,750.00,275.00,475.00,23.75,498.75,3,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","612","EMP MEAL","Emp_Bev","Emp_Bev","Iced Latte(emp)",7.00,7.00,0.000,0.00,0.00,0.00,0.00,0.00,5,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","652","FOOD","Sides","Sides","K-Spice Chicken Bites",1.00,1.00,330.000,330.00,330.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","282","RETAIL","Snacks","Ready to Munch","Hazelnut Chocolate Shots",1.00,1.00,128.570,128.57,26.36,102.21,5.11,107.32,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","649","FOOD","Sides","Sides","Truffle Parmesan Fries",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","920","FOOD","Breakfast Specials CIB","Breakfast Specials CIB","Breakfast Specials",1.00,1.00,299.000,299.00,0.00,299.00,14.95,313.95,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","683","FOOD","Desserts","Desserts","Chocolate Fudge Brownie",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","205","FOOD","Desserts","Gelato","French Vanilla Single Scoop",2.00,2.00,195.000,390.00,48.75,341.25,17.06,358.31,2,
"Coffee Island Beyond GK II","2026-02-22","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",3.00,3.00,330.000,990.00,0.00,990.00,49.50,1039.50,3,
