Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-23","Mobile App","TAKEAWAY","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",1.00,1.00,290.000,290.00,67.50,222.50,11.13,233.63,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",2.00,2.00,190.000,380.00,19.00,361.00,18.05,379.05,2,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","688","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Veg",1.00,1.00,400.000,400.00,100.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","702","FOOD","Main Course","Sandwiches","Chilli Cheese Mushroom Melt",1.00,1.00,390.000,390.00,39.00,351.00,17.55,368.55,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",1.00,1.00,265.000,265.00,0.00,265.00,13.25,278.25,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","862","FOOD","Desserts","Desserts","New York-Style Cheesecake - Berry",1.00,1.00,350.000,350.00,35.00,315.00,15.75,330.75,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","196","FOOD","Desserts","Gelato","Belgian Chocolate Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","610","EMP MEAL","Emp_Bev","Emp_Bev","Gelato Affogato (emp)",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",5.00,5.00,257.000,1285.00,124.00,1161.00,58.06,1219.06,5,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","648","FOOD","Sides","Sides","Cheesy Fries",1.00,1.00,270.000,270.00,67.50,202.50,10.13,212.63,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","932","NA","Breakfast Specials","Breakfast Specials","The Islander Veg Breakfast Plate with Islander Cold Coffee",1.00,1.00,399.000,399.00,0.00,399.00,19.95,418.95,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",2.00,2.00,310.000,620.00,31.00,589.00,29.45,618.45,2,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","700","FOOD","Main Course","Sandwiches","Paprika Chicken Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",11.00,11.00,245.455,2700.00,120.00,2580.00,129.00,2709.00,8,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",1.00,1.00,250.000,250.00,0.00,250.00,12.50,262.50,1,
"Coffee Island Beyond GK II","2026-02-23","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
