Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-23","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","6","NA","Cold Beverages","Cold Brews","Bobastic Coffeeccino",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","371","NA","Cold Beverages","Special Brews","Nitro Bubble Brew (Watermelon Prebiotic Fizz)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","595","NA","Quick Bites","Donut & Éclair","Chocolate Donut",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",3.00,3.00,160.000,480.00,0.00,480.00,24.00,504.00,3,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","603","NA","Quick Bites","Puff & Toastie","Chipotle Vegetable Puff",4.00,4.00,100.000,400.00,0.00,400.00,20.00,420.00,4,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","130","NA","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,140.000,140.00,0.00,140.00,7.00,147.00,1,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","33","NA","Cold Beverages","Iced Chocolate","Guilt-Free Iced Chocolate",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","78","NA","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",2.00,2.00,160.000,320.00,0.00,320.00,16.00,336.00,2,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","604","NA","Quick Bites","Bread","Basil & Oven Dried Tomato Pinwheel",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","597","NA","Small Plates","Sandwich","Pesto Paradise Multigrain Sandwich",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,4,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","594","NA","Quick Bites","Donut & Éclair","White Chocolate & Berry Berliner",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","579","NA","Desserts","Gelato","Belgian Chocolate Sundae",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","124","NA","Hot Beverages","Hot Chocolate","Hazelnut Hot Chocolate",4.00,4.00,170.000,680.00,0.00,680.00,34.00,714.00,4,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","94","NA","Hot Beverages","Hot Brews","Flat White",2.00,2.00,183.810,367.62,0.00,367.62,18.38,386.00,2,
"MSFT Hyd","2026-02-23","POS","TAKEAWAY","46","NA","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
