Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","625","EMP MEAL","Emp_Bev","Emp_Bev","Morning Breakfast(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","649","FOOD","Sides","Sides","Truffle Parmesan Fries",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","655","FOOD","Sides","Sides","Loaded Nachos - Veg",2.00,2.00,350.000,700.00,0.00,700.00,35.00,735.00,2,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","867","FOOD","Desserts","Desserts","Opera Slice",2.00,2.00,320.000,640.00,0.00,640.00,32.00,672.00,2,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","135","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",2.00,2.00,260.000,520.00,0.00,520.00,26.00,546.00,2,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","932","NA","Breakfast Specials","Breakfast Specials","The Islander Veg Breakfast Plate with Islander Cold Coffee",1.00,1.00,399.000,399.00,0.00,399.00,19.95,418.95,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","680","FOOD","Desserts","Desserts","The Walnut Date Teacake",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","30","BEVERAGES","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",1.00,1.00,270.000,270.00,81.00,189.00,9.45,198.45,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","208","FOOD","Desserts","Gelato","Dark Chocolate Double Scoop",1.00,1.00,340.000,340.00,0.00,340.00,17.00,357.00,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",13.00,13.00,293.846,3820.00,101.50,3718.50,185.93,3904.43,8,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","707","FOOD","All Day Breakfast","Toasties","Islander Mexi-Bean Toast",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","662","FOOD","All Day Breakfast","All Day Breakfast","The Islander Veg Breakfast Plate",1.00,1.00,420.000,420.00,42.00,378.00,18.90,396.90,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,190.000,190.00,57.00,133.00,6.65,139.65,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","862","FOOD","Desserts","Desserts","New York-Style Cheesecake - Berry",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",3.00,3.00,275.000,825.00,0.00,825.00,41.25,866.25,3,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","688","FOOD","Main Course","Pasta","Italian Arrabbiata Penne - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","711","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Toast",3.00,3.00,490.000,1470.00,122.50,1347.50,67.38,1414.88,3,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","638","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Berry Blast Smoothies",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","716","FOOD","All Day Breakfast","All Day Breakfast","Islander Breakfast Burrito - Paneer",1.00,1.00,420.000,420.00,126.00,294.00,14.70,308.70,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","122","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","78","BEVERAGES","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",1.00,1.00,320.000,320.00,0.00,320.00,16.00,336.00,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","64","BEVERAGES","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",12.00,12.00,0.000,0.00,0.00,0.00,0.00,0.00,10,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","90","BEVERAGES","Hot Beverages","Hot Brews","Cortado",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",2.00,2.00,210.000,420.00,63.00,357.00,17.85,374.85,2,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",11.00,11.00,234.545,2580.00,131.50,2448.50,122.43,2570.93,10,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","75","BEVERAGES","Cold Beverages","Refresh","Valencia Orange Fresh Juice",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",1.00,1.00,410.000,410.00,123.00,287.00,14.35,301.35,1,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",3.00,3.00,310.000,930.00,0.00,930.00,46.50,976.50,3,
"Coffee Island Beyond GK II","2026-02-24","POS","DINE IN","696","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Paneer",3.00,3.00,400.000,1200.00,0.00,1200.00,60.00,1260.00,3,
