Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-03-01","Mobile App","TAKEAWAY","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-03-01","Mobile App","TAKEAWAY","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",1.00,1.00,210.000,210.00,210.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","697","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Chicken",2.00,2.00,450.000,900.00,45.00,855.00,42.75,897.75,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","866","FOOD","Main Course","Sandwiches","Chilli Cheese Brioche Melt",3.00,3.00,390.000,1170.00,39.00,1131.00,56.55,1187.55,3,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",4.00,4.00,410.000,1640.00,164.00,1476.00,73.80,1549.80,4,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","720","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Classic Maple",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","635","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Pistachio",1.00,1.00,310.000,310.00,93.00,217.00,10.85,227.85,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","338","BEVERAGES","ADDON","Choice of Milk","Regular - Milk -150g Default",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","932","NA","Breakfast Specials","Breakfast Specials","The Islander Veg Breakfast Plate with Islander Cold Coffee",1.00,1.00,399.000,399.00,0.00,399.00,19.95,418.95,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","115","BEVERAGES","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","365","BEVERAGES","Cold Beverages","Island Special-Cold","Java Chip Killer",3.00,3.00,341.667,1025.00,142.50,882.50,44.13,926.63,3,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","295","RETAIL","Beans & Powder","Beans","Global Blend Kenya (Beans)",2.00,2.00,184.750,369.50,0.00,369.50,18.48,387.98,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","680","FOOD","Desserts","Desserts","The Walnut Date Teacake",1.00,1.00,300.000,300.00,90.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,120.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","409","RETAIL","Merch","Unisex T-shirt","Unisex T-Shirt  (Red) Large",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","721","FOOD","All Day Breakfast","All Day Breakfast","Decadent French Toast - Nutella",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","641","BEVERAGES","Cold Beverages","Mojito","Dark Berry",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",5.00,5.00,310.000,1550.00,31.00,1519.00,75.95,1594.95,5,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","75","BEVERAGES","Cold Beverages","Refresh","Valencia Orange Fresh Juice",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","62","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Classic)",6.00,6.00,310.000,1860.00,0.00,1860.00,93.00,1953.00,3,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","129","BEVERAGES","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",2.00,2.00,210.000,420.00,0.00,420.00,21.00,441.00,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","78","BEVERAGES","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",2.00,2.00,270.000,540.00,0.00,540.00,27.00,567.00,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","61","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Vietnamese)",1.00,1.00,310.000,310.00,13.00,297.00,14.85,311.85,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",2.00,2.00,315.000,630.00,0.00,630.00,31.50,661.50,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","612","EMP MEAL","Emp_Bev","Emp_Bev","Iced Latte(emp)",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","718","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Nutella",1.00,1.00,380.000,380.00,114.00,266.00,13.30,279.30,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","934","NA","Breakfast Specials","Breakfast Specials","Islander Eggs-Your Way - Scrambled Eggs with Islander Cold Coffee",1.00,1.00,399.000,399.00,0.00,399.00,19.95,418.95,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","682","FOOD","Desserts","Desserts","Mascarpone Tiramisu",2.00,2.00,450.000,900.00,45.00,855.00,42.75,897.75,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",1.00,1.00,280.000,280.00,0.00,280.00,14.00,294.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","283","RETAIL","Snacks","Ready to Munch","Masala Almond",1.00,1.00,133.330,133.33,0.00,133.33,6.67,140.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","209","FOOD","Desserts","Gelato","Dark Chocolate Single Scoop",2.00,2.00,195.000,390.00,0.00,390.00,19.50,409.50,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","8","BEVERAGES","Cold Beverages","Cold Brews","Gelato Affogato",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","136","BEVERAGES","Hot Beverages","Island Special-Hot","Spanish Bombon",3.00,3.00,310.000,930.00,31.00,899.00,44.95,943.95,3,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",6.00,6.00,321.667,1930.00,300.00,1630.00,81.51,1711.51,6,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","30","BEVERAGES","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",1.00,1.00,270.000,270.00,81.00,189.00,9.45,198.45,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",2.00,2.00,190.000,380.00,38.00,342.00,17.10,359.10,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","33","BEVERAGES","Cold Beverages","Iced Chocolate","Guilt-Free Iced Chocolate",1.00,1.00,320.000,320.00,0.00,320.00,16.00,336.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","634","BEVERAGES","Hot Beverages","Hot Brews","Pistachio Cappuccino",1.00,1.00,280.000,280.00,28.00,252.00,12.60,264.60,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","715","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Fried Eggs",3.00,3.00,450.000,1350.00,45.00,1305.00,65.25,1370.25,3,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","870","BEVERAGES","Ready To Drink","Cold Brew","Glass Water Bottle - 750 ML",1.00,1.00,95.240,95.24,0.00,95.24,4.76,100.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","683","FOOD","Desserts","Desserts","Chocolate Fudge Brownie",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","663","FOOD","All Day Breakfast","All Day Breakfast","Islander Breakfast Burrito - Egg",1.00,1.00,390.000,390.00,117.00,273.00,13.65,286.65,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","637","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Forest Berry Iced smoothie",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","925","NA","Breakfast Specials","Breakfast Specials","Chilli Cheese Brioche Melt with Islander Cold Coffee",1.00,1.00,299.000,299.00,0.00,299.00,14.95,313.95,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","654","FOOD","Sides","Sides","Cheesy Garlic Bread",1.00,1.00,250.000,250.00,75.00,175.00,8.75,183.75,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","417","BEVERAGES","Cold Beverages","Refresh","Bobastic Passionfruit Green Tea",4.00,4.00,270.000,1080.00,0.00,1080.00,54.00,1134.00,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","695","FOOD","Main Course","Pizza","Italian Margherita Flatbread",1.00,1.00,390.000,390.00,0.00,390.00,19.50,409.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","643","BEVERAGES","Cold Beverages","Mojito","Zesty Mango",2.00,2.00,230.000,460.00,0.00,460.00,23.00,483.00,2,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","212","FOOD","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","636","BEVERAGES","Cold Beverages","Cold Brews","Dubai Chocolate",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",6.00,6.00,241.667,1450.00,23.00,1427.00,71.35,1498.35,5,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","282","RETAIL","Snacks","Ready to Munch","Hazelnut Chocolate Shots",1.00,1.00,128.570,128.57,0.00,128.57,6.43,135.00,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","140","BEVERAGES","ADDON","Choice of Beans","Ethiopia Blend @35",1.00,1.00,35.000,35.00,0.00,35.00,1.75,36.75,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","703","FOOD","Main Course","Sandwiches","Ham & Cheese Brioche Melt",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",9.00,9.00,0.000,0.00,0.00,0.00,0.00,0.00,6,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",5.00,5.00,210.000,1050.00,63.00,987.00,49.35,1036.35,5,
"Coffee Island Beyond GK II","2026-03-01","POS","DINE IN","638","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Berry Blast Smoothies",1.00,1.00,330.000,330.00,0.00,330.00,16.50,346.50,1,
