Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-03-02","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","8","NA","Cold Beverages","Cold Brews","Gelato Affogato",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","586","NA","Main Course","Wholesome Wrap","Peri Peri Chicken Parantha Wrap",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","64","NA","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","167","NA","ADDON","Choice of Syrup","Salted Caramel Syrup @50",1.00,1.00,47.620,47.62,0.00,47.62,2.38,50.00,1,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","590","NA","Quick Bites","Donut & Éclair","Chocolate Eclair",6.00,6.00,180.000,1080.00,0.00,1080.00,54.00,1134.00,6,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","122","NA","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",3.00,3.00,175.873,527.62,0.00,527.62,26.38,554.00,3,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","92","NA","Hot Beverages","Hot Brews","Espresso",2.00,2.00,130.000,260.00,0.00,260.00,13.00,273.00,2,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","584","NA","Main Course","Wholesome Wrap","Paneer Tikka Parantha Wrap",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","99","NA","Hot Beverages","Hot Brews","Americano",8.00,8.00,175.715,1405.72,0.00,1405.72,70.28,1476.00,8,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","106","NA","Hot Beverages","Hot Brews","Cappuccino",21.00,21.00,180.409,3788.58,0.00,3788.58,189.42,3978.00,21,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","371","NA","Cold Beverages","Special Brews","Nitro Bubble Brew (Watermelon Prebiotic Fizz)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","39","NA","Cold Beverages","Iced Chocolate","Hazelnut Iced Chocolate",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","581","NA","Desserts","Gelato","French Vanilla Sundae",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",23.00,23.00,180.000,4140.00,0.00,4140.00,207.00,4347.00,23,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","135","NA","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",3.00,3.00,190.000,570.00,0.00,570.00,28.50,598.50,3,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",8.00,8.00,209.762,1678.10,0.00,1678.10,83.90,1762.00,8,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","579","NA","Desserts","Gelato","Belgian Chocolate Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",6.00,6.00,100.000,600.00,0.00,600.00,30.00,630.00,6,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","390","NA","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","588","NA","Quick Bites","Filled Buns","Korean Bun",6.00,6.00,180.000,1080.00,0.00,1080.00,54.00,1134.00,6,
"MSFT Hyd","2026-03-02","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",2.00,2.00,190.000,380.00,0.00,380.00,19.00,399.00,2,
