Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-24","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","371","NA","Cold Beverages","Special Brews","Nitro Bubble Brew (Watermelon Prebiotic Fizz)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","110","NA","Hot Beverages","Hot Brews","Macchiato",2.00,2.00,140.000,280.00,0.00,280.00,14.00,294.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","136","NA","Hot Beverages","Island Special-Hot","Spanish Bombon",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","81","NA","Cold Beverages","Refresh","Bobastic Apple Mint Green Tea",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","370","NA","Cold Beverages","Special Brews","Nitro Bubble Brew - Classic",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","86","NA","Hot Beverages","Alternative Brews","Island Pour Over",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","6","NA","Cold Beverages","Cold Brews","Bobastic Coffeeccino",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","604","NA","Quick Bites","Bread","Basil & Oven Dried Tomato Pinwheel",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","579","NA","Desserts","Gelato","Belgian Chocolate Sundae",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,4,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",7.00,7.00,193.606,1355.24,0.00,1355.24,67.76,1423.00,7,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","46","NA","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","389","NA","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","212","NA","Quick Bites","Croissant Cookie & Muffin","French Butter Croissant",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",20.00,20.00,180.000,3600.00,0.00,3600.00,180.00,3780.00,20,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","594","NA","Quick Bites","Donut & Éclair","White Chocolate & Berry Berliner",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","599","NA","Quick Bites","Bread","Garlic & Cheese Pull Apart",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","575","NA","Desserts","Gelato","Belgian Chocolate Signature Sundae",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","39","NA","Cold Beverages","Iced Chocolate","Hazelnut Iced Chocolate",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","588","NA","Quick Bites","Filled Buns","Korean Bun",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",6.00,6.00,170.000,1020.00,0.00,1020.00,51.00,1071.00,6,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","49","NA","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","597","NA","Small Plates","Sandwich","Pesto Paradise Multigrain Sandwich",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,4,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","8","NA","Cold Beverages","Cold Brews","Gelato Affogato",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","135","NA","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",3.00,3.00,205.873,617.62,0.00,617.62,30.88,648.50,3,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","584","NA","Main Course","Wholesome Wrap","Paneer Tikka Parantha Wrap",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","582","NA","Desserts","Gelato","Mango Sorbet Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","600","NA","Quick Bites","Croissant Cookie & Muffin","1Oats & Raisin Cookie",2.00,2.00,80.000,160.00,0.00,160.00,8.00,168.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","130","NA","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,140.000,140.00,0.00,140.00,7.00,147.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","602","NA","Quick Bites","Croissant Cookie & Muffin","Boston Cream Cruffin",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",4.00,4.00,183.810,735.24,0.00,735.24,36.76,772.00,4,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","580","NA","Desserts","Gelato","Dark Chocolate SSC Sundae",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","595","NA","Quick Bites","Donut & Éclair","Chocolate Donut",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",3.00,3.00,190.000,570.00,0.00,570.00,28.50,598.50,3,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","129","NA","Hot Beverages","Hot Tea","Chamomile Sunset Classic Tea",1.00,1.00,140.000,140.00,0.00,140.00,7.00,147.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","390","NA","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",2.00,2.00,100.000,200.00,0.00,200.00,10.00,210.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","591","NA","Small Plates","Sandwich","Chicken Tikka Multigrain Sandwich",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","99","NA","Hot Beverages","Hot Brews","Americano",8.00,8.00,157.858,1262.86,0.00,1262.86,63.14,1326.00,8,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","92","NA","Hot Beverages","Hot Brews","Espresso",2.00,2.00,130.000,260.00,0.00,260.00,13.00,273.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","56","NA","Cold Beverages","Milk Shake","Berry Burst Paradise Milkshake",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","154","NA","ADDON","Choice of Boba","Coffee Popping Boba - 50",1.00,1.00,47.620,47.62,0.00,47.62,2.38,50.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","15","NA","Cold Beverages","Cold Brews","Iced Americano",3.00,3.00,175.873,527.62,0.00,527.62,26.38,554.00,3,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","106","NA","Hot Beverages","Hot Brews","Cappuccino",22.00,22.00,181.645,3996.20,0.00,3996.20,199.80,4196.00,21,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","586","NA","Main Course","Wholesome Wrap","Peri Peri Chicken Parantha Wrap",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","124","NA","Hot Beverages","Hot Chocolate","Hazelnut Hot Chocolate",5.00,5.00,170.000,850.00,0.00,850.00,42.50,892.50,5,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","578","NA","Desserts","Gelato","Mango Sorbet Signature Sundae",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","78","NA","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",2.00,2.00,160.000,320.00,0.00,320.00,16.00,336.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","590","NA","Quick Bites","Donut & Éclair","Chocolate Eclair",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-24","POS","TAKEAWAY","64","NA","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","581","NA","Desserts","Gelato","French Vanilla Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","605","NA","Quick Bites","Bread","Chocolate Hazelnut Babka",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","599","NA","Quick Bites","Bread","Garlic & Cheese Pull Apart",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","49","NA","Cold Beverages","Island Special-Cold","Freddo Cappuccino",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","8","NA","Cold Beverages","Cold Brews","Gelato Affogato",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","110","NA","Hot Beverages","Hot Brews","Macchiato",1.00,1.00,140.000,140.00,0.00,140.00,7.00,147.00,1,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","584","NA","Main Course","Wholesome Wrap","Paneer Tikka Parantha Wrap",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,4,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","389","NA","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-25","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",8.00,8.00,180.000,1440.00,0.00,1440.00,72.00,1512.00,8,
