Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","86","BEVERAGES","Hot Beverages","Alternative Brews","Island Pour Over",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","277","RETAIL","Snacks","Ready to Munch","Chocolate Almond",1.00,1.00,128.570,128.57,0.00,128.57,6.43,135.00,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","64","BEVERAGES","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",3.00,3.00,250.000,750.00,0.00,750.00,37.50,787.50,2,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","647","FOOD","Sides","Sides","Korean Spicy Fries",1.00,1.00,220.000,220.00,66.00,154.00,7.70,161.70,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","683","FOOD","Desserts","Desserts","Chocolate Fudge Brownie",1.00,1.00,300.000,300.00,0.00,300.00,15.00,315.00,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","8","BEVERAGES","Cold Beverages","Cold Brews","Gelato Affogato",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","610","EMP MEAL","Emp_Bev","Emp_Bev","Gelato Affogato (emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",2.00,2.00,400.000,800.00,120.00,680.00,34.00,714.00,2,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","705","FOOD","All Day Breakfast","Toasties","Akuri Toast",1.00,1.00,350.000,350.00,0.00,350.00,17.50,367.50,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","140","BEVERAGES","ADDON","Choice of Beans","Ethiopia Blend @35",1.00,1.00,35.000,35.00,0.00,35.00,1.75,36.75,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","714","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Scrambled Eggs",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","78","BEVERAGES","Cold Beverages","Refresh","Bobastic Peach Paradise Refresh Tea",3.00,3.00,270.000,810.00,81.00,729.00,36.45,765.45,3,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","46","BEVERAGES","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",2.00,2.00,347.500,695.00,0.00,695.00,34.75,729.75,2,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","686","FOOD","Main Course","Pasta","Three-Cheese Mac - Veg",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","205","FOOD","Desserts","Gelato","French Vanilla Single Scoop",1.00,1.00,195.000,195.00,0.00,195.00,9.75,204.75,1,
"Coffee Island Beyond GK II","2026-03-10","POS","DINE IN","684","FOOD","Main Course","Pasta","Spaghetti Aglio Olio - Veg",1.00,1.00,410.000,410.00,0.00,410.00,20.50,430.50,1,
