Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-03-11","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",3.00,3.00,0.000,0.00,0.00,0.00,0.00,0.00,3,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","30","NA","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",7.00,7.00,170.000,1190.00,0.00,1190.00,59.50,1249.50,7,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","603","NA","Quick Bites","Puff & Toastie","Chipotle Vegetable Puff",4.00,4.00,100.000,400.00,0.00,400.00,20.00,420.00,3,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","49","NA","Cold Beverages","Island Special-Cold","Freddo Cappuccino",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,1,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","64","NA","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",7.00,7.00,200.000,1400.00,0.00,1400.00,70.00,1470.00,7,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","600","NA","Quick Bites","Croissant Cookie & Muffin","1Oats & Raisin Cookie",1.00,1.00,80.000,80.00,0.00,80.00,4.00,84.00,1,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","46","NA","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","602","NA","Quick Bites","Croissant Cookie & Muffin","Boston Cream Cruffin",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","106","NA","Hot Beverages","Hot Brews","Cappuccino",11.00,11.00,203.291,2236.20,0.00,2236.20,111.80,2348.00,10,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","584","NA","Main Course","Wholesome Wrap","Paneer Tikka Parantha Wrap",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","597","NA","Small Plates","Sandwich","Pesto Paradise Multigrain Sandwich",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",38.00,38.00,181.253,6887.62,0.00,6887.62,344.38,7232.00,38,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","588","NA","Quick Bites","Filled Buns","Korean Bun",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","92","NA","Hot Beverages","Hot Brews","Espresso",3.00,3.00,145.873,437.62,0.00,437.62,21.88,459.50,3,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","598","NA","Quick Bites","Puff & Toastie","Harissa Chicken Puff",3.00,3.00,120.000,360.00,0.00,360.00,18.00,378.00,3,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","8","NA","Cold Beverages","Cold Brews","Gelato Affogato",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","370","NA","Cold Beverages","Special Brews","Nitro Bubble Brew - Classic",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","81","NA","Cold Beverages","Refresh","Bobastic Apple Mint Green Tea",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","135","NA","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",6.00,6.00,190.000,1140.00,0.00,1140.00,57.00,1197.00,6,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","595","NA","Quick Bites","Donut & Éclair","Chocolate Donut",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-03-11","POS","TAKEAWAY","56","NA","Cold Beverages","Milk Shake","Berry Burst Paradise Milkshake",3.00,3.00,170.000,510.00,0.00,510.00,25.50,535.50,3,
