Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-03-12","Mobile App","TAKEAWAY","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",1.00,1.00,290.000,290.00,67.50,222.50,11.13,233.63,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","870","BEVERAGES","Ready To Drink","Cold Brew","Glass Water Bottle - 750 ML",1.00,1.00,95.240,95.24,0.00,95.24,4.76,100.00,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","6","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coffeeccino",2.00,2.00,315.000,630.00,0.00,630.00,31.50,661.50,2,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","209","FOOD","Desserts","Gelato","Dark Chocolate Single Scoop",2.00,2.00,195.000,390.00,39.00,351.00,17.55,368.55,2,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","389","BEVERAGES","Cold Beverages","Cold Brews","Bobastic Coconut Matcha",4.00,4.00,310.000,1240.00,0.00,1240.00,62.00,1302.00,3,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","282","RETAIL","Snacks","Ready to Munch","Hazelnut Chocolate Shots",2.00,2.00,128.570,257.14,0.00,257.14,12.86,270.00,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",5.00,5.00,310.000,1550.00,31.00,1519.00,75.95,1594.95,4,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",14.00,14.00,290.000,4060.00,812.00,3248.00,162.40,3410.40,9,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","681","FOOD","Desserts","Desserts","New York-Style Cheesecake - Nutella",1.00,1.00,350.000,350.00,105.00,245.00,12.25,257.25,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","234","BEVERAGES","ADDON","Choice of Beans","Master Blend - (Default)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","925","NA","Breakfast Specials","Breakfast Specials @299","Chilli Cheese Brioche Melt with Islander Cold Coffee",1.00,1.00,299.000,299.00,299.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","719","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Berry",2.00,2.00,380.000,760.00,65.39,694.61,34.73,729.34,2,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","702","FOOD","Main Course","Sandwiches","Chilli Cheese Mushroom Melt",1.00,1.00,390.000,390.00,117.00,273.00,13.65,286.65,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","867","FOOD","Desserts","Desserts","Opera Slice",1.00,1.00,320.000,320.00,0.00,320.00,16.00,336.00,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","703","FOOD","Main Course","Sandwiches","Ham & Cheese Brioche Melt",3.00,3.00,450.000,1350.00,270.00,1080.00,54.00,1134.00,3,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",3.00,3.00,190.000,570.00,0.00,570.00,28.50,598.50,2,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","657","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Omelette",1.00,1.00,450.000,450.00,135.00,315.00,15.75,330.75,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","15","BEVERAGES","Cold Beverages","Cold Brews","Iced Americano",2.00,2.00,250.000,500.00,125.00,375.00,18.75,393.75,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","699","FOOD","Main Course","Sandwiches","Italian Caprese",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
"Coffee Island Beyond GK II","2026-03-12","POS","DINE IN","712","FOOD","All Day Breakfast","Toasties","Islander Avo Broc Egg Toast",1.00,1.00,570.000,570.00,0.00,570.00,28.50,598.50,1,
