Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-03-12","POS","DINE IN","353","NA","Emp Meal","Emp Meal","Emp Meal",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","122","NA","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",4.00,4.00,170.000,680.00,0.00,680.00,34.00,714.00,4,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","589","NA","Quick Bites","Donut & Éclair","Pistachio Eclair",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","600","NA","Quick Bites","Croissant Cookie & Muffin","1Oats & Raisin Cookie",5.00,5.00,80.000,400.00,0.00,400.00,20.00,420.00,4,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","580","NA","Desserts","Gelato","Dark Chocolate SSC Sundae",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","94","NA","Hot Beverages","Hot Brews","Flat White",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","593","NA","Quick Bites","Tea Cake","Moist Marble Cake",7.00,7.00,100.000,700.00,0.00,700.00,35.00,735.00,7,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","92","NA","Hot Beverages","Hot Brews","Espresso",2.00,2.00,153.810,307.62,0.00,307.62,15.38,323.00,2,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","591","NA","Small Plates","Sandwich","Chicken Tikka Multigrain Sandwich",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","370","NA","Cold Beverages","Special Brews","Nitro Bubble Brew - Classic",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",8.00,8.00,170.000,1360.00,0.00,1360.00,68.00,1428.00,8,
"MSFT Hyd","2026-03-12","POS","TAKEAWAY","595","NA","Quick Bites","Donut & Éclair","Chocolate Donut",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
