Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-03-13","Mobile App","TAKEAWAY","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",1.00,1.00,290.000,290.00,50.88,239.12,11.96,251.08,1,
"Coffee Island Beyond GK II","2026-03-13","Mobile App","TAKEAWAY","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",1.00,1.00,280.000,280.00,49.12,230.88,11.54,242.42,1,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",2.00,2.00,310.000,620.00,0.00,620.00,31.00,651.00,2,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","697","FOOD","Main Course","Rice Bowl","Mexican Rice Bowl - Chicken",2.00,2.00,450.000,900.00,0.00,900.00,45.00,945.00,2,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","148","BEVERAGES","ADDON","Choice of Milk","Regular Milk @25",1.00,1.00,25.000,25.00,0.00,25.00,1.25,26.25,1,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","646","FOOD","Sides","Sides","Classic Fries",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","694","FOOD","Main Course","Pizza","Chicken Jalapeno Melt Flatbread",1.00,1.00,420.000,420.00,105.00,315.00,15.75,330.75,1,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",10.00,10.00,306.000,3060.00,292.89,2767.11,138.37,2905.48,7,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","197","FOOD","Desserts","Gelato","Belgian Chocolate Double Scoop",1.00,1.00,340.000,340.00,0.00,340.00,17.00,357.00,1,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","926","NA","Breakfast Specials","Breakfast Specials @349","Pomodoro Meatball Melt with Islander Cold Coffee",1.00,1.00,349.000,349.00,0.00,349.00,17.45,366.45,1,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","353","EMP MEAL","Emp Meal","Emp Meal","Emp Meal",7.00,7.00,0.000,0.00,0.00,0.00,0.00,0.00,7,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","63","BEVERAGES","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",1.00,1.00,310.000,310.00,93.00,217.00,10.85,227.85,1,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","715","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Fried Eggs",1.00,1.00,450.000,450.00,112.50,337.50,16.88,354.38,1,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","640","BEVERAGES","Smoothies and Shakes","Smoothies and Shakes","Alphanso Mango Smoothies",3.00,3.00,350.000,1050.00,0.00,1050.00,52.50,1102.50,3,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","81","BEVERAGES","Cold Beverages","Refresh","Bobastic Apple Mint Green Tea",2.00,2.00,270.000,540.00,67.50,472.50,23.63,496.13,2,
"Coffee Island Beyond GK II","2026-03-13","POS","DINE IN","698","FOOD","Main Course","Rice Bowl","Asian Hot Garlic Rice Bowl - Paneer",1.00,1.00,400.000,400.00,0.00,400.00,20.00,420.00,1,
