Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","122","NA","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate",3.00,3.00,170.000,510.00,0.00,510.00,25.50,535.50,3,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","602","NA","Quick Bites","Croissant Cookie & Muffin","Boston Cream Cruffin",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","594","NA","Quick Bites","Donut & Éclair","White Chocolate & Berry Berliner",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","582","NA","Desserts","Gelato","Mango Sorbet Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",4.00,4.00,171.905,687.62,0.00,687.62,34.38,722.00,4,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","135","NA","Hot Beverages","Island Special-Hot","Mocha Espressione Hot",4.00,4.00,190.000,760.00,0.00,760.00,38.00,798.00,4,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","115","NA","Hot Beverages","Hot Chocolate","Signature Belgian Dark Hot Chocolate",4.00,4.00,170.000,680.00,0.00,680.00,34.00,714.00,4,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","6","NA","Cold Beverages","Cold Brews","Bobastic Coffeeccino",11.00,11.00,190.000,2090.00,0.00,2090.00,104.50,2194.50,11,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","8","NA","Cold Beverages","Cold Brews","Gelato Affogato",7.00,7.00,200.000,1400.00,0.00,1400.00,70.00,1470.00,7,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","46","NA","Cold Beverages","Island Special-Cold","Orange Bumble Coffee",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","601","NA","Quick Bites","Pastry","1Choco Fudge Delight",4.00,4.00,200.000,800.00,0.00,800.00,40.00,840.00,4,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","11","NA","Cold Beverages","Cold Brews","Islander Cold Coffee",29.00,29.00,180.000,5220.00,0.00,5220.00,261.00,5481.00,29,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","50","NA","Cold Beverages","Island Special-Cold","Iced Vietnamese Shakerato",7.00,7.00,200.000,1400.00,0.00,1400.00,70.00,1470.00,7,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",5.00,5.00,200.000,1000.00,0.00,1000.00,50.00,1050.00,5,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","64","NA","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","63","NA","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",7.00,7.00,200.000,1400.00,0.00,1400.00,70.00,1470.00,7,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","90","NA","Hot Beverages","Hot Brews","Cortado",1.00,1.00,150.000,150.00,0.00,150.00,7.50,157.50,1,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","52","NA","Cold Beverages","Milk Shake","Double Chocolate Indulgent Milkshake",4.00,4.00,170.000,680.00,0.00,680.00,34.00,714.00,4,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","33","NA","Cold Beverages","Iced Chocolate","Guilt-Free Iced Chocolate",5.00,5.00,170.000,850.00,0.00,850.00,42.50,892.50,5,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","30","NA","Cold Beverages","Iced Chocolate","Classic Iced Chocolate",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","81","NA","Cold Beverages","Refresh","Bobastic Apple Mint Green Tea",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","42","NA","Cold Beverages","Island Special-Cold","Freddo Espresso Ristretto",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,1,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","581","NA","Desserts","Gelato","French Vanilla Sundae",1.00,1.00,180.000,180.00,0.00,180.00,9.00,189.00,1,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","92","NA","Hot Beverages","Hot Brews","Espresso",1.00,1.00,130.000,130.00,0.00,130.00,6.50,136.50,1,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","94","NA","Hot Beverages","Hot Brews","Flat White",1.00,1.00,160.000,160.00,0.00,160.00,8.00,168.00,1,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","604","NA","Quick Bites","Bread","Basil & Oven Dried Tomato Pinwheel",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,3,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","2","NA","Cold Beverages","Cold Brews","Islander Latte",15.00,15.00,189.524,2842.86,0.00,2842.86,142.14,2985.00,15,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","590","NA","Quick Bites","Donut & Éclair","Chocolate Eclair",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,4,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","365","NA","Cold Beverages","Island Special-Cold","Java Chip Killer",6.00,6.00,200.000,1200.00,0.00,1200.00,60.00,1260.00,6,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","605","NA","Quick Bites","Bread","Chocolate Hazelnut Babka",5.00,5.00,180.000,900.00,0.00,900.00,45.00,945.00,5,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","579","NA","Desserts","Gelato","Belgian Chocolate Sundae",4.00,4.00,180.000,720.00,0.00,720.00,36.00,756.00,4,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",4.00,4.00,201.905,807.62,0.00,807.62,40.38,848.00,4,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","596","NA","Quick Bites","Donut & Éclair","Choco Chip Berliner",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","56","NA","Cold Beverages","Milk Shake","Berry Burst Paradise Milkshake",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","136","NA","Hot Beverages","Island Special-Hot","Spanish Bombon",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,1,
"MSFT Hyd","2026-03-13","POS","TAKEAWAY","595","NA","Quick Bites","Donut & Éclair","Chocolate Donut",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
