Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-03-14","Mobile App","TAKEAWAY","106","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino",1.00,1.00,230.000,230.00,0.00,230.00,11.50,241.50,1,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","197","FOOD","Desserts","Gelato","Belgian Chocolate Double Scoop",2.00,2.00,340.000,680.00,0.00,680.00,34.00,714.00,2,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature",6.00,6.00,260.833,1565.00,144.50,1420.50,71.03,1491.53,5,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","650","FOOD","Sides","Sides","Cafe Nacho Trio",1.00,1.00,250.000,250.00,25.00,225.00,11.25,236.25,1,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","717","FOOD","All Day Breakfast","All Day Breakfast","Islander Breakfast Burrito - Chicken",2.00,2.00,450.000,900.00,0.00,900.00,45.00,945.00,2,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","654","FOOD","Sides","Sides","Cheesy Garlic Bread",1.00,1.00,250.000,250.00,25.00,225.00,11.25,236.25,1,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","476","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Tonic Water)",1.00,1.00,310.000,310.00,0.00,310.00,15.50,325.50,1,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",12.00,12.00,225.417,2705.00,45.50,2659.50,132.98,2792.48,10,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","11","BEVERAGES","Cold Beverages","Cold Brews","Islander Cold Coffee",12.00,12.00,302.083,3625.00,120.25,3504.75,175.24,3679.99,11,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","612","EMP MEAL","Emp_Bev","Emp_Bev","Iced Latte(emp)",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","635","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Pistachio",2.00,2.00,310.000,620.00,31.00,589.00,29.45,618.45,2,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","151","BEVERAGES","ADDON","Choice of Milk","Oat Milk @50",1.00,1.00,50.000,50.00,0.00,50.00,2.50,52.50,1,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","390","BEVERAGES","Cold Beverages","Cold Brews","Iced Vietnamese Matcha",3.00,3.00,310.000,930.00,0.00,930.00,46.50,976.50,3,
"Coffee Island Beyond GK II","2026-03-14","POS","DINE IN","694","FOOD","Main Course","Pizza","Chicken Jalapeno Melt Flatbread",3.00,3.00,420.000,1260.00,0.00,1260.00,63.00,1323.00,3,
