Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","636","BEVERAGES","Cold Beverages","Cold Brews","Dubai Chocolate",2.00,2.00,330.000,660.00,66.00,594.00,29.70,623.70,2,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","61","BEVERAGES","Cold Beverages","Overnight Brew","Overnite Espresso Brew (Vietnamese)",3.00,3.00,310.000,930.00,108.50,821.50,41.08,862.58,3,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","701","FOOD","Main Course","Sandwiches","Pomodoro Meatball Melt",1.00,1.00,450.000,450.00,45.00,405.00,20.25,425.25,1,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","4","BEVERAGES","Cold Beverages","Cold Brews","Fizzy Espressione (Tonic Water)",5.00,5.00,310.000,1550.00,248.00,1302.00,65.10,1367.10,2,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","283","RETAIL","Snacks","Ready to Munch","Masala Almond",2.00,2.00,133.330,266.66,0.00,266.66,13.34,280.00,2,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","2","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature",9.00,9.00,293.333,2640.00,156.05,2483.95,124.20,2608.15,7,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","870","BEVERAGES","Ready To Drink","Cold Brew","Glass Water Bottle - 750 ML",1.00,1.00,95.240,95.24,0.00,95.24,4.76,100.00,1,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","715","FOOD","All Day Breakfast","All Day Breakfast","Islander Eggs-Your Way - Fried Eggs",1.00,1.00,450.000,450.00,0.00,450.00,22.50,472.50,1,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","99","BEVERAGES","Hot Beverages","Hot Brews","Americano",4.00,4.00,218.750,875.00,271.25,603.75,30.19,633.94,4,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","923","NA","Breakfast Specials","Breakfast Specials @249","Chilli Cheese Brioche Melt with Hot Latte Signature",1.00,1.00,249.000,249.00,0.00,249.00,12.45,261.45,1,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","719","FOOD","All Day Breakfast","All Day Breakfast","Fluffy Cafe Pancakes - Berry",1.00,1.00,380.000,380.00,0.00,380.00,19.00,399.00,1,
"Coffee Island Beyond GK II","2026-03-15","POS","DINE IN","700","FOOD","Main Course","Sandwiches","Paprika Chicken Melt",1.00,1.00,450.000,450.00,112.50,337.50,16.88,354.38,1,
