All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge,Delivery Charge,Restaurant Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,GST @5%,ECom_GST@5%,Packaging charge@20Rs,GST @12%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2025-05-12,"POS",6.00,2,0,1295.24,388.57,0,0,0,0,0,0,0.00,906.67,45.33,0,0,0,0,45.33,952.00,-0.00,952.00,
"-","-","North","Coffee Island Beyond GK II",2025-05-20,"POS",2.00,1,0,295.24,0.00,0,0,0,0,0,0,0.00,295.24,14.76,0,0,0,0,14.76,310.00,0.00,310.00,
"-","-","North","Coffee Island HQ-27",2025-05-01,"POS",242.00,67,0,38455.83,9596.10,0,0,0,0,0,0,0.00,28859.73,1299.62,14.00,40.00,181.02,133.16,1667.81,30527.54,2.46,30530.00,
"-","-","North","Coffee Island HQ-27",2025-05-01,"Swiggy-Bolt Urgent",5.00,2,0,520.00,66.00,0,0,0,0,0,0,0.00,454.00,0,22.70,0,0,0,22.70,476.70,0.30,477.00,
"-","-","North","Coffee Island HQ-27",2025-05-01,"Zomato",23.00,6,0,4465.00,117.00,120.00,0,0,0,0,0,120.00,4348.00,0,223.40,0,0,0,223.40,4691.40,0.60,4692.00,
"-","-","North","Coffee Island HQ-27",2025-05-01,"Swiggy",17.00,5,0,2340.00,466.99,0,0,0,0,0,0,0.00,1873.01,0,93.65,0,0,0,93.65,1966.66,0.34,1967.00,
"-","-","North","Coffee Island HQ-27",2025-05-02,"POS",150.00,38,0,24520.19,1111.21,0,0,0,0,0,0,0.00,23408.98,1046.00,55.00,0,50.78,173.67,1325.45,24734.43,2.57,24737.00,
"-","-","North","Coffee Island HQ-27",2025-05-02,"Zomato",13.00,4,0,1947.54,167.50,80.00,0,0,0,0,0,80.00,1780.04,0,93.03,0,0,0,93.03,1953.07,0.93,1954.00,
"-","-","North","Coffee Island HQ-27",2025-05-03,"POS",128.00,38,0,17824.87,222.39,0,0,0,0,0,0,0.00,17602.48,855.15,0,0,34.82,37.52,927.49,18529.97,1.03,18531.00,
"-","-","North","Coffee Island HQ-27",2025-05-03,"Swiggy-Bolt Urgent",2.00,1,0,230.00,46.00,0,0,0,0,0,0,0.00,184.00,0,9.20,0,0,0,9.20,193.20,-0.20,193.00,
"-","-","North","Coffee Island HQ-27",2025-05-03,"Swiggy",2.00,1,0,300.00,30.00,0,0,0,0,0,0,0.00,270.00,0,13.50,0,0,0,13.50,283.50,0.50,284.00,
"-","-","North","Coffee Island HQ-27",2025-05-03,"Zomato",8.00,2,0,900.00,90.00,40.00,0,0,0,0,0,40.00,810.00,0,42.50,0,0,0,42.50,892.50,0.50,893.00,
"-","-","North","Coffee Island HQ-27",2025-05-04,"POS",59.00,16,0,8671.32,0.00,0,0,0,0,0,0,0.00,8671.32,414.34,13.50,0,0,20.59,448.43,9119.75,3.25,9123.00,
"-","-","North","Coffee Island HQ-27",2025-05-04,"Swiggy",4.00,3,0,936.95,132.00,0,0,0,0,0,0,0.00,804.95,0,40.25,0,0,0,40.25,845.20,-0.20,845.00,
"-","-","North","Coffee Island HQ-27",2025-05-04,"Zomato",12.00,3,0,1690.00,150.00,60.00,0,0,0,0,0,60.00,1540.00,0,80.00,0,0,0,80.00,1680.00,1.00,1681.00,
"-","-","North","Coffee Island HQ-27",2025-05-05,"POS",125.00,38,0,18105.00,4267.01,0,0,0,0,0,0,0.00,13837.99,666.30,0,0,0,92.20,758.50,14596.49,0.51,14597.00,
"-","-","North","Coffee Island HQ-27",2025-05-05,"Swiggy",7.00,3,0,1240.00,191.00,0,0,0,0,0,0,0.00,1049.00,0,52.45,0,0,0,52.45,1101.45,-0.45,1101.00,
"-","-","North","Coffee Island HQ-27",2025-05-05,"Zomato",11.00,5,0,1745.00,457.50,100.00,0,0,0,0,0,100.00,1287.50,0,69.38,0,0,0,69.38,1456.88,0.12,1457.00,
"-","-","North","Coffee Island HQ-27",2025-05-06,"POS",254.00,74,0,38227.94,529.37,0,0,0,0,0,0,0.00,37698.57,1776.94,0,0,94.71,246.49,2118.14,39816.71,2.29,39819.00,
"-","-","North","Coffee Island HQ-27",2025-05-06,"Swiggy",12.00,5,0,2035.00,267.98,0,0,0,0,0,0,0.00,1767.02,0,88.36,0,0,0,88.36,1855.38,-0.38,1855.00,
"-","-","North","Coffee Island HQ-27",2025-05-06,"Zomato",11.00,4,0,1895.00,130.00,80.00,0,0,0,0,0,80.00,1765.00,0,92.25,0,0,0,92.25,1937.25,0.75,1938.00,
"-","-","North","Coffee Island HQ-27",2025-05-07,"POS",139.00,55,0,20840.87,156.20,0,0,0,0,0,0,0.00,20684.67,968.59,0,0,80.89,114.86,1164.34,21849.01,0.99,21850.00,
"-","-","North","Coffee Island HQ-27",2025-05-07,"Zomato",3.00,1,0,585.00,40.00,20.00,0,0,0,0,0,20.00,545.00,0,28.25,0,0,0,28.25,593.25,-0.25,593.00,
"-","-","North","Coffee Island HQ-27",2025-05-08,"Swiggy",10.00,5,0,2260.00,757.00,0,0,0,0,0,0,0.00,1503.00,0,75.15,0,0,0,75.15,1578.15,-0.15,1578.00,
"-","-","North","Coffee Island HQ-27",2025-05-08,"POS",184.00,61,0,25987.62,1098.37,0,0,0,0,0,0,0.00,24889.25,1189.15,0,0,34.60,146.90,1370.65,26259.90,2.10,26262.00,
"-","-","North","Coffee Island HQ-27",2025-05-08,"Zomato",23.00,5,0,3185.00,594.00,100.00,0,0,0,0,0,100.00,2591.00,0,134.56,0,0,0,134.56,2825.56,1.44,2827.00,
"-","-","North","Coffee Island HQ-27",2025-05-09,"Swiggy",2.00,2,0,620.00,167.00,0,0,0,0,0,0,0.00,453.00,0,22.65,0,0,0,22.65,475.65,-0.65,475.00,
"-","-","North","Coffee Island HQ-27",2025-05-09,"POS",166.00,56,0,22488.54,287.07,0,0,0,0,0,0,0.00,22201.47,1031.04,0,0,35.36,231.31,1297.71,23499.18,2.82,23502.00,
"-","-","North","Coffee Island HQ-27",2025-05-09,"Zomato",8.00,2,0,1080.00,50.00,40.00,0,0,0,0,0,40.00,1030.00,0,53.50,0,0,0,53.50,1123.50,0.50,1124.00,
"-","-","North","Coffee Island HQ-27",2025-05-10,"POS",106.00,45,0,14093.84,361.91,0,0,0,0,0,0,0.00,13731.93,655.12,0,0,55.71,29.74,740.57,14472.50,0.50,14473.00,
"-","-","North","Coffee Island HQ-27",2025-05-10,"Swiggy",4.00,2,0,1070.00,89.99,0,0,0,0,0,0,0.00,980.01,0,49.00,0,0,0,49.00,1029.01,-0.01,1029.00,
"-","-","North","Coffee Island HQ-27",2025-05-10,"Zomato",12.00,2,0,2171.00,555.00,40.00,0,0,0,0,0,40.00,1616.00,0,82.79,0,0,0,82.79,1738.79,0.21,1739.00,
"-","-","North","Coffee Island HQ-27",2025-05-11,"Zomato",29.00,11,0,5235.00,1600.00,220.00,0,0,0,0,0,220.00,3635.00,0,192.75,0,0,0,192.75,4047.75,0.25,4048.00,
"-","-","North","Coffee Island HQ-27",2025-05-11,"POS",87.00,24,0,14021.13,5036.15,0,0,0,0,0,0,0.00,8984.98,386.27,0,0,0.00,226.75,613.02,9598.00,2.00,9600.00,
"-","-","North","Coffee Island HQ-27",2025-05-11,"Swiggy",10.00,4,0,1330.00,248.00,0,0,0,0,0,0,0.00,1082.00,0,54.11,0,0,0,54.11,1136.11,-1.11,1135.00,
"-","-","North","Coffee Island HQ-27",2025-05-12,"Swiggy",8.00,3,0,1271.00,150.99,0,0,0,0,0,0,0.00,1120.01,0,56.00,0,0,0,56.00,1176.01,-0.01,1176.00,
"-","-","North","Coffee Island HQ-27",2025-05-12,"Zomato",12.00,4,0,2392.47,685.00,80.00,0,0,0,0,0,80.00,1707.47,0,89.37,0,0,0,89.37,1876.84,0.16,1877.00,
"-","-","North","Coffee Island HQ-27",2025-05-12,"POS",122.00,49,0,15868.78,269.28,0,0,0,0,0,0,0.00,15599.50,774.38,0,0,13.39,0,787.77,16387.27,2.73,16390.00,
"-","-","North","Coffee Island HQ-27",2025-05-13,"POS",198.00,63,0,23230.31,1788.71,0,35.00,0,0,0,0,35.00,21441.60,1015.53,0,0,127.75,18.15,1161.43,22638.03,-0.03,22638.00,
"-","-","North","Coffee Island HQ-27",2025-05-13,"Zomato",6.00,2,0,580.00,75.00,40.00,0,0,0,0,0,40.00,505.00,0,27.25,0,0,0,27.25,572.25,-0.25,572.00,
"-","-","North","Coffee Island HQ-27",2025-05-14,"POS",211.00,72,0,33239.26,2986.31,0,70.00,0,0,0,0,70.00,30252.95,1451.47,0,0,64.82,135.30,1651.59,31974.54,5.46,31980.00,
"-","-","North","Coffee Island HQ-27",2025-05-14,"Zomato",24.00,8,0,5285.42,1600.00,160.00,0,0,0,0,0,160.00,3685.42,0,192.27,0,0,0,192.27,4037.69,2.31,4040.00,
"-","-","North","Coffee Island HQ-27",2025-05-14,"Swiggy",15.00,2,0,2200.00,76.98,0,0,0,0,0,0,0.00,2123.02,0,106.15,0,0,0,106.15,2229.17,-0.17,2229.00,
