All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2025-06-03,"POS",518.00,11,0,76199.78,76199.78,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-04,"POS",338.00,116,0,54999.37,2142.70,0,0,0,0,0,0,0,0.00,52856.67,2435.07,598.68,99.54,0,3133.33,55990.00,25.00,56015.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-04,"Zomato",3.00,3,0,757.14,90.00,0,0,0,0,0,0,0,0.00,667.14,0,45.00,0,20.86,65.86,733.00,0.00,733.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-04,"Swiggy",1.00,1,0,257.14,0.00,10.00,0,0,0,0,0,0,10.00,257.14,0,0,0,13.36,13.36,280.50,0.50,281.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-05,"POS",317.00,96,0,45583.51,774.00,0,0,0,0,0,0,0,0.00,44809.51,2214.08,95.04,0,0,2309.17,47118.68,25.32,47144.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-05,"Zomato",2.00,1,0,257.14,50.00,0,0,0,0,0,0,0,0.00,207.14,0,0,0,10.36,10.36,217.50,0.50,218.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-06,"POS",332.00,104,0,50025.72,1077.80,0,0,0,0,0,0,0,0.00,48947.92,2374.58,44.24,145.32,0,2564.17,51512.09,18.91,51531.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-06,"Mobile App",8.00,5,0,844.00,100.00,0,40.00,30.00,5.00,0,0,0,75.00,744.00,50.70,0,0,0,50.70,869.70,0.30,870.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-06,"Zomato",8.00,4,0,1466.68,191.43,0,0,0,0,0,0,0,0.00,1275.25,0,0,0,63.76,63.76,1339.01,0.99,1340.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-07,"POS",503.00,142,0,72391.94,503.62,0,0,0,0,0,0,0,0.00,71888.32,3436.82,479.13,58.82,0,3974.84,75863.16,35.84,75899.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-07,"Mobile App",18.00,4,0,3310.00,300.00,0,20.00,0,0,0,0,0,20.00,3010.00,154.10,0,0,0,154.10,3184.10,-0.10,3184.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-08,"POS",418.00,109,0,58609.85,1377.75,0,0,0,0,0,0,0,0.00,57232.10,2843.03,38.74,18.75,0,2900.59,60132.69,29.31,60162.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-08,"Mobile App",5.00,2,0,900.00,100.00,0,10.00,0,0,0,0,0,10.00,800.00,41.80,0,0,0,41.80,851.80,0.20,852.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-08,"Swiggy",2.00,1,0,457.15,0.00,10.00,0,0,0,0,0,0,10.00,457.15,0,0,0,23.36,23.36,490.51,0.49,491.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-09,"POS",407.00,89,0,61903.84,14104.41,0,0,0,0,0,0,0,0.00,47799.43,2331.01,131.96,53.56,0,2516.58,50316.01,16.99,50333.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-09,"Zomato",13.00,7,0,2476.20,215.71,0,0,0,0,0,0,0,0.00,2260.49,0,0,0,113.01,113.01,2373.50,1.50,2375.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-09,"Swiggy",9.00,4,0,2057.12,112.50,20.00,0,0,0,0,0,0,20.00,1944.62,0,0,0,98.21,98.21,2062.83,0.17,2063.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-09,"Mobile App",6.00,3,0,2293.00,194.00,0,15.00,0,0,0,0,0,15.00,2099.00,45.00,225.54,0,0,270.54,2384.54,-0.54,2384.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-10,"Zomato",16.00,7,0,3221.15,353.34,0,0,0,0,0,0,0,0.00,2867.82,0,0,0,143.40,143.40,3011.22,-0.22,3011.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-10,"POS",234.00,70,0,34199.36,928.00,0,0,0,0,0,0,0,0.00,33271.36,1539.29,366.40,53.99,0,1959.70,35231.06,14.94,35246.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-10,"Mobile App",11.00,4,0,2076.25,325.00,0,20.00,0,0,0,0,0,20.00,1751.25,66.16,90.00,0,0,156.16,1927.41,0.59,1928.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-10,"Swiggy",1.00,1,0,238.10,0.00,10.00,0,0,0,0,0,0,10.00,238.10,0,0,0,12.41,12.41,260.51,0.49,261.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-11,"POS",302.00,94,0,50413.84,748.75,0,0,0,0,0,0,0,0.00,49665.09,2430.86,60.25,85.60,0,2576.74,52241.83,23.17,52265.00,
