All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Smile Amount Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"POS",185.00,53,0,25148.22,0.00,0,0,0,0,0,0,0.00,25148.22,1219.89,115.00,13.39,0,1348.31,26496.53,10.47,26507.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"Zomato",19.00,8,0,3546.14,733.50,0,0,0,0,0,0,0.00,2812.64,0,0,0,140.63,140.64,2953.28,0.72,2954.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"Swiggy",1.00,1,0,310.00,0.00,10.00,0,0,0,0,0,10.00,310.00,0,0,0,16.00,16.00,336.00,0.00,336.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"Mobile App",9.00,3,0,1470.00,740.00,0,10.00,0,0,0,0,10.00,730.00,38.31,0,0,0,38.31,778.31,-0.31,778.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"Zomato",47.00,19,0,10785.60,4340.88,0,0,0,0,0,0,0.00,6444.73,0,0,0,322.25,322.26,6766.99,4.01,6771.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"POS",308.00,72,0,40362.73,510.00,0,0,0,0,0,0,0.00,39852.73,1797.26,662.57,27.21,0,2487.09,42339.82,12.18,42352.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"Mobile App",4.00,2,0,756.00,511.00,0,5.00,0,0,0,0,5.00,245.00,13.15,0,0,0,13.15,263.15,-0.15,263.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"POS",219.00,65,0,33592.21,217.00,0,0,0,0,0,0,0.00,33375.21,1657.60,0,26.78,0,1684.45,35059.66,14.34,35074.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"Zomato",29.00,11,0,6233.10,1910.00,0,0,0,0,0,0,0.00,4323.10,0,0,0,216.16,216.16,4539.26,1.74,4541.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"Swiggy",1.00,1,0,310.00,0.00,10.00,0,0,0,0,0,10.00,310.00,0,0,0,16.00,16.00,336.00,0.00,336.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"Mobile App",2.00,1,0,459.00,100.00,0,5.00,0,0,0,0,5.00,359.00,12.24,23.79,0,0,36.03,400.03,-0.03,400.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-04,"POS",278.00,78,0,39103.41,223.00,0,0,0,0,0,0,0.00,38880.41,1867.32,235.99,26.78,0,2130.12,41010.53,18.47,41029.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-04,"Zomato",31.00,12,0,7798.75,2841.00,0,0,0,0,0,0,0.00,4957.75,0,0,0,247.89,247.89,5205.64,1.36,5207.00,
